파일명,시스템콜,해당함수
accept$inet_graph.txt,socket,__sys_socket
accept$inet_graph.txt,socket,__sock_create
accept$inet_graph.txt,socket,security_socket_create
accept$inet_graph.txt,socket,apparmor_socket_create
accept$inet_graph.txt,socket,__cond_resched
accept$inet_graph.txt,socket,rcu_all_qs
accept$inet_graph.txt,socket,sock_alloc
accept$inet_graph.txt,socket,new_inode_pseudo
accept$inet_graph.txt,socket,alloc_inode
accept$inet_graph.txt,socket,sock_alloc_inode
accept$inet_graph.txt,socket,kmem_cache_alloc
accept$inet_graph.txt,socket,__cond_resched
accept$inet_graph.txt,socket,rcu_all_qs
accept$inet_graph.txt,socket,should_failslab
accept$inet_graph.txt,socket,mem_cgroup_from_task
accept$inet_graph.txt,socket,rcu_read_unlock_strict
accept$inet_graph.txt,socket,obj_cgroup_charge
accept$inet_graph.txt,socket,mod_objcg_state
accept$inet_graph.txt,socket,__mod_memcg_lruvec_state
accept$inet_graph.txt,socket,cgroup_rstat_updated
accept$inet_graph.txt,socket,rcu_read_unlock_strict
accept$inet_graph.txt,socket,__init_waitqueue_head
accept$inet_graph.txt,socket,inode_init_always
accept$inet_graph.txt,socket,make_kuid
accept$inet_graph.txt,socket,map_id_range_down
accept$inet_graph.txt,socket,make_kgid
accept$inet_graph.txt,socket,map_id_range_down
accept$inet_graph.txt,socket,__init_rwsem
accept$inet_graph.txt,socket,security_inode_alloc
accept$inet_graph.txt,socket,kmem_cache_alloc
accept$inet_graph.txt,socket,__cond_resched
accept$inet_graph.txt,socket,rcu_all_qs
accept$inet_graph.txt,socket,should_failslab
accept$inet_graph.txt,socket,apparmor_inode_alloc_security
accept$inet_graph.txt,socket,_raw_spin_lock
accept$inet_graph.txt,socket,get_next_ino
accept$inet_graph.txt,socket,try_module_get
accept$inet_graph.txt,socket,rcu_read_unlock_strict
accept$inet_graph.txt,socket,inet_create
accept$inet_graph.txt,socket,rcu_read_unlock_strict
accept$inet_graph.txt,socket,sk_alloc
accept$inet_graph.txt,socket,sk_prot_alloc
accept$inet_graph.txt,socket,kmem_cache_alloc
accept$inet_graph.txt,socket,__cond_resched
accept$inet_graph.txt,socket,rcu_all_qs
accept$inet_graph.txt,socket,should_failslab
accept$inet_graph.txt,socket,mem_cgroup_from_task
accept$inet_graph.txt,socket,rcu_read_unlock_strict
accept$inet_graph.txt,socket,obj_cgroup_charge
accept$inet_graph.txt,socket,obj_cgroup_charge_pages
accept$inet_graph.txt,socket,get_mem_cgroup_from_objcg
accept$inet_graph.txt,socket,rcu_read_unlock_strict
accept$inet_graph.txt,socket,try_charge_memcg
accept$inet_graph.txt,socket,page_counter_try_charge
accept$inet_graph.txt,socket,propagate_protected_usage
accept$inet_graph.txt,socket,rcu_read_unlock_strict
accept$inet_graph.txt,socket,refill_obj_stock
accept$inet_graph.txt,socket,mod_objcg_state
accept$inet_graph.txt,socket,__mod_memcg_lruvec_state
accept$inet_graph.txt,socket,cgroup_rstat_updated
accept$inet_graph.txt,socket,rcu_read_unlock_strict
accept$inet_graph.txt,socket,___slab_alloc
accept$inet_graph.txt,socket,security_sk_alloc
accept$inet_graph.txt,socket,__kmalloc
accept$inet_graph.txt,socket,kmalloc_slab
accept$inet_graph.txt,socket,__cond_resched
accept$inet_graph.txt,socket,rcu_all_qs
accept$inet_graph.txt,socket,should_failslab
accept$inet_graph.txt,socket,try_module_get
accept$inet_graph.txt,socket,__init_waitqueue_head
accept$inet_graph.txt,socket,mem_cgroup_sk_alloc
accept$inet_graph.txt,socket,cgroup_sk_alloc
accept$inet_graph.txt,socket,rcu_read_unlock_strict
accept$inet_graph.txt,socket,rcu_read_unlock_strict
accept$inet_graph.txt,socket,sock_init_data
accept$inet_graph.txt,socket,sock_init_data_uid
accept$inet_graph.txt,socket,init_timer_key
accept$inet_graph.txt,socket,tcp_v4_init_sock
accept$inet_graph.txt,socket,tcp_init_sock
accept$inet_graph.txt,socket,tcp_init_xmit_timers
accept$inet_graph.txt,socket,inet_csk_init_xmit_timers
accept$inet_graph.txt,socket,init_timer_key
accept$inet_graph.txt,socket,hrtimer_init
accept$inet_graph.txt,socket,__hrtimer_init
accept$inet_graph.txt,socket,jiffies_to_usecs
accept$inet_graph.txt,socket,tcp_assign_congestion_control
accept$inet_graph.txt,socket,try_module_get
accept$inet_graph.txt,socket,rcu_read_unlock_strict
accept$inet_graph.txt,socket,module_put
accept$inet_graph.txt,socket,security_socket_post_create
accept$inet_graph.txt,socket,apparmor_socket_post_create
accept$inet_graph.txt,socket,get_unused_fd_flags
accept$inet_graph.txt,socket,alloc_fd
accept$inet_graph.txt,socket,_raw_spin_lock
accept$inet_graph.txt,socket,expand_files
accept$inet_graph.txt,socket,sock_alloc_file
accept$inet_graph.txt,socket,alloc_file_pseudo
accept$inet_graph.txt,socket,d_alloc_pseudo
accept$inet_graph.txt,socket,__d_alloc
accept$inet_graph.txt,socket,kmem_cache_alloc
accept$inet_graph.txt,socket,__cond_resched
accept$inet_graph.txt,socket,rcu_all_qs
accept$inet_graph.txt,socket,should_failslab
accept$inet_graph.txt,socket,mem_cgroup_from_task
accept$inet_graph.txt,socket,rcu_read_unlock_strict
accept$inet_graph.txt,socket,obj_cgroup_charge
accept$inet_graph.txt,socket,mod_objcg_state
accept$inet_graph.txt,socket,d_set_d_op
accept$inet_graph.txt,socket,mntget
accept$inet_graph.txt,socket,d_instantiate
accept$inet_graph.txt,socket,d_instantiate.part.0
accept$inet_graph.txt,socket,security_d_instantiate
accept$inet_graph.txt,socket,apparmor_d_instantiate
accept$inet_graph.txt,socket,_raw_spin_lock
accept$inet_graph.txt,socket,_raw_spin_lock
accept$inet_graph.txt,socket,__d_instantiate
accept$inet_graph.txt,socket,d_flags_for_inode
accept$inet_graph.txt,socket,_raw_spin_lock
accept$inet_graph.txt,socket,alloc_file
accept$inet_graph.txt,socket,alloc_empty_file
accept$inet_graph.txt,socket,__alloc_file
accept$inet_graph.txt,socket,kmem_cache_alloc
accept$inet_graph.txt,socket,__cond_resched
accept$inet_graph.txt,socket,rcu_all_qs
accept$inet_graph.txt,socket,should_failslab
accept$inet_graph.txt,socket,mem_cgroup_from_task
accept$inet_graph.txt,socket,rcu_read_unlock_strict
accept$inet_graph.txt,socket,obj_cgroup_charge
accept$inet_graph.txt,socket,mod_objcg_state
accept$inet_graph.txt,socket,security_file_alloc
accept$inet_graph.txt,socket,kmem_cache_alloc
accept$inet_graph.txt,socket,__cond_resched
accept$inet_graph.txt,socket,rcu_all_qs
accept$inet_graph.txt,socket,should_failslab
accept$inet_graph.txt,socket,apparmor_file_alloc_security
accept$inet_graph.txt,socket,__cond_resched
accept$inet_graph.txt,socket,rcu_all_qs
accept$inet_graph.txt,socket,__mutex_init
accept$inet_graph.txt,socket,stream_open
accept$inet_graph.txt,socket,fd_install
accept$inet_graph.txt,bind,__sys_bind
accept$inet_graph.txt,bind,sockfd_lookup_light
accept$inet_graph.txt,bind,__fdget
accept$inet_graph.txt,bind,__fget_light
accept$inet_graph.txt,bind,move_addr_to_kernel.part.0
accept$inet_graph.txt,bind,__check_object_size
accept$inet_graph.txt,bind,check_stack_object
accept$inet_graph.txt,bind,security_socket_bind
accept$inet_graph.txt,bind,apparmor_socket_bind
accept$inet_graph.txt,bind,aa_sk_perm
accept$inet_graph.txt,bind,__cond_resched
accept$inet_graph.txt,bind,rcu_all_qs
accept$inet_graph.txt,bind,inet_bind
accept$inet_graph.txt,bind,__inet_bind
accept$inet_graph.txt,bind,l3mdev_fib_table_by_index
accept$inet_graph.txt,bind,inet_addr_type_table
accept$inet_graph.txt,bind,fib_table_lookup
accept$inet_graph.txt,bind,fib_lookup_good_nhc
accept$inet_graph.txt,bind,rcu_read_unlock_strict
accept$inet_graph.txt,bind,lock_sock_nested
accept$inet_graph.txt,bind,__cond_resched
accept$inet_graph.txt,bind,rcu_all_qs
accept$inet_graph.txt,bind,_raw_spin_lock_bh
accept$inet_graph.txt,bind,_raw_spin_unlock_bh
accept$inet_graph.txt,bind,__local_bh_enable_ip
accept$inet_graph.txt,bind,inet_csk_get_port
accept$inet_graph.txt,bind,_raw_spin_lock_bh
accept$inet_graph.txt,bind,inet_bind_bucket_create
accept$inet_graph.txt,bind,kmem_cache_alloc
accept$inet_graph.txt,bind,should_failslab
accept$inet_graph.txt,bind,mem_cgroup_from_task
accept$inet_graph.txt,bind,rcu_read_unlock_strict
accept$inet_graph.txt,bind,obj_cgroup_charge
accept$inet_graph.txt,bind,mod_objcg_state
accept$inet_graph.txt,bind,inet_csk_update_fastreuse
accept$inet_graph.txt,bind,sock_i_uid
accept$inet_graph.txt,bind,_raw_read_lock_bh
accept$inet_graph.txt,bind,_raw_read_unlock_bh
accept$inet_graph.txt,bind,__local_bh_enable_ip
accept$inet_graph.txt,bind,inet_bind_hash
accept$inet_graph.txt,bind,_raw_spin_unlock_bh
accept$inet_graph.txt,bind,__local_bh_enable_ip
accept$inet_graph.txt,bind,dst_release
accept$inet_graph.txt,bind,release_sock
accept$inet_graph.txt,bind,_raw_spin_lock_bh
accept$inet_graph.txt,bind,tcp_release_cb
accept$inet_graph.txt,bind,_raw_spin_unlock_bh
accept$inet_graph.txt,bind,__local_bh_enable_ip
accept$inet_graph.txt,listen,__sys_listen
accept$inet_graph.txt,listen,sockfd_lookup_light
accept$inet_graph.txt,listen,__fdget
accept$inet_graph.txt,listen,__fget_light
accept$inet_graph.txt,listen,security_socket_listen
accept$inet_graph.txt,listen,apparmor_socket_listen
accept$inet_graph.txt,listen,aa_sk_perm
accept$inet_graph.txt,listen,__cond_resched
accept$inet_graph.txt,listen,rcu_all_qs
accept$inet_graph.txt,listen,inet_listen
accept$inet_graph.txt,listen,lock_sock_nested
accept$inet_graph.txt,listen,__cond_resched
accept$inet_graph.txt,listen,rcu_all_qs
accept$inet_graph.txt,listen,_raw_spin_lock_bh
accept$inet_graph.txt,listen,_raw_spin_unlock_bh
accept$inet_graph.txt,listen,__local_bh_enable_ip
accept$inet_graph.txt,listen,inet_csk_listen_start
accept$inet_graph.txt,listen,reqsk_queue_alloc
accept$inet_graph.txt,listen,inet_sk_state_store
accept$inet_graph.txt,listen,inet_csk_get_port
accept$inet_graph.txt,listen,_raw_spin_lock_bh
accept$inet_graph.txt,listen,sock_i_uid
accept$inet_graph.txt,listen,_raw_read_lock_bh
accept$inet_graph.txt,listen,_raw_read_unlock_bh
accept$inet_graph.txt,listen,__local_bh_enable_ip
accept$inet_graph.txt,listen,inet_csk_bind_conflict
accept$inet_graph.txt,listen,sock_i_uid
accept$inet_graph.txt,listen,_raw_read_lock_bh
accept$inet_graph.txt,listen,_raw_read_unlock_bh
accept$inet_graph.txt,listen,__local_bh_enable_ip
accept$inet_graph.txt,listen,rcu_read_unlock_strict
accept$inet_graph.txt,listen,inet_csk_update_fastreuse
accept$inet_graph.txt,listen,sock_i_uid
accept$inet_graph.txt,listen,_raw_read_lock_bh
accept$inet_graph.txt,listen,_raw_read_unlock_bh
accept$inet_graph.txt,listen,__local_bh_enable_ip
accept$inet_graph.txt,listen,_raw_spin_unlock_bh
accept$inet_graph.txt,listen,__local_bh_enable_ip
accept$inet_graph.txt,listen,dst_release
accept$inet_graph.txt,listen,inet_hash
accept$inet_graph.txt,listen,__inet_hash
accept$inet_graph.txt,listen,inet_lhash2_bucket_sk
accept$inet_graph.txt,listen,_raw_spin_lock
accept$inet_graph.txt,listen,release_sock
accept$inet_graph.txt,listen,_raw_spin_lock_bh
accept$inet_graph.txt,listen,tcp_release_cb
