파일명,시스템콜,해당함수
accept$inet_graph.txt,socket,__sys_socket
accept$inet_graph.txt,socket,__sock_create
accept$inet_graph.txt,socket,security_socket_create
accept$inet_graph.txt,socket,apparmor_socket_create
accept$inet_graph.txt,socket,_cond_resched
accept$inet_graph.txt,socket,rcu_all_qs
accept$inet_graph.txt,socket,smp_irq_work_interrupt
accept$inet_graph.txt,socket,irq_enter
accept$inet_graph.txt,socket,rcu_irq_enter
accept$inet_graph.txt,socket,__wake_up
accept$inet_graph.txt,socket,__wake_up_common_lock
accept$inet_graph.txt,socket,_raw_spin_lock_irqsave
accept$inet_graph.txt,socket,__wake_up_common
accept$inet_graph.txt,socket,_raw_spin_unlock_irqrestore
accept$inet_graph.txt,socket,irq_exit
accept$inet_graph.txt,socket,idle_cpu
accept$inet_graph.txt,socket,rcu_irq_exit
accept$inet_graph.txt,socket,sock_alloc
accept$inet_graph.txt,socket,new_inode_pseudo
accept$inet_graph.txt,socket,alloc_inode
accept$inet_graph.txt,socket,sock_alloc_inode
accept$inet_graph.txt,socket,kmem_cache_alloc
accept$inet_graph.txt,socket,_cond_resched
accept$inet_graph.txt,socket,rcu_all_qs
accept$inet_graph.txt,socket,should_failslab
accept$inet_graph.txt,socket,memcg_kmem_get_cache
accept$inet_graph.txt,socket,memcg_kmem_put_cache
accept$inet_graph.txt,socket,__init_waitqueue_head
accept$inet_graph.txt,socket,inode_init_always
accept$inet_graph.txt,socket,make_kuid
accept$inet_graph.txt,socket,map_id_range_down
accept$inet_graph.txt,socket,make_kgid
accept$inet_graph.txt,socket,map_id_range_down
accept$inet_graph.txt,socket,__init_rwsem
accept$inet_graph.txt,socket,security_inode_alloc
accept$inet_graph.txt,socket,smp_irq_work_interrupt
accept$inet_graph.txt,socket,irq_enter
accept$inet_graph.txt,socket,rcu_irq_enter
accept$inet_graph.txt,socket,__wake_up
accept$inet_graph.txt,socket,__wake_up_common_lock
accept$inet_graph.txt,socket,_raw_spin_lock_irqsave
accept$inet_graph.txt,socket,__wake_up_common
accept$inet_graph.txt,socket,pollwake
accept$inet_graph.txt,socket,default_wake_function
accept$inet_graph.txt,socket,try_to_wake_up
accept$inet_graph.txt,socket,_raw_spin_lock_irqsave
accept$inet_graph.txt,socket,select_task_rq_fair
accept$inet_graph.txt,socket,select_idle_sibling
accept$inet_graph.txt,socket,available_idle_cpu
accept$inet_graph.txt,socket,native_smp_send_reschedule
accept$inet_graph.txt,socket,x2apic_send_IPI
accept$inet_graph.txt,socket,_raw_spin_unlock_irqrestore
accept$inet_graph.txt,socket,_raw_spin_unlock_irqrestore
accept$inet_graph.txt,socket,irq_exit
accept$inet_graph.txt,socket,idle_cpu
accept$inet_graph.txt,socket,rcu_irq_exit
accept$inet_graph.txt,socket,_raw_spin_lock
accept$inet_graph.txt,socket,get_next_ino
accept$inet_graph.txt,socket,try_module_get
accept$inet_graph.txt,socket,inet_create
accept$inet_graph.txt,socket,sk_alloc
accept$inet_graph.txt,socket,sk_prot_alloc
accept$inet_graph.txt,socket,kmem_cache_alloc
accept$inet_graph.txt,socket,_cond_resched
accept$inet_graph.txt,socket,rcu_all_qs
accept$inet_graph.txt,socket,should_failslab
accept$inet_graph.txt,socket,memcg_kmem_get_cache
accept$inet_graph.txt,socket,memcg_kmem_put_cache
accept$inet_graph.txt,socket,page_poisoning_enabled
accept$inet_graph.txt,socket,security_sk_alloc
accept$inet_graph.txt,socket,__kmalloc
accept$inet_graph.txt,socket,kmalloc_slab
accept$inet_graph.txt,socket,_cond_resched
accept$inet_graph.txt,socket,rcu_all_qs
accept$inet_graph.txt,socket,should_failslab
accept$inet_graph.txt,socket,memcg_kmem_put_cache
accept$inet_graph.txt,socket,try_module_get
accept$inet_graph.txt,socket,__init_waitqueue_head
accept$inet_graph.txt,socket,mem_cgroup_sk_alloc
accept$inet_graph.txt,socket,smp_irq_work_interrupt
accept$inet_graph.txt,socket,irq_enter
accept$inet_graph.txt,socket,rcu_irq_enter
accept$inet_graph.txt,socket,__wake_up
accept$inet_graph.txt,socket,__wake_up_common_lock
accept$inet_graph.txt,socket,_raw_spin_lock_irqsave
accept$inet_graph.txt,socket,__wake_up_common
accept$inet_graph.txt,socket,_raw_spin_unlock_irqrestore
accept$inet_graph.txt,socket,irq_exit
accept$inet_graph.txt,socket,idle_cpu
accept$inet_graph.txt,socket,rcu_irq_exit
accept$inet_graph.txt,socket,cgroup_sk_alloc
accept$inet_graph.txt,socket,sock_init_data
accept$inet_graph.txt,socket,init_timer_key
accept$inet_graph.txt,socket,smp_irq_work_interrupt
accept$inet_graph.txt,socket,irq_enter
accept$inet_graph.txt,socket,rcu_irq_enter
accept$inet_graph.txt,socket,__wake_up
accept$inet_graph.txt,socket,__wake_up_common_lock
accept$inet_graph.txt,socket,_raw_spin_lock_irqsave
accept$inet_graph.txt,socket,__wake_up_common
accept$inet_graph.txt,socket,pollwake
accept$inet_graph.txt,socket,default_wake_function
accept$inet_graph.txt,socket,try_to_wake_up
accept$inet_graph.txt,socket,_raw_spin_lock_irqsave
accept$inet_graph.txt,socket,select_task_rq_fair
accept$inet_graph.txt,socket,select_idle_sibling
accept$inet_graph.txt,socket,available_idle_cpu
accept$inet_graph.txt,socket,native_smp_send_reschedule
accept$inet_graph.txt,socket,x2apic_send_IPI
accept$inet_graph.txt,socket,_raw_spin_unlock_irqrestore
accept$inet_graph.txt,socket,_raw_spin_unlock_irqrestore
accept$inet_graph.txt,socket,irq_exit
accept$inet_graph.txt,socket,idle_cpu
accept$inet_graph.txt,socket,rcu_irq_exit
accept$inet_graph.txt,socket,tcp_v4_init_sock
accept$inet_graph.txt,socket,tcp_init_sock
accept$inet_graph.txt,socket,tcp_init_xmit_timers
accept$inet_graph.txt,socket,inet_csk_init_xmit_timers
accept$inet_graph.txt,socket,init_timer_key
accept$inet_graph.txt,socket,hrtimer_init
accept$inet_graph.txt,socket,__hrtimer_init
accept$inet_graph.txt,socket,jiffies_to_usecs
accept$inet_graph.txt,socket,tcp_assign_congestion_control
accept$inet_graph.txt,socket,try_module_get
accept$inet_graph.txt,socket,__cgroup_bpf_run_filter_sk
accept$inet_graph.txt,socket,module_put
accept$inet_graph.txt,socket,security_socket_post_create
accept$inet_graph.txt,socket,apparmor_socket_post_create
accept$inet_graph.txt,socket,get_unused_fd_flags
accept$inet_graph.txt,socket,__alloc_fd
accept$inet_graph.txt,socket,_raw_spin_lock
accept$inet_graph.txt,socket,expand_files
accept$inet_graph.txt,socket,sock_alloc_file
accept$inet_graph.txt,socket,alloc_file_pseudo
accept$inet_graph.txt,socket,d_alloc_pseudo
accept$inet_graph.txt,socket,__d_alloc
accept$inet_graph.txt,socket,kmem_cache_alloc
accept$inet_graph.txt,socket,_cond_resched
accept$inet_graph.txt,socket,rcu_all_qs
accept$inet_graph.txt,socket,should_failslab
accept$inet_graph.txt,socket,memcg_kmem_get_cache
accept$inet_graph.txt,socket,memcg_kmem_put_cache
accept$inet_graph.txt,socket,smp_irq_work_interrupt
accept$inet_graph.txt,socket,irq_enter
accept$inet_graph.txt,socket,rcu_irq_enter
accept$inet_graph.txt,socket,__wake_up
accept$inet_graph.txt,socket,__wake_up_common_lock
accept$inet_graph.txt,socket,_raw_spin_lock_irqsave
accept$inet_graph.txt,socket,__wake_up_common
accept$inet_graph.txt,socket,pollwake
accept$inet_graph.txt,socket,default_wake_function
accept$inet_graph.txt,socket,try_to_wake_up
accept$inet_graph.txt,socket,_raw_spin_lock_irqsave
accept$inet_graph.txt,socket,select_task_rq_fair
accept$inet_graph.txt,socket,select_idle_sibling
accept$inet_graph.txt,socket,available_idle_cpu
accept$inet_graph.txt,socket,native_smp_send_reschedule
accept$inet_graph.txt,socket,x2apic_send_IPI
accept$inet_graph.txt,socket,_raw_spin_unlock_irqrestore
accept$inet_graph.txt,socket,_raw_spin_unlock_irqrestore
accept$inet_graph.txt,socket,irq_exit
accept$inet_graph.txt,socket,idle_cpu
accept$inet_graph.txt,socket,rcu_irq_exit
accept$inet_graph.txt,socket,d_set_d_op
accept$inet_graph.txt,socket,mntget
accept$inet_graph.txt,socket,d_instantiate
accept$inet_graph.txt,socket,security_d_instantiate
accept$inet_graph.txt,socket,smp_irq_work_interrupt
accept$inet_graph.txt,socket,irq_enter
accept$inet_graph.txt,socket,rcu_irq_enter
accept$inet_graph.txt,socket,__wake_up
accept$inet_graph.txt,socket,__wake_up_common_lock
accept$inet_graph.txt,socket,_raw_spin_lock_irqsave
accept$inet_graph.txt,socket,__wake_up_common
accept$inet_graph.txt,socket,pollwake
accept$inet_graph.txt,socket,default_wake_function
accept$inet_graph.txt,socket,try_to_wake_up
accept$inet_graph.txt,socket,_raw_spin_lock_irqsave
accept$inet_graph.txt,socket,select_task_rq_fair
accept$inet_graph.txt,socket,select_idle_sibling
accept$inet_graph.txt,socket,available_idle_cpu
accept$inet_graph.txt,socket,native_smp_send_reschedule
accept$inet_graph.txt,socket,x2apic_send_IPI
accept$inet_graph.txt,socket,_raw_spin_unlock_irqrestore
accept$inet_graph.txt,socket,_raw_spin_unlock_irqrestore
accept$inet_graph.txt,socket,irq_exit
accept$inet_graph.txt,socket,idle_cpu
accept$inet_graph.txt,socket,rcu_irq_exit
accept$inet_graph.txt,socket,_raw_spin_lock
accept$inet_graph.txt,socket,__d_instantiate
accept$inet_graph.txt,socket,d_flags_for_inode
accept$inet_graph.txt,socket,_raw_spin_lock
accept$inet_graph.txt,socket,alloc_file
accept$inet_graph.txt,socket,alloc_empty_file
accept$inet_graph.txt,socket,__alloc_file
accept$inet_graph.txt,socket,kmem_cache_alloc
accept$inet_graph.txt,socket,_cond_resched
accept$inet_graph.txt,socket,rcu_all_qs
accept$inet_graph.txt,socket,should_failslab
accept$inet_graph.txt,socket,memcg_kmem_get_cache
accept$inet_graph.txt,socket,memcg_kmem_put_cache
accept$inet_graph.txt,socket,security_file_alloc
accept$inet_graph.txt,socket,kmem_cache_alloc
accept$inet_graph.txt,socket,_cond_resched
accept$inet_graph.txt,socket,rcu_all_qs
accept$inet_graph.txt,socket,should_failslab
accept$inet_graph.txt,socket,memcg_kmem_put_cache
accept$inet_graph.txt,socket,apparmor_file_alloc_security
accept$inet_graph.txt,socket,_cond_resched
accept$inet_graph.txt,socket,rcu_all_qs
accept$inet_graph.txt,socket,__mutex_init
accept$inet_graph.txt,socket,smp_irq_work_interrupt
accept$inet_graph.txt,socket,irq_enter
accept$inet_graph.txt,socket,rcu_irq_enter
accept$inet_graph.txt,socket,__wake_up
accept$inet_graph.txt,socket,__wake_up_common_lock
accept$inet_graph.txt,socket,_raw_spin_lock_irqsave
accept$inet_graph.txt,socket,__wake_up_common
accept$inet_graph.txt,socket,pollwake
accept$inet_graph.txt,socket,default_wake_function
accept$inet_graph.txt,socket,try_to_wake_up
accept$inet_graph.txt,socket,_raw_spin_lock_irqsave
accept$inet_graph.txt,socket,select_task_rq_fair
accept$inet_graph.txt,socket,select_idle_sibling
accept$inet_graph.txt,socket,available_idle_cpu
accept$inet_graph.txt,socket,native_smp_send_reschedule
accept$inet_graph.txt,socket,x2apic_send_IPI
accept$inet_graph.txt,socket,_raw_spin_unlock_irqrestore
accept$inet_graph.txt,socket,_raw_spin_unlock_irqrestore
accept$inet_graph.txt,socket,irq_exit
accept$inet_graph.txt,socket,idle_cpu
accept$inet_graph.txt,socket,rcu_irq_exit
accept$inet_graph.txt,socket,fd_install
accept$inet_graph.txt,socket,__fd_install
accept$inet_graph.txt,socket,fpregs_assert_state_consistent
