파일명,시스템콜,해당함수
acct_graph.txt,openat,do_sys_open
acct_graph.txt,openat,getname
acct_graph.txt,openat,getname_flags
acct_graph.txt,openat,kmem_cache_alloc
acct_graph.txt,openat,_cond_resched
acct_graph.txt,openat,rcu_all_qs
acct_graph.txt,openat,should_failslab
acct_graph.txt,openat,memcg_kmem_put_cache
acct_graph.txt,openat,__check_object_size
acct_graph.txt,openat,check_stack_object
acct_graph.txt,openat,__virt_addr_valid
acct_graph.txt,openat,__check_heap_object
acct_graph.txt,openat,get_unused_fd_flags
acct_graph.txt,openat,__alloc_fd
acct_graph.txt,openat,_raw_spin_lock
acct_graph.txt,openat,expand_files
acct_graph.txt,openat,do_filp_open
acct_graph.txt,openat,path_openat
acct_graph.txt,openat,alloc_empty_file
acct_graph.txt,openat,__alloc_file
acct_graph.txt,openat,kmem_cache_alloc
acct_graph.txt,openat,_cond_resched
acct_graph.txt,openat,rcu_all_qs
acct_graph.txt,openat,should_failslab
acct_graph.txt,openat,memcg_kmem_get_cache
acct_graph.txt,openat,memcg_kmem_put_cache
acct_graph.txt,openat,security_file_alloc
acct_graph.txt,openat,kmem_cache_alloc
acct_graph.txt,openat,_cond_resched
acct_graph.txt,openat,rcu_all_qs
acct_graph.txt,openat,should_failslab
acct_graph.txt,openat,memcg_kmem_put_cache
acct_graph.txt,openat,apparmor_file_alloc_security
acct_graph.txt,openat,_cond_resched
acct_graph.txt,openat,rcu_all_qs
acct_graph.txt,openat,smp_irq_work_interrupt
acct_graph.txt,openat,irq_enter
acct_graph.txt,openat,rcu_irq_enter
acct_graph.txt,openat,__wake_up
acct_graph.txt,openat,__wake_up_common_lock
acct_graph.txt,openat,_raw_spin_lock_irqsave
acct_graph.txt,openat,__wake_up_common
acct_graph.txt,openat,pollwake
acct_graph.txt,openat,default_wake_function
acct_graph.txt,openat,try_to_wake_up
acct_graph.txt,openat,_raw_spin_lock_irqsave
acct_graph.txt,openat,select_task_rq_fair
acct_graph.txt,openat,select_idle_sibling
acct_graph.txt,openat,available_idle_cpu
acct_graph.txt,openat,native_smp_send_reschedule
acct_graph.txt,openat,x2apic_send_IPI
acct_graph.txt,openat,_raw_spin_unlock_irqrestore
acct_graph.txt,openat,_raw_spin_unlock_irqrestore
acct_graph.txt,openat,irq_exit
acct_graph.txt,openat,idle_cpu
acct_graph.txt,openat,rcu_irq_exit
acct_graph.txt,openat,__mutex_init
acct_graph.txt,openat,path_init
acct_graph.txt,openat,link_path_walk.part.33
acct_graph.txt,openat,inode_permission
acct_graph.txt,openat,generic_permission
acct_graph.txt,openat,get_cached_acl_rcu
acct_graph.txt,openat,in_group_p
acct_graph.txt,openat,security_inode_permission
acct_graph.txt,openat,walk_component
acct_graph.txt,openat,complete_walk
acct_graph.txt,openat,unlazy_walk
acct_graph.txt,openat,legitimize_links
acct_graph.txt,openat,legitimize_path.isra.30
acct_graph.txt,openat,__legitimize_mnt
acct_graph.txt,openat,legitimize_root
acct_graph.txt,openat,mnt_want_write
acct_graph.txt,openat,__sb_start_write
acct_graph.txt,openat,_cond_resched
acct_graph.txt,openat,rcu_all_qs
acct_graph.txt,openat,__mnt_want_write
acct_graph.txt,openat,down_write
acct_graph.txt,openat,_cond_resched
acct_graph.txt,openat,rcu_all_qs
acct_graph.txt,openat,d_lookup
acct_graph.txt,openat,__d_lookup
acct_graph.txt,openat,_raw_spin_lock
acct_graph.txt,openat,smp_irq_work_interrupt
acct_graph.txt,openat,irq_enter
acct_graph.txt,openat,rcu_irq_enter
acct_graph.txt,openat,__wake_up
acct_graph.txt,openat,__wake_up_common_lock
acct_graph.txt,openat,_raw_spin_lock_irqsave
acct_graph.txt,openat,__wake_up_common
acct_graph.txt,openat,_raw_spin_unlock_irqrestore
acct_graph.txt,openat,irq_exit
acct_graph.txt,openat,idle_cpu
acct_graph.txt,openat,rcu_irq_exit
acct_graph.txt,openat,security_path_mknod
acct_graph.txt,openat,apparmor_path_mknod
acct_graph.txt,openat,common_perm_create.constprop.19
acct_graph.txt,openat,common_perm
acct_graph.txt,openat,from_kuid
acct_graph.txt,openat,map_id_up
acct_graph.txt,openat,from_kgid
acct_graph.txt,openat,map_id_up
acct_graph.txt,openat,inode_permission
acct_graph.txt,openat,generic_permission
acct_graph.txt,openat,get_acl
acct_graph.txt,openat,get_cached_acl
acct_graph.txt,openat,in_group_p
acct_graph.txt,openat,capable_wrt_inode_uidgid
acct_graph.txt,openat,ns_capable_common
acct_graph.txt,openat,security_capable
acct_graph.txt,openat,cap_capable
acct_graph.txt,openat,apparmor_capable
acct_graph.txt,openat,privileged_wrt_inode_uidgid
acct_graph.txt,openat,from_kuid
acct_graph.txt,openat,map_id_up
acct_graph.txt,openat,from_kgid
acct_graph.txt,openat,map_id_up
acct_graph.txt,openat,security_inode_permission
acct_graph.txt,openat,security_inode_create
acct_graph.txt,openat,ext4_create
acct_graph.txt,openat,dquot_initialize
acct_graph.txt,openat,__dquot_initialize
acct_graph.txt,openat,__ext4_new_inode
acct_graph.txt,openat,get_acl
acct_graph.txt,openat,get_cached_acl
acct_graph.txt,openat,__ext4_xattr_set_credits
acct_graph.txt,openat,new_inode
acct_graph.txt,openat,new_inode_pseudo
acct_graph.txt,openat,alloc_inode
acct_graph.txt,openat,ext4_alloc_inode
acct_graph.txt,openat,kmem_cache_alloc
acct_graph.txt,openat,_cond_resched
acct_graph.txt,openat,rcu_all_qs
acct_graph.txt,openat,should_failslab
acct_graph.txt,openat,memcg_kmem_get_cache
acct_graph.txt,openat,memcg_kmem_put_cache
acct_graph.txt,openat,smp_irq_work_interrupt
acct_graph.txt,openat,irq_enter
acct_graph.txt,openat,rcu_irq_enter
acct_graph.txt,openat,__wake_up
acct_graph.txt,openat,__wake_up_common_lock
acct_graph.txt,openat,_raw_spin_lock_irqsave
acct_graph.txt,openat,__wake_up_common
