파일명,시스템콜,해당함수
alarm_0_graph.txt,newfstat,vfs_statx_fd
alarm_0_graph.txt,newfstat,__fdget_raw
alarm_0_graph.txt,newfstat,__fget_light
alarm_0_graph.txt,newfstat,smp_irq_work_interrupt
alarm_0_graph.txt,newfstat,irq_enter
alarm_0_graph.txt,newfstat,rcu_irq_enter
alarm_0_graph.txt,newfstat,__wake_up
alarm_0_graph.txt,newfstat,__wake_up_common_lock
alarm_0_graph.txt,newfstat,_raw_spin_lock_irqsave
alarm_0_graph.txt,newfstat,__wake_up_common
alarm_0_graph.txt,newfstat,_raw_spin_unlock_irqrestore
alarm_0_graph.txt,newfstat,irq_exit
alarm_0_graph.txt,newfstat,idle_cpu
alarm_0_graph.txt,newfstat,rcu_irq_exit
alarm_0_graph.txt,newfstat,vfs_getattr
alarm_0_graph.txt,newfstat,security_inode_getattr
alarm_0_graph.txt,newfstat,apparmor_inode_getattr
alarm_0_graph.txt,newfstat,common_perm_cond
alarm_0_graph.txt,newfstat,common_perm
alarm_0_graph.txt,newfstat,vfs_getattr_nosec
alarm_0_graph.txt,newfstat,generic_fillattr
alarm_0_graph.txt,newfstat,cp_new_stat
alarm_0_graph.txt,newfstat,from_kuid_munged
alarm_0_graph.txt,newfstat,map_id_up
alarm_0_graph.txt,newfstat,from_kgid_munged
alarm_0_graph.txt,newfstat,map_id_up
alarm_0_graph.txt,alarm,alarm_setitimer
alarm_0_graph.txt,alarm,do_setitimer
alarm_0_graph.txt,alarm,_raw_spin_lock_irq
alarm_0_graph.txt,alarm,itimer_get_remtime
alarm_0_graph.txt,alarm,__hrtimer_get_remaining
alarm_0_graph.txt,alarm,lock_hrtimer_base
alarm_0_graph.txt,alarm,_raw_spin_lock_irqsave
alarm_0_graph.txt,alarm,ktime_get
alarm_0_graph.txt,alarm,_raw_spin_unlock_irqrestore
alarm_0_graph.txt,alarm,hrtimer_active
alarm_0_graph.txt,alarm,ns_to_timeval
alarm_0_graph.txt,alarm,ns_to_timeval
alarm_0_graph.txt,alarm,hrtimer_try_to_cancel
alarm_0_graph.txt,alarm,hrtimer_active
alarm_0_graph.txt,alarm,smp_irq_work_interrupt
alarm_0_graph.txt,alarm,irq_enter
alarm_0_graph.txt,alarm,rcu_irq_enter
alarm_0_graph.txt,alarm,__wake_up
alarm_0_graph.txt,alarm,__wake_up_common_lock
alarm_0_graph.txt,alarm,_raw_spin_lock_irqsave
alarm_0_graph.txt,alarm,__wake_up_common
alarm_0_graph.txt,alarm,pollwake
alarm_0_graph.txt,alarm,default_wake_function
alarm_0_graph.txt,alarm,try_to_wake_up
alarm_0_graph.txt,alarm,_raw_spin_lock_irqsave
alarm_0_graph.txt,alarm,select_task_rq_fair
alarm_0_graph.txt,alarm,select_idle_sibling
alarm_0_graph.txt,alarm,available_idle_cpu
alarm_0_graph.txt,alarm,native_smp_send_reschedule
alarm_0_graph.txt,alarm,x2apic_send_IPI
alarm_0_graph.txt,alarm,_raw_spin_unlock_irqrestore
alarm_0_graph.txt,alarm,_raw_spin_unlock_irqrestore
alarm_0_graph.txt,alarm,irq_exit
alarm_0_graph.txt,alarm,idle_cpu
alarm_0_graph.txt,alarm,rcu_irq_exit
alarm_0_graph.txt,write,ksys_write
alarm_0_graph.txt,write,__fdget_pos
alarm_0_graph.txt,write,__fget_light
alarm_0_graph.txt,write,vfs_write
alarm_0_graph.txt,write,rw_verify_area
alarm_0_graph.txt,write,security_file_permission
alarm_0_graph.txt,write,apparmor_file_permission
alarm_0_graph.txt,write,common_file_perm
alarm_0_graph.txt,write,aa_file_perm
alarm_0_graph.txt,write,__vfs_write
alarm_0_graph.txt,write,tty_write
alarm_0_graph.txt,write,tty_paranoia_check
alarm_0_graph.txt,write,tty_ldisc_ref_wait
alarm_0_graph.txt,write,ldsem_down_read
alarm_0_graph.txt,write,_cond_resched
alarm_0_graph.txt,write,rcu_all_qs
alarm_0_graph.txt,write,tty_write_lock
alarm_0_graph.txt,write,mutex_trylock
alarm_0_graph.txt,write,__check_object_size
alarm_0_graph.txt,write,check_stack_object
alarm_0_graph.txt,write,__virt_addr_valid
alarm_0_graph.txt,write,__check_heap_object
alarm_0_graph.txt,write,n_tty_write
alarm_0_graph.txt,write,down_read
alarm_0_graph.txt,write,_cond_resched
alarm_0_graph.txt,write,rcu_all_qs
alarm_0_graph.txt,write,process_echoes
alarm_0_graph.txt,write,add_wait_queue
alarm_0_graph.txt,write,_raw_spin_lock_irqsave
alarm_0_graph.txt,write,_raw_spin_unlock_irqrestore
alarm_0_graph.txt,write,tty_hung_up_p
alarm_0_graph.txt,write,mutex_lock
alarm_0_graph.txt,write,_cond_resched
alarm_0_graph.txt,write,smp_irq_work_interrupt
alarm_0_graph.txt,write,irq_enter
alarm_0_graph.txt,write,rcu_irq_enter
alarm_0_graph.txt,write,__wake_up
alarm_0_graph.txt,write,__wake_up_common_lock
alarm_0_graph.txt,write,_raw_spin_lock_irqsave
alarm_0_graph.txt,write,__wake_up_common
alarm_0_graph.txt,write,_raw_spin_unlock_irqrestore
alarm_0_graph.txt,write,irq_exit
alarm_0_graph.txt,write,idle_cpu
alarm_0_graph.txt,write,rcu_irq_exit
alarm_0_graph.txt,write,rcu_all_qs
alarm_0_graph.txt,write,rcu_note_context_switch
alarm_0_graph.txt,write,rcu_qs
alarm_0_graph.txt,write,_raw_spin_lock
alarm_0_graph.txt,write,update_rq_clock
alarm_0_graph.txt,write,pick_next_task_fair
alarm_0_graph.txt,write,update_curr
alarm_0_graph.txt,write,check_cfs_rq_runtime
alarm_0_graph.txt,write,pick_next_entity
alarm_0_graph.txt,write,wakeup_preempt_entity.isra.77
alarm_0_graph.txt,write,clear_buddies
alarm_0_graph.txt,write,put_prev_entity
alarm_0_graph.txt,write,update_curr
alarm_0_graph.txt,write,update_min_vruntime
alarm_0_graph.txt,write,cpuacct_charge
alarm_0_graph.txt,write,__cgroup_account_cputime
alarm_0_graph.txt,write,cgroup_rstat_updated
alarm_0_graph.txt,write,check_cfs_rq_runtime
alarm_0_graph.txt,write,__enqueue_entity
alarm_0_graph.txt,write,__update_load_avg_se
alarm_0_graph.txt,write,__update_load_avg_cfs_rq
alarm_0_graph.txt,write,set_next_entity
alarm_0_graph.txt,write,__update_load_avg_se
alarm_0_graph.txt,write,__update_load_avg_cfs_rq
alarm_0_graph.txt,write,finish_task_switch
alarm_0_graph.txt,write,tty_write_room
alarm_0_graph.txt,write,pty_write_room
alarm_0_graph.txt,write,tty_buffer_space_avail
alarm_0_graph.txt,write,pty_write
alarm_0_graph.txt,write,tty_insert_flip_string_and_push_buffer
alarm_0_graph.txt,write,_raw_spin_lock_irqsave
alarm_0_graph.txt,write,tty_insert_flip_string_fixed_flag
alarm_0_graph.txt,write,__tty_buffer_request_room
alarm_0_graph.txt,write,_raw_spin_unlock_irqrestore
alarm_0_graph.txt,write,queue_work_on
alarm_0_graph.txt,write,__queue_work
alarm_0_graph.txt,write,get_work_pool
alarm_0_graph.txt,write,_raw_spin_lock
alarm_0_graph.txt,write,insert_work
alarm_0_graph.txt,write,wake_up_process
alarm_0_graph.txt,write,try_to_wake_up
alarm_0_graph.txt,write,_raw_spin_lock_irqsave
alarm_0_graph.txt,write,select_task_rq_fair
alarm_0_graph.txt,write,select_idle_sibling
alarm_0_graph.txt,write,available_idle_cpu
alarm_0_graph.txt,write,_raw_spin_lock
alarm_0_graph.txt,write,update_rq_clock
alarm_0_graph.txt,write,ttwu_do_activate
alarm_0_graph.txt,write,activate_task
alarm_0_graph.txt,write,psi_task_change
alarm_0_graph.txt,write,record_times
alarm_0_graph.txt,write,enqueue_task_fair
alarm_0_graph.txt,write,enqueue_entity
alarm_0_graph.txt,write,update_curr
alarm_0_graph.txt,write,__calc_delta
alarm_0_graph.txt,write,update_min_vruntime
alarm_0_graph.txt,write,__update_load_avg_se
alarm_0_graph.txt,write,__update_load_avg_cfs_rq
alarm_0_graph.txt,write,update_cfs_group
alarm_0_graph.txt,write,account_entity_enqueue
alarm_0_graph.txt,write,__enqueue_entity
alarm_0_graph.txt,write,hrtick_update
alarm_0_graph.txt,write,ttwu_do_wakeup
alarm_0_graph.txt,write,check_preempt_curr
alarm_0_graph.txt,write,check_preempt_wakeup
alarm_0_graph.txt,write,update_curr
alarm_0_graph.txt,write,wakeup_preempt_entity.isra.77
alarm_0_graph.txt,write,set_next_buddy
alarm_0_graph.txt,write,resched_curr
alarm_0_graph.txt,write,_raw_spin_unlock_irqrestore
alarm_0_graph.txt,write,smp_irq_work_interrupt
alarm_0_graph.txt,write,irq_enter
alarm_0_graph.txt,write,rcu_irq_enter
alarm_0_graph.txt,write,__wake_up
alarm_0_graph.txt,write,__wake_up_common_lock
