파일명,시스템콜,해당함수
bind$qrtr_sock0_var53_graph.txt,socket,__sys_socket
bind$qrtr_sock0_var53_graph.txt,socket,__sock_create
bind$qrtr_sock0_var53_graph.txt,socket,security_socket_create
bind$qrtr_sock0_var53_graph.txt,socket,apparmor_socket_create
bind$qrtr_sock0_var53_graph.txt,socket,__cond_resched
bind$qrtr_sock0_var53_graph.txt,socket,rcu_all_qs
bind$qrtr_sock0_var53_graph.txt,socket,sock_alloc
bind$qrtr_sock0_var53_graph.txt,socket,new_inode_pseudo
bind$qrtr_sock0_var53_graph.txt,socket,alloc_inode
bind$qrtr_sock0_var53_graph.txt,socket,sock_alloc_inode
bind$qrtr_sock0_var53_graph.txt,socket,kmem_cache_alloc
bind$qrtr_sock0_var53_graph.txt,socket,__cond_resched
bind$qrtr_sock0_var53_graph.txt,socket,rcu_all_qs
bind$qrtr_sock0_var53_graph.txt,socket,should_failslab
bind$qrtr_sock0_var53_graph.txt,socket,mem_cgroup_from_task
bind$qrtr_sock0_var53_graph.txt,socket,rcu_read_unlock_strict
bind$qrtr_sock0_var53_graph.txt,socket,obj_cgroup_charge
bind$qrtr_sock0_var53_graph.txt,socket,obj_cgroup_charge_pages
bind$qrtr_sock0_var53_graph.txt,socket,get_mem_cgroup_from_objcg
bind$qrtr_sock0_var53_graph.txt,socket,rcu_read_unlock_strict
bind$qrtr_sock0_var53_graph.txt,socket,try_charge_memcg
bind$qrtr_sock0_var53_graph.txt,socket,do_memsw_account
bind$qrtr_sock0_var53_graph.txt,socket,page_counter_try_charge
bind$qrtr_sock0_var53_graph.txt,socket,propagate_protected_usage
bind$qrtr_sock0_var53_graph.txt,socket,refill_stock
bind$qrtr_sock0_var53_graph.txt,socket,drain_stock.isra.0
bind$qrtr_sock0_var53_graph.txt,socket,page_counter_uncharge
bind$qrtr_sock0_var53_graph.txt,socket,page_counter_cancel
bind$qrtr_sock0_var53_graph.txt,socket,propagate_protected_usage
bind$qrtr_sock0_var53_graph.txt,socket,do_memsw_account
bind$qrtr_sock0_var53_graph.txt,socket,rcu_read_unlock_strict
bind$qrtr_sock0_var53_graph.txt,socket,rcu_read_unlock_strict
bind$qrtr_sock0_var53_graph.txt,socket,page_counter_try_charge
bind$qrtr_sock0_var53_graph.txt,socket,propagate_protected_usage
bind$qrtr_sock0_var53_graph.txt,socket,rcu_read_unlock_strict
bind$qrtr_sock0_var53_graph.txt,socket,refill_obj_stock
bind$qrtr_sock0_var53_graph.txt,socket,drain_obj_stock
bind$qrtr_sock0_var53_graph.txt,socket,__mod_memcg_lruvec_state
bind$qrtr_sock0_var53_graph.txt,socket,cgroup_rstat_updated
bind$qrtr_sock0_var53_graph.txt,socket,rcu_read_unlock_strict
bind$qrtr_sock0_var53_graph.txt,socket,rcu_read_unlock_strict
bind$qrtr_sock0_var53_graph.txt,socket,obj_cgroup_uncharge_pages
bind$qrtr_sock0_var53_graph.txt,socket,get_mem_cgroup_from_objcg
bind$qrtr_sock0_var53_graph.txt,socket,rcu_read_unlock_strict
bind$qrtr_sock0_var53_graph.txt,socket,page_counter_uncharge
bind$qrtr_sock0_var53_graph.txt,socket,page_counter_cancel
bind$qrtr_sock0_var53_graph.txt,socket,propagate_protected_usage
bind$qrtr_sock0_var53_graph.txt,socket,refill_stock
bind$qrtr_sock0_var53_graph.txt,socket,drain_stock.isra.0
bind$qrtr_sock0_var53_graph.txt,socket,page_counter_uncharge
bind$qrtr_sock0_var53_graph.txt,socket,page_counter_cancel
bind$qrtr_sock0_var53_graph.txt,socket,propagate_protected_usage
bind$qrtr_sock0_var53_graph.txt,socket,do_memsw_account
bind$qrtr_sock0_var53_graph.txt,socket,rcu_read_unlock_strict
bind$qrtr_sock0_var53_graph.txt,socket,rcu_read_unlock_strict
bind$qrtr_sock0_var53_graph.txt,socket,mod_objcg_state
bind$qrtr_sock0_var53_graph.txt,socket,__init_waitqueue_head
bind$qrtr_sock0_var53_graph.txt,socket,inode_init_always
bind$qrtr_sock0_var53_graph.txt,socket,make_kuid
bind$qrtr_sock0_var53_graph.txt,socket,map_id_range_down
bind$qrtr_sock0_var53_graph.txt,socket,make_kgid
bind$qrtr_sock0_var53_graph.txt,socket,map_id_range_down
bind$qrtr_sock0_var53_graph.txt,socket,__init_rwsem
bind$qrtr_sock0_var53_graph.txt,socket,security_inode_alloc
bind$qrtr_sock0_var53_graph.txt,socket,kmem_cache_alloc
bind$qrtr_sock0_var53_graph.txt,socket,__cond_resched
bind$qrtr_sock0_var53_graph.txt,socket,rcu_all_qs
bind$qrtr_sock0_var53_graph.txt,socket,should_failslab
bind$qrtr_sock0_var53_graph.txt,socket,apparmor_inode_alloc_security
bind$qrtr_sock0_var53_graph.txt,socket,_raw_spin_lock
