파일명,시스템콜,해당함수
capability_0__LINUX_CAPABILITY_VERSION_1_graph.txt,capget,cap_validate_magic
capability_0__LINUX_CAPABILITY_VERSION_1_graph.txt,capget,security_capget
capability_0__LINUX_CAPABILITY_VERSION_1_graph.txt,capget,cap_capget
capability_0__LINUX_CAPABILITY_VERSION_1_graph.txt,capget,apparmor_capget
capability_0__LINUX_CAPABILITY_VERSION_1_graph.txt,capget,__check_object_size
capability_0__LINUX_CAPABILITY_VERSION_1_graph.txt,capget,check_stack_object
capability_2__LINUX_CAPABILITY_VERSION_3_graph.txt,capget,cap_validate_magic
capability_2__LINUX_CAPABILITY_VERSION_3_graph.txt,capget,security_capget
capability_2__LINUX_CAPABILITY_VERSION_3_graph.txt,capget,cap_capget
capability_2__LINUX_CAPABILITY_VERSION_3_graph.txt,capget,apparmor_capget
capability_2__LINUX_CAPABILITY_VERSION_3_graph.txt,capget,__check_object_size
capability_2__LINUX_CAPABILITY_VERSION_3_graph.txt,capget,check_stack_object
capability_1__LINUX_CAPABILITY_VERSION_2_graph.txt,capget,cap_validate_magic
capability_1__LINUX_CAPABILITY_VERSION_2_graph.txt,capget,security_capget
capability_1__LINUX_CAPABILITY_VERSION_2_graph.txt,capget,cap_capget
capability_1__LINUX_CAPABILITY_VERSION_2_graph.txt,capget,apparmor_capget
capability_1__LINUX_CAPABILITY_VERSION_2_graph.txt,capget,__check_object_size
capability_1__LINUX_CAPABILITY_VERSION_2_graph.txt,capget,check_stack_object
