파일명,시스템콜,해당함수
test_fchownat_symlink_follow_graph.txt,socket,__sys_socket
test_fchownat_symlink_follow_graph.txt,socket,__sock_create
test_fchownat_symlink_follow_graph.txt,socket,security_socket_create
test_fchownat_symlink_follow_graph.txt,socket,apparmor_socket_create
test_fchownat_symlink_follow_graph.txt,socket,_cond_resched
test_fchownat_symlink_follow_graph.txt,socket,rcu_all_qs
test_fchownat_symlink_follow_graph.txt,socket,sock_alloc
test_fchownat_symlink_follow_graph.txt,socket,new_inode_pseudo
test_fchownat_symlink_follow_graph.txt,socket,alloc_inode
test_fchownat_symlink_follow_graph.txt,socket,sock_alloc_inode
test_fchownat_symlink_follow_graph.txt,socket,kmem_cache_alloc
test_fchownat_symlink_follow_graph.txt,socket,_cond_resched
test_fchownat_symlink_follow_graph.txt,socket,rcu_all_qs
test_fchownat_symlink_follow_graph.txt,socket,smp_irq_work_interrupt
test_fchownat_symlink_follow_graph.txt,socket,irq_enter
test_fchownat_symlink_follow_graph.txt,socket,rcu_irq_enter
test_fchownat_symlink_follow_graph.txt,socket,__wake_up
test_fchownat_symlink_follow_graph.txt,socket,__wake_up_common_lock
test_fchownat_symlink_follow_graph.txt,socket,_raw_spin_lock_irqsave
test_fchownat_symlink_follow_graph.txt,socket,__wake_up_common
test_fchownat_symlink_follow_graph.txt,socket,_raw_spin_unlock_irqrestore
test_fchownat_symlink_follow_graph.txt,socket,irq_exit
test_fchownat_symlink_follow_graph.txt,socket,idle_cpu
test_fchownat_symlink_follow_graph.txt,socket,rcu_irq_exit
test_fchownat_symlink_follow_graph.txt,socket,should_failslab
test_fchownat_symlink_follow_graph.txt,socket,memcg_kmem_get_cache
test_fchownat_symlink_follow_graph.txt,socket,memcg_kmem_put_cache
test_fchownat_symlink_follow_graph.txt,socket,__init_waitqueue_head
test_fchownat_symlink_follow_graph.txt,socket,inode_init_always
test_fchownat_symlink_follow_graph.txt,socket,make_kuid
test_fchownat_symlink_follow_graph.txt,socket,map_id_range_down
test_fchownat_symlink_follow_graph.txt,socket,make_kgid
test_fchownat_symlink_follow_graph.txt,socket,map_id_range_down
test_fchownat_symlink_follow_graph.txt,socket,__init_rwsem
test_fchownat_symlink_follow_graph.txt,socket,security_inode_alloc
test_fchownat_symlink_follow_graph.txt,socket,_raw_spin_lock
test_fchownat_symlink_follow_graph.txt,socket,get_next_ino
test_fchownat_symlink_follow_graph.txt,socket,smp_irq_work_interrupt
test_fchownat_symlink_follow_graph.txt,socket,irq_enter
test_fchownat_symlink_follow_graph.txt,socket,rcu_irq_enter
test_fchownat_symlink_follow_graph.txt,socket,__wake_up
test_fchownat_symlink_follow_graph.txt,socket,__wake_up_common_lock
test_fchownat_symlink_follow_graph.txt,socket,_raw_spin_lock_irqsave
test_fchownat_symlink_follow_graph.txt,socket,__wake_up_common
test_fchownat_symlink_follow_graph.txt,socket,_raw_spin_unlock_irqrestore
test_fchownat_symlink_follow_graph.txt,socket,irq_exit
test_fchownat_symlink_follow_graph.txt,socket,idle_cpu
test_fchownat_symlink_follow_graph.txt,socket,rcu_irq_exit
test_fchownat_symlink_follow_graph.txt,socket,try_module_get
test_fchownat_symlink_follow_graph.txt,socket,unix_create
test_fchownat_symlink_follow_graph.txt,socket,unix_create1
test_fchownat_symlink_follow_graph.txt,socket,get_max_files
test_fchownat_symlink_follow_graph.txt,socket,sk_alloc
test_fchownat_symlink_follow_graph.txt,socket,sk_prot_alloc
test_fchownat_symlink_follow_graph.txt,socket,kmem_cache_alloc
test_fchownat_symlink_follow_graph.txt,socket,_cond_resched
test_fchownat_symlink_follow_graph.txt,socket,rcu_all_qs
test_fchownat_symlink_follow_graph.txt,socket,should_failslab
test_fchownat_symlink_follow_graph.txt,socket,memcg_kmem_get_cache
test_fchownat_symlink_follow_graph.txt,socket,memcg_kmem_put_cache
test_fchownat_symlink_follow_graph.txt,socket,page_poisoning_enabled
test_fchownat_symlink_follow_graph.txt,socket,security_sk_alloc
test_fchownat_symlink_follow_graph.txt,socket,__kmalloc
test_fchownat_symlink_follow_graph.txt,socket,kmalloc_slab
test_fchownat_symlink_follow_graph.txt,socket,_cond_resched
test_fchownat_symlink_follow_graph.txt,socket,rcu_all_qs
test_fchownat_symlink_follow_graph.txt,socket,should_failslab
test_fchownat_symlink_follow_graph.txt,socket,memcg_kmem_put_cache
test_fchownat_symlink_follow_graph.txt,socket,try_module_get
test_fchownat_symlink_follow_graph.txt,socket,__init_waitqueue_head
test_fchownat_symlink_follow_graph.txt,socket,mem_cgroup_sk_alloc
test_fchownat_symlink_follow_graph.txt,socket,cgroup_sk_alloc
test_fchownat_symlink_follow_graph.txt,socket,sock_init_data
test_fchownat_symlink_follow_graph.txt,socket,init_timer_key
test_fchownat_symlink_follow_graph.txt,socket,smp_irq_work_interrupt
test_fchownat_symlink_follow_graph.txt,socket,irq_enter
test_fchownat_symlink_follow_graph.txt,socket,rcu_irq_enter
test_fchownat_symlink_follow_graph.txt,socket,__wake_up
test_fchownat_symlink_follow_graph.txt,socket,__wake_up_common_lock
test_fchownat_symlink_follow_graph.txt,socket,_raw_spin_lock_irqsave
test_fchownat_symlink_follow_graph.txt,socket,__wake_up_common
test_fchownat_symlink_follow_graph.txt,socket,_raw_spin_unlock_irqrestore
test_fchownat_symlink_follow_graph.txt,socket,irq_exit
test_fchownat_symlink_follow_graph.txt,socket,idle_cpu
test_fchownat_symlink_follow_graph.txt,socket,rcu_irq_exit
test_fchownat_symlink_follow_graph.txt,socket,__mutex_init
test_fchownat_symlink_follow_graph.txt,socket,__init_waitqueue_head
test_fchownat_symlink_follow_graph.txt,socket,_raw_spin_lock
test_fchownat_symlink_follow_graph.txt,socket,__unix_insert_socket
test_fchownat_symlink_follow_graph.txt,socket,sock_prot_inuse_add
test_fchownat_symlink_follow_graph.txt,socket,__local_bh_enable_ip
test_fchownat_symlink_follow_graph.txt,socket,module_put
test_fchownat_symlink_follow_graph.txt,socket,security_socket_post_create
test_fchownat_symlink_follow_graph.txt,socket,apparmor_socket_post_create
test_fchownat_symlink_follow_graph.txt,socket,get_unused_fd_flags
test_fchownat_symlink_follow_graph.txt,socket,__alloc_fd
test_fchownat_symlink_follow_graph.txt,socket,_raw_spin_lock
test_fchownat_symlink_follow_graph.txt,socket,smp_irq_work_interrupt
test_fchownat_symlink_follow_graph.txt,socket,irq_enter
test_fchownat_symlink_follow_graph.txt,socket,rcu_irq_enter
test_fchownat_symlink_follow_graph.txt,socket,__wake_up
test_fchownat_symlink_follow_graph.txt,socket,__wake_up_common_lock
test_fchownat_symlink_follow_graph.txt,socket,_raw_spin_lock_irqsave
test_fchownat_symlink_follow_graph.txt,socket,__wake_up_common
test_fchownat_symlink_follow_graph.txt,socket,_raw_spin_unlock_irqrestore
test_fchownat_symlink_follow_graph.txt,socket,irq_exit
test_fchownat_symlink_follow_graph.txt,socket,idle_cpu
test_fchownat_symlink_follow_graph.txt,socket,rcu_irq_exit
test_fchownat_symlink_follow_graph.txt,socket,expand_files
test_fchownat_symlink_follow_graph.txt,socket,sock_alloc_file
test_fchownat_symlink_follow_graph.txt,socket,alloc_file_pseudo
test_fchownat_symlink_follow_graph.txt,socket,d_alloc_pseudo
test_fchownat_symlink_follow_graph.txt,socket,__d_alloc
test_fchownat_symlink_follow_graph.txt,socket,kmem_cache_alloc
test_fchownat_symlink_follow_graph.txt,socket,_cond_resched
test_fchownat_symlink_follow_graph.txt,socket,rcu_all_qs
test_fchownat_symlink_follow_graph.txt,socket,should_failslab
test_fchownat_symlink_follow_graph.txt,socket,memcg_kmem_get_cache
test_fchownat_symlink_follow_graph.txt,socket,memcg_kmem_put_cache
test_fchownat_symlink_follow_graph.txt,socket,d_set_d_op
test_fchownat_symlink_follow_graph.txt,socket,mntget
test_fchownat_symlink_follow_graph.txt,socket,d_instantiate
test_fchownat_symlink_follow_graph.txt,socket,security_d_instantiate
test_fchownat_symlink_follow_graph.txt,socket,_raw_spin_lock
test_fchownat_symlink_follow_graph.txt,socket,__d_instantiate
test_fchownat_symlink_follow_graph.txt,socket,d_flags_for_inode
test_fchownat_symlink_follow_graph.txt,socket,_raw_spin_lock
test_fchownat_symlink_follow_graph.txt,socket,alloc_file
test_fchownat_symlink_follow_graph.txt,socket,alloc_empty_file
test_fchownat_symlink_follow_graph.txt,socket,__alloc_file
test_fchownat_symlink_follow_graph.txt,socket,kmem_cache_alloc
test_fchownat_symlink_follow_graph.txt,socket,_cond_resched
test_fchownat_symlink_follow_graph.txt,socket,rcu_all_qs
test_fchownat_symlink_follow_graph.txt,socket,should_failslab
test_fchownat_symlink_follow_graph.txt,socket,memcg_kmem_get_cache
test_fchownat_symlink_follow_graph.txt,socket,memcg_kmem_put_cache
test_fchownat_symlink_follow_graph.txt,socket,smp_irq_work_interrupt
test_fchownat_symlink_follow_graph.txt,socket,irq_enter
test_fchownat_symlink_follow_graph.txt,socket,rcu_irq_enter
test_fchownat_symlink_follow_graph.txt,socket,__wake_up
test_fchownat_symlink_follow_graph.txt,socket,__wake_up_common_lock
test_fchownat_symlink_follow_graph.txt,socket,_raw_spin_lock_irqsave
test_fchownat_symlink_follow_graph.txt,socket,__wake_up_common
test_fchownat_symlink_follow_graph.txt,socket,_raw_spin_unlock_irqrestore
test_fchownat_symlink_follow_graph.txt,socket,irq_exit
test_fchownat_symlink_follow_graph.txt,socket,idle_cpu
test_fchownat_symlink_follow_graph.txt,socket,rcu_irq_exit
test_fchownat_symlink_follow_graph.txt,socket,security_file_alloc
test_fchownat_symlink_follow_graph.txt,socket,kmem_cache_alloc
test_fchownat_symlink_follow_graph.txt,socket,_cond_resched
test_fchownat_symlink_follow_graph.txt,socket,rcu_all_qs
test_fchownat_symlink_follow_graph.txt,socket,should_failslab
test_fchownat_symlink_follow_graph.txt,socket,memcg_kmem_put_cache
test_fchownat_symlink_follow_graph.txt,socket,apparmor_file_alloc_security
test_fchownat_symlink_follow_graph.txt,socket,_cond_resched
test_fchownat_symlink_follow_graph.txt,socket,rcu_all_qs
test_fchownat_symlink_follow_graph.txt,socket,smp_apic_timer_interrupt
test_fchownat_symlink_follow_graph.txt,socket,irq_enter
test_fchownat_symlink_follow_graph.txt,socket,rcu_irq_enter
test_fchownat_symlink_follow_graph.txt,socket,hrtimer_interrupt
test_fchownat_symlink_follow_graph.txt,socket,_raw_spin_lock_irqsave
test_fchownat_symlink_follow_graph.txt,socket,ktime_get_update_offsets_now
