파일명,시스템콜,해당함수
chroot_test_graph.txt,readlink,do_readlinkat
chroot_test_graph.txt,readlink,user_path_at_empty
chroot_test_graph.txt,readlink,getname_flags
chroot_test_graph.txt,readlink,kmem_cache_alloc
chroot_test_graph.txt,readlink,_cond_resched
chroot_test_graph.txt,readlink,rcu_all_qs
chroot_test_graph.txt,readlink,should_failslab
chroot_test_graph.txt,readlink,memcg_kmem_put_cache
chroot_test_graph.txt,readlink,__check_object_size
chroot_test_graph.txt,readlink,check_stack_object
chroot_test_graph.txt,readlink,__virt_addr_valid
chroot_test_graph.txt,readlink,__check_heap_object
chroot_test_graph.txt,readlink,filename_lookup
chroot_test_graph.txt,readlink,path_lookupat
chroot_test_graph.txt,readlink,path_init
chroot_test_graph.txt,readlink,set_root
chroot_test_graph.txt,readlink,nd_jump_root
chroot_test_graph.txt,readlink,link_path_walk.part.33
chroot_test_graph.txt,readlink,inode_permission
chroot_test_graph.txt,readlink,generic_permission
chroot_test_graph.txt,readlink,smp_irq_work_interrupt
chroot_test_graph.txt,readlink,irq_enter
chroot_test_graph.txt,readlink,rcu_irq_enter
chroot_test_graph.txt,readlink,__wake_up
chroot_test_graph.txt,readlink,__wake_up_common_lock
chroot_test_graph.txt,readlink,_raw_spin_lock_irqsave
chroot_test_graph.txt,readlink,__wake_up_common
chroot_test_graph.txt,readlink,_raw_spin_unlock_irqrestore
chroot_test_graph.txt,readlink,irq_exit
chroot_test_graph.txt,readlink,idle_cpu
chroot_test_graph.txt,readlink,rcu_irq_exit
chroot_test_graph.txt,readlink,security_inode_permission
chroot_test_graph.txt,readlink,proc_pid_permission
chroot_test_graph.txt,readlink,get_pid_task
chroot_test_graph.txt,readlink,generic_permission
chroot_test_graph.txt,readlink,walk_component
chroot_test_graph.txt,readlink,lookup_fast
chroot_test_graph.txt,readlink,__d_lookup_rcu
chroot_test_graph.txt,readlink,__follow_mount_rcu.isra.28
chroot_test_graph.txt,readlink,__lookup_mnt
chroot_test_graph.txt,readlink,pid_revalidate
chroot_test_graph.txt,readlink,get_pid_task
chroot_test_graph.txt,readlink,pid_update_inode
chroot_test_graph.txt,readlink,task_dump_owner
