파일명,시스템콜,해당함수
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,clock_gettime,clockid_to_kclock.part.10
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,clock_gettime,posix_get_boottime
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,clock_gettime,ktime_get_with_offset
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,clock_gettime,ns_to_timespec64
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,clock_gettime,put_timespec64
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,vfs_statx_fd
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,__fdget_raw
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,__fget_light
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,vfs_getattr
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,security_inode_getattr
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,apparmor_inode_getattr
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,common_perm_cond
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,common_perm
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,vfs_getattr_nosec
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,generic_fillattr
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,smp_irq_work_interrupt
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,irq_enter
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,rcu_irq_enter
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,__wake_up
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,__wake_up_common_lock
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,_raw_spin_lock_irqsave
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,__wake_up_common
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,pollwake
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,default_wake_function
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,try_to_wake_up
clock_nanosleep_CLOCK_BOOTTIME_TIMER_ABSTIME_graph.txt,newfstat,_raw_spin_lock_irqsave
