파일명,시스템콜,해당함수
test_clone_clone_newuts_graph.txt,clone,_do_fork
test_clone_clone_newuts_graph.txt,clone,copy_process
test_clone_clone_newuts_graph.txt,clone,_raw_spin_lock_irq
test_clone_clone_newuts_graph.txt,clone,recalc_sigpending
test_clone_clone_newuts_graph.txt,clone,recalc_sigpending_tsk
test_clone_clone_newuts_graph.txt,clone,tsk_fork_get_node
test_clone_clone_newuts_graph.txt,clone,kmem_cache_alloc_node
test_clone_clone_newuts_graph.txt,clone,_cond_resched
test_clone_clone_newuts_graph.txt,clone,rcu_all_qs
test_clone_clone_newuts_graph.txt,clone,should_failslab
test_clone_clone_newuts_graph.txt,clone,memcg_kmem_get_cache
test_clone_clone_newuts_graph.txt,clone,memcg_kmem_put_cache
test_clone_clone_newuts_graph.txt,clone,smp_irq_work_interrupt
test_clone_clone_newuts_graph.txt,clone,irq_enter
test_clone_clone_newuts_graph.txt,clone,rcu_irq_enter
test_clone_clone_newuts_graph.txt,clone,__wake_up
test_clone_clone_newuts_graph.txt,clone,__wake_up_common_lock
test_clone_clone_newuts_graph.txt,clone,_raw_spin_lock_irqsave
test_clone_clone_newuts_graph.txt,clone,__wake_up_common
test_clone_clone_newuts_graph.txt,clone,_raw_spin_unlock_irqrestore
test_clone_clone_newuts_graph.txt,clone,irq_exit
test_clone_clone_newuts_graph.txt,clone,idle_cpu
test_clone_clone_newuts_graph.txt,clone,rcu_irq_exit
test_clone_clone_newuts_graph.txt,clone,__vmalloc_node_range
test_clone_clone_newuts_graph.txt,clone,__get_vm_area_node
test_clone_clone_newuts_graph.txt,clone,kmem_cache_alloc_node_trace
test_clone_clone_newuts_graph.txt,clone,_cond_resched
test_clone_clone_newuts_graph.txt,clone,rcu_all_qs
test_clone_clone_newuts_graph.txt,clone,should_failslab
test_clone_clone_newuts_graph.txt,clone,memcg_kmem_put_cache
test_clone_clone_newuts_graph.txt,clone,alloc_vmap_area
test_clone_clone_newuts_graph.txt,clone,_cond_resched
test_clone_clone_newuts_graph.txt,clone,rcu_all_qs
test_clone_clone_newuts_graph.txt,clone,kmem_cache_alloc_node
test_clone_clone_newuts_graph.txt,clone,_cond_resched
test_clone_clone_newuts_graph.txt,clone,rcu_all_qs
test_clone_clone_newuts_graph.txt,clone,should_failslab
test_clone_clone_newuts_graph.txt,clone,memcg_kmem_put_cache
test_clone_clone_newuts_graph.txt,clone,_raw_spin_lock
test_clone_clone_newuts_graph.txt,clone,insert_vmap_area_augment.constprop.53
test_clone_clone_newuts_graph.txt,clone,free_vmap_area_rb_augment_cb_rotate
test_clone_clone_newuts_graph.txt,clone,insert_vmap_area.constprop.52
test_clone_clone_newuts_graph.txt,clone,setup_vmalloc_vm
test_clone_clone_newuts_graph.txt,clone,_raw_spin_lock
test_clone_clone_newuts_graph.txt,clone,__kmalloc_node
test_clone_clone_newuts_graph.txt,clone,kmalloc_slab
test_clone_clone_newuts_graph.txt,clone,_cond_resched
test_clone_clone_newuts_graph.txt,clone,rcu_all_qs
test_clone_clone_newuts_graph.txt,clone,should_failslab
test_clone_clone_newuts_graph.txt,clone,memcg_kmem_put_cache
test_clone_clone_newuts_graph.txt,clone,alloc_pages_current
test_clone_clone_newuts_graph.txt,clone,get_task_policy.part.34
test_clone_clone_newuts_graph.txt,clone,policy_nodemask
test_clone_clone_newuts_graph.txt,clone,policy_node
test_clone_clone_newuts_graph.txt,clone,__alloc_pages_nodemask
test_clone_clone_newuts_graph.txt,clone,_cond_resched
test_clone_clone_newuts_graph.txt,clone,rcu_all_qs
test_clone_clone_newuts_graph.txt,clone,should_fail_alloc_page
test_clone_clone_newuts_graph.txt,clone,get_page_from_freelist
test_clone_clone_newuts_graph.txt,clone,__inc_numa_state
test_clone_clone_newuts_graph.txt,clone,smp_irq_work_interrupt
test_clone_clone_newuts_graph.txt,clone,irq_enter
test_clone_clone_newuts_graph.txt,clone,rcu_irq_enter
test_clone_clone_newuts_graph.txt,clone,__wake_up
test_clone_clone_newuts_graph.txt,clone,__wake_up_common_lock
test_clone_clone_newuts_graph.txt,clone,_raw_spin_lock_irqsave
test_clone_clone_newuts_graph.txt,clone,__wake_up_common
test_clone_clone_newuts_graph.txt,clone,_raw_spin_unlock_irqrestore
