파일명,시스템콜,해당함수
test_clone_clone_io_graph.txt,clone,smp_irq_work_interrupt
test_clone_clone_io_graph.txt,clone,irq_enter
test_clone_clone_io_graph.txt,clone,rcu_irq_enter
test_clone_clone_io_graph.txt,clone,__wake_up
test_clone_clone_io_graph.txt,clone,__wake_up_common_lock
test_clone_clone_io_graph.txt,clone,_raw_spin_lock_irqsave
test_clone_clone_io_graph.txt,clone,__wake_up_common
test_clone_clone_io_graph.txt,clone,pollwake
test_clone_clone_io_graph.txt,clone,default_wake_function
test_clone_clone_io_graph.txt,clone,try_to_wake_up
test_clone_clone_io_graph.txt,clone,_raw_spin_lock_irqsave
test_clone_clone_io_graph.txt,clone,select_task_rq_fair
test_clone_clone_io_graph.txt,clone,select_idle_sibling
test_clone_clone_io_graph.txt,clone,available_idle_cpu
test_clone_clone_io_graph.txt,clone,native_smp_send_reschedule
test_clone_clone_io_graph.txt,clone,x2apic_send_IPI
test_clone_clone_io_graph.txt,clone,_raw_spin_unlock_irqrestore
test_clone_clone_io_graph.txt,clone,_raw_spin_unlock_irqrestore
test_clone_clone_io_graph.txt,clone,irq_exit
test_clone_clone_io_graph.txt,clone,idle_cpu
test_clone_clone_io_graph.txt,clone,rcu_irq_exit
test_clone_clone_io_graph.txt,clone,_do_fork
test_clone_clone_io_graph.txt,clone,copy_process
test_clone_clone_io_graph.txt,clone,_raw_spin_lock_irq
test_clone_clone_io_graph.txt,clone,recalc_sigpending
test_clone_clone_io_graph.txt,clone,recalc_sigpending_tsk
test_clone_clone_io_graph.txt,clone,tsk_fork_get_node
test_clone_clone_io_graph.txt,clone,kmem_cache_alloc_node
test_clone_clone_io_graph.txt,clone,_cond_resched
test_clone_clone_io_graph.txt,clone,rcu_all_qs
test_clone_clone_io_graph.txt,clone,should_failslab
test_clone_clone_io_graph.txt,clone,memcg_kmem_get_cache
test_clone_clone_io_graph.txt,clone,memcg_kmem_put_cache
test_clone_clone_io_graph.txt,clone,__memcg_kmem_charge
test_clone_clone_io_graph.txt,clone,get_mem_cgroup_from_mm
test_clone_clone_io_graph.txt,clone,__memcg_kmem_charge_memcg
test_clone_clone_io_graph.txt,clone,try_charge
test_clone_clone_io_graph.txt,clone,page_counter_try_charge
test_clone_clone_io_graph.txt,clone,propagate_protected_usage
test_clone_clone_io_graph.txt,clone,smp_irq_work_interrupt
test_clone_clone_io_graph.txt,clone,irq_enter
test_clone_clone_io_graph.txt,clone,rcu_irq_enter
test_clone_clone_io_graph.txt,clone,__wake_up
test_clone_clone_io_graph.txt,clone,__wake_up_common_lock
test_clone_clone_io_graph.txt,clone,_raw_spin_lock_irqsave
test_clone_clone_io_graph.txt,clone,__wake_up_common
test_clone_clone_io_graph.txt,clone,_raw_spin_unlock_irqrestore
test_clone_clone_io_graph.txt,clone,irq_exit
test_clone_clone_io_graph.txt,clone,idle_cpu
test_clone_clone_io_graph.txt,clone,rcu_irq_exit
