파일명,시스템콜,해당함수
close_range_graph.txt,dup,ksys_dup
close_range_graph.txt,dup,get_unused_fd_flags
close_range_graph.txt,dup,__alloc_fd
close_range_graph.txt,dup,_raw_spin_lock
close_range_graph.txt,dup,expand_files
close_range_graph.txt,dup,smp_irq_work_interrupt
close_range_graph.txt,dup,irq_enter
close_range_graph.txt,dup,rcu_irq_enter
close_range_graph.txt,dup,__wake_up
close_range_graph.txt,dup,__wake_up_common_lock
close_range_graph.txt,dup,_raw_spin_lock_irqsave
close_range_graph.txt,dup,__wake_up_common
close_range_graph.txt,dup,_raw_spin_unlock_irqrestore
close_range_graph.txt,dup,irq_exit
close_range_graph.txt,dup,idle_cpu
close_range_graph.txt,dup,rcu_irq_exit
close_range_graph.txt,dup,__fd_install
