파일명,시스템콜,해당함수
domainname_graph.txt,newuname,down_read
domainname_graph.txt,newuname,_cond_resched
domainname_graph.txt,newuname,rcu_all_qs
domainname_graph.txt,newuname,smp_irq_work_interrupt
domainname_graph.txt,newuname,irq_enter
domainname_graph.txt,newuname,rcu_irq_enter
domainname_graph.txt,newuname,__wake_up
domainname_graph.txt,newuname,__wake_up_common_lock
domainname_graph.txt,newuname,_raw_spin_lock_irqsave
domainname_graph.txt,newuname,__wake_up_common
domainname_graph.txt,newuname,_raw_spin_unlock_irqrestore
domainname_graph.txt,newuname,irq_exit
domainname_graph.txt,newuname,idle_cpu
domainname_graph.txt,newuname,rcu_irq_exit
domainname_graph.txt,newuname,up_read
domainname_graph.txt,newuname,fpregs_assert_state_consistent
domainname_graph.txt,newfstat,vfs_statx_fd
domainname_graph.txt,newfstat,__fdget_raw
domainname_graph.txt,newfstat,__fget_light
domainname_graph.txt,newfstat,vfs_getattr
domainname_graph.txt,newfstat,security_inode_getattr
domainname_graph.txt,newfstat,apparmor_inode_getattr
domainname_graph.txt,newfstat,common_perm_cond
domainname_graph.txt,newfstat,common_perm
domainname_graph.txt,newfstat,vfs_getattr_nosec
domainname_graph.txt,newfstat,generic_fillattr
domainname_graph.txt,newfstat,cp_new_stat
domainname_graph.txt,newfstat,from_kuid_munged
domainname_graph.txt,newfstat,map_id_up
domainname_graph.txt,newfstat,from_kgid_munged
domainname_graph.txt,newfstat,map_id_up
domainname_graph.txt,setdomainname,ns_capable
domainname_graph.txt,setdomainname,ns_capable_common
domainname_graph.txt,setdomainname,security_capable
domainname_graph.txt,setdomainname,cap_capable
domainname_graph.txt,setdomainname,apparmor_capable
domainname_graph.txt,setdomainname,__check_object_size
domainname_graph.txt,setdomainname,check_stack_object
domainname_graph.txt,setdomainname,down_write
domainname_graph.txt,setdomainname,_cond_resched
domainname_graph.txt,setdomainname,rcu_all_qs
domainname_graph.txt,setdomainname,uts_proc_notify
domainname_graph.txt,setdomainname,proc_sys_poll_notify
domainname_graph.txt,setdomainname,__wake_up
domainname_graph.txt,setdomainname,__wake_up_common_lock
domainname_graph.txt,setdomainname,_raw_spin_lock_irqsave
domainname_graph.txt,setdomainname,__wake_up_common
domainname_graph.txt,setdomainname,_raw_spin_unlock_irqrestore
domainname_graph.txt,setdomainname,up_write
