파일명,시스템콜,해당함수
test_dup_0_graph.txt,openat,do_sys_open
test_dup_0_graph.txt,openat,getname
test_dup_0_graph.txt,openat,getname_flags
test_dup_0_graph.txt,openat,kmem_cache_alloc
test_dup_0_graph.txt,openat,_cond_resched
test_dup_0_graph.txt,openat,rcu_all_qs
test_dup_0_graph.txt,openat,should_failslab
test_dup_0_graph.txt,openat,smp_irq_work_interrupt
test_dup_0_graph.txt,openat,irq_enter
test_dup_0_graph.txt,openat,rcu_irq_enter
test_dup_0_graph.txt,openat,__wake_up
test_dup_0_graph.txt,openat,__wake_up_common_lock
test_dup_0_graph.txt,openat,_raw_spin_lock_irqsave
test_dup_0_graph.txt,openat,__wake_up_common
test_dup_0_graph.txt,openat,_raw_spin_unlock_irqrestore
test_dup_0_graph.txt,openat,irq_exit
test_dup_0_graph.txt,openat,idle_cpu
test_dup_0_graph.txt,openat,rcu_irq_exit
test_dup_0_graph.txt,openat,memcg_kmem_put_cache
test_dup_0_graph.txt,openat,__check_object_size
test_dup_0_graph.txt,openat,check_stack_object
test_dup_0_graph.txt,openat,__virt_addr_valid
test_dup_0_graph.txt,openat,__check_heap_object
test_dup_0_graph.txt,openat,get_unused_fd_flags
test_dup_0_graph.txt,openat,__alloc_fd
test_dup_0_graph.txt,openat,_raw_spin_lock
test_dup_0_graph.txt,openat,expand_files
test_dup_0_graph.txt,openat,do_filp_open
test_dup_0_graph.txt,openat,path_openat
test_dup_0_graph.txt,openat,alloc_empty_file
test_dup_0_graph.txt,openat,__alloc_file
test_dup_0_graph.txt,openat,kmem_cache_alloc
test_dup_0_graph.txt,openat,_cond_resched
test_dup_0_graph.txt,openat,rcu_all_qs
test_dup_0_graph.txt,openat,should_failslab
test_dup_0_graph.txt,openat,memcg_kmem_get_cache
test_dup_0_graph.txt,openat,memcg_kmem_put_cache
test_dup_0_graph.txt,openat,security_file_alloc
test_dup_0_graph.txt,openat,kmem_cache_alloc
test_dup_0_graph.txt,openat,_cond_resched
test_dup_0_graph.txt,openat,rcu_all_qs
test_dup_0_graph.txt,openat,should_failslab
test_dup_0_graph.txt,openat,memcg_kmem_put_cache
test_dup_0_graph.txt,openat,apparmor_file_alloc_security
test_dup_0_graph.txt,openat,_cond_resched
test_dup_0_graph.txt,openat,rcu_all_qs
test_dup_0_graph.txt,openat,__mutex_init
test_dup_0_graph.txt,openat,path_init
test_dup_0_graph.txt,openat,set_root
test_dup_0_graph.txt,openat,nd_jump_root
test_dup_0_graph.txt,openat,link_path_walk.part.33
test_dup_0_graph.txt,openat,inode_permission
test_dup_0_graph.txt,openat,generic_permission
test_dup_0_graph.txt,openat,security_inode_permission
test_dup_0_graph.txt,openat,walk_component
test_dup_0_graph.txt,openat,lookup_fast
test_dup_0_graph.txt,openat,__d_lookup_rcu
test_dup_0_graph.txt,openat,__follow_mount_rcu.isra.28
test_dup_0_graph.txt,openat,smp_irq_work_interrupt
test_dup_0_graph.txt,openat,irq_enter
test_dup_0_graph.txt,openat,rcu_irq_enter
test_dup_0_graph.txt,openat,__wake_up
test_dup_0_graph.txt,openat,__wake_up_common_lock
test_dup_0_graph.txt,openat,_raw_spin_lock_irqsave
test_dup_0_graph.txt,openat,__wake_up_common
test_dup_0_graph.txt,openat,_raw_spin_unlock_irqrestore
test_dup_0_graph.txt,openat,irq_exit
test_dup_0_graph.txt,openat,idle_cpu
test_dup_0_graph.txt,openat,rcu_irq_exit
test_dup_0_graph.txt,openat,complete_walk
test_dup_0_graph.txt,openat,unlazy_walk
test_dup_0_graph.txt,openat,legitimize_links
test_dup_0_graph.txt,openat,legitimize_path.isra.30
test_dup_0_graph.txt,openat,__legitimize_mnt
test_dup_0_graph.txt,openat,legitimize_root
test_dup_0_graph.txt,openat,mnt_want_write
test_dup_0_graph.txt,openat,__sb_start_write
test_dup_0_graph.txt,openat,_cond_resched
test_dup_0_graph.txt,openat,rcu_all_qs
test_dup_0_graph.txt,openat,__mnt_want_write
test_dup_0_graph.txt,openat,down_write
test_dup_0_graph.txt,openat,_cond_resched
test_dup_0_graph.txt,openat,rcu_all_qs
test_dup_0_graph.txt,openat,d_lookup
test_dup_0_graph.txt,openat,__d_lookup
test_dup_0_graph.txt,openat,_raw_spin_lock
test_dup_0_graph.txt,openat,smp_apic_timer_interrupt
test_dup_0_graph.txt,openat,irq_enter
test_dup_0_graph.txt,openat,rcu_irq_enter
test_dup_0_graph.txt,openat,hrtimer_interrupt
test_dup_0_graph.txt,openat,_raw_spin_lock_irqsave
test_dup_0_graph.txt,openat,ktime_get_update_offsets_now
test_dup_0_graph.txt,openat,__hrtimer_run_queues
test_dup_0_graph.txt,openat,__remove_hrtimer
test_dup_0_graph.txt,openat,_raw_spin_unlock_irqrestore
test_dup_0_graph.txt,openat,hrtimer_wakeup
test_dup_0_graph.txt,openat,wake_up_process
test_dup_0_graph.txt,openat,try_to_wake_up
test_dup_0_graph.txt,openat,_raw_spin_lock_irqsave
test_dup_0_graph.txt,openat,select_task_rq_fair
test_dup_0_graph.txt,openat,select_idle_sibling
test_dup_0_graph.txt,openat,available_idle_cpu
test_dup_0_graph.txt,openat,_raw_spin_lock
test_dup_0_graph.txt,openat,update_rq_clock
test_dup_0_graph.txt,openat,ttwu_do_activate
test_dup_0_graph.txt,openat,activate_task
test_dup_0_graph.txt,openat,psi_task_change
test_dup_0_graph.txt,openat,record_times
test_dup_0_graph.txt,openat,enqueue_task_fair
test_dup_0_graph.txt,openat,enqueue_entity
