파일명,시스템콜,해당함수
test_eventfd2_cloexec_graph.txt,eventfd2,do_eventfd
test_eventfd2_cloexec_graph.txt,eventfd2,kmem_cache_alloc_trace
test_eventfd2_cloexec_graph.txt,eventfd2,_cond_resched
test_eventfd2_cloexec_graph.txt,eventfd2,rcu_all_qs
test_eventfd2_cloexec_graph.txt,eventfd2,should_failslab
test_eventfd2_cloexec_graph.txt,eventfd2,memcg_kmem_put_cache
test_eventfd2_cloexec_graph.txt,eventfd2,__init_waitqueue_head
test_eventfd2_cloexec_graph.txt,eventfd2,_raw_spin_lock_irqsave
test_eventfd2_cloexec_graph.txt,eventfd2,_raw_spin_unlock_irqrestore
test_eventfd2_cloexec_graph.txt,eventfd2,kfree
test_eventfd2_cloexec_graph.txt,eventfd2,anon_inode_getfd
test_eventfd2_cloexec_graph.txt,eventfd2,get_unused_fd_flags
test_eventfd2_cloexec_graph.txt,eventfd2,__alloc_fd
test_eventfd2_cloexec_graph.txt,eventfd2,_raw_spin_lock
test_eventfd2_cloexec_graph.txt,eventfd2,expand_files
test_eventfd2_cloexec_graph.txt,eventfd2,smp_irq_work_interrupt
test_eventfd2_cloexec_graph.txt,eventfd2,irq_enter
test_eventfd2_cloexec_graph.txt,eventfd2,rcu_irq_enter
test_eventfd2_cloexec_graph.txt,eventfd2,__wake_up
test_eventfd2_cloexec_graph.txt,eventfd2,__wake_up_common_lock
test_eventfd2_cloexec_graph.txt,eventfd2,_raw_spin_lock_irqsave
test_eventfd2_cloexec_graph.txt,eventfd2,__wake_up_common
test_eventfd2_cloexec_graph.txt,eventfd2,pollwake
test_eventfd2_cloexec_graph.txt,eventfd2,default_wake_function
test_eventfd2_cloexec_graph.txt,eventfd2,try_to_wake_up
test_eventfd2_cloexec_graph.txt,eventfd2,_raw_spin_lock_irqsave
test_eventfd2_cloexec_graph.txt,eventfd2,select_task_rq_fair
test_eventfd2_cloexec_graph.txt,eventfd2,select_idle_sibling
test_eventfd2_cloexec_graph.txt,eventfd2,available_idle_cpu
test_eventfd2_cloexec_graph.txt,eventfd2,native_smp_send_reschedule
test_eventfd2_cloexec_graph.txt,eventfd2,x2apic_send_IPI
test_eventfd2_cloexec_graph.txt,eventfd2,_raw_spin_unlock_irqrestore
test_eventfd2_cloexec_graph.txt,eventfd2,_raw_spin_unlock_irqrestore
test_eventfd2_cloexec_graph.txt,eventfd2,irq_exit
test_eventfd2_cloexec_graph.txt,eventfd2,idle_cpu
test_eventfd2_cloexec_graph.txt,eventfd2,rcu_irq_exit
test_eventfd2_cloexec_graph.txt,eventfd2,anon_inode_getfile
test_eventfd2_cloexec_graph.txt,eventfd2,ihold
test_eventfd2_cloexec_graph.txt,eventfd2,alloc_file_pseudo
test_eventfd2_cloexec_graph.txt,eventfd2,d_alloc_pseudo
