파일명,시스템콜,해당함수
test_execveat$binfmt_no_automount_graph.txt,openat,do_sys_open
test_execveat$binfmt_no_automount_graph.txt,openat,getname
test_execveat$binfmt_no_automount_graph.txt,openat,getname_flags
test_execveat$binfmt_no_automount_graph.txt,openat,kmem_cache_alloc
test_execveat$binfmt_no_automount_graph.txt,openat,_cond_resched
test_execveat$binfmt_no_automount_graph.txt,openat,rcu_all_qs
test_execveat$binfmt_no_automount_graph.txt,openat,should_failslab
test_execveat$binfmt_no_automount_graph.txt,openat,memcg_kmem_put_cache
test_execveat$binfmt_no_automount_graph.txt,openat,__check_object_size
test_execveat$binfmt_no_automount_graph.txt,openat,check_stack_object
test_execveat$binfmt_no_automount_graph.txt,openat,__virt_addr_valid
test_execveat$binfmt_no_automount_graph.txt,openat,__check_heap_object
test_execveat$binfmt_no_automount_graph.txt,openat,get_unused_fd_flags
test_execveat$binfmt_no_automount_graph.txt,openat,__alloc_fd
test_execveat$binfmt_no_automount_graph.txt,openat,_raw_spin_lock
test_execveat$binfmt_no_automount_graph.txt,openat,expand_files
test_execveat$binfmt_no_automount_graph.txt,openat,do_filp_open
test_execveat$binfmt_no_automount_graph.txt,openat,path_openat
test_execveat$binfmt_no_automount_graph.txt,openat,alloc_empty_file
test_execveat$binfmt_no_automount_graph.txt,openat,__alloc_file
test_execveat$binfmt_no_automount_graph.txt,openat,kmem_cache_alloc
test_execveat$binfmt_no_automount_graph.txt,openat,_cond_resched
test_execveat$binfmt_no_automount_graph.txt,openat,rcu_all_qs
test_execveat$binfmt_no_automount_graph.txt,openat,should_failslab
test_execveat$binfmt_no_automount_graph.txt,openat,memcg_kmem_get_cache
test_execveat$binfmt_no_automount_graph.txt,openat,memcg_kmem_put_cache
test_execveat$binfmt_no_automount_graph.txt,openat,smp_irq_work_interrupt
test_execveat$binfmt_no_automount_graph.txt,openat,irq_enter
test_execveat$binfmt_no_automount_graph.txt,openat,rcu_irq_enter
test_execveat$binfmt_no_automount_graph.txt,openat,__wake_up
test_execveat$binfmt_no_automount_graph.txt,openat,__wake_up_common_lock
test_execveat$binfmt_no_automount_graph.txt,openat,_raw_spin_lock_irqsave
test_execveat$binfmt_no_automount_graph.txt,openat,__wake_up_common
test_execveat$binfmt_no_automount_graph.txt,openat,_raw_spin_unlock_irqrestore
test_execveat$binfmt_no_automount_graph.txt,openat,irq_exit
test_execveat$binfmt_no_automount_graph.txt,openat,idle_cpu
test_execveat$binfmt_no_automount_graph.txt,openat,rcu_irq_exit
test_execveat$binfmt_no_automount_graph.txt,openat,security_file_alloc
test_execveat$binfmt_no_automount_graph.txt,openat,kmem_cache_alloc
test_execveat$binfmt_no_automount_graph.txt,openat,_cond_resched
test_execveat$binfmt_no_automount_graph.txt,openat,rcu_all_qs
test_execveat$binfmt_no_automount_graph.txt,openat,should_failslab
test_execveat$binfmt_no_automount_graph.txt,openat,memcg_kmem_put_cache
test_execveat$binfmt_no_automount_graph.txt,openat,apparmor_file_alloc_security
test_execveat$binfmt_no_automount_graph.txt,openat,_cond_resched
test_execveat$binfmt_no_automount_graph.txt,openat,rcu_all_qs
test_execveat$binfmt_no_automount_graph.txt,openat,__mutex_init
test_execveat$binfmt_no_automount_graph.txt,openat,path_lookupat
test_execveat$binfmt_no_automount_graph.txt,openat,path_init
test_execveat$binfmt_no_automount_graph.txt,openat,set_root
test_execveat$binfmt_no_automount_graph.txt,openat,nd_jump_root
test_execveat$binfmt_no_automount_graph.txt,openat,link_path_walk.part.33
test_execveat$binfmt_no_automount_graph.txt,openat,inode_permission
test_execveat$binfmt_no_automount_graph.txt,openat,generic_permission
test_execveat$binfmt_no_automount_graph.txt,openat,security_inode_permission
test_execveat$binfmt_no_automount_graph.txt,openat,walk_component
test_execveat$binfmt_no_automount_graph.txt,openat,lookup_fast
