파일명,시스템콜,해당함수
fchmodat2_mode_s_irusr_graph.txt,creat,do_sys_open
fchmodat2_mode_s_irusr_graph.txt,creat,getname
fchmodat2_mode_s_irusr_graph.txt,creat,getname_flags
fchmodat2_mode_s_irusr_graph.txt,creat,kmem_cache_alloc
fchmodat2_mode_s_irusr_graph.txt,creat,_cond_resched
fchmodat2_mode_s_irusr_graph.txt,creat,rcu_all_qs
fchmodat2_mode_s_irusr_graph.txt,creat,should_failslab
fchmodat2_mode_s_irusr_graph.txt,creat,memcg_kmem_put_cache
fchmodat2_mode_s_irusr_graph.txt,creat,__check_object_size
fchmodat2_mode_s_irusr_graph.txt,creat,check_stack_object
fchmodat2_mode_s_irusr_graph.txt,creat,__virt_addr_valid
fchmodat2_mode_s_irusr_graph.txt,creat,__check_heap_object
fchmodat2_mode_s_irusr_graph.txt,creat,get_unused_fd_flags
fchmodat2_mode_s_irusr_graph.txt,creat,__alloc_fd
fchmodat2_mode_s_irusr_graph.txt,creat,_raw_spin_lock
fchmodat2_mode_s_irusr_graph.txt,creat,expand_files
fchmodat2_mode_s_irusr_graph.txt,creat,do_filp_open
fchmodat2_mode_s_irusr_graph.txt,creat,path_openat
fchmodat2_mode_s_irusr_graph.txt,creat,alloc_empty_file
fchmodat2_mode_s_irusr_graph.txt,creat,__alloc_file
fchmodat2_mode_s_irusr_graph.txt,creat,kmem_cache_alloc
fchmodat2_mode_s_irusr_graph.txt,creat,_cond_resched
fchmodat2_mode_s_irusr_graph.txt,creat,rcu_all_qs
fchmodat2_mode_s_irusr_graph.txt,creat,should_failslab
fchmodat2_mode_s_irusr_graph.txt,creat,memcg_kmem_get_cache
fchmodat2_mode_s_irusr_graph.txt,creat,__slab_alloc
fchmodat2_mode_s_irusr_graph.txt,creat,___slab_alloc
fchmodat2_mode_s_irusr_graph.txt,creat,memcg_kmem_put_cache
fchmodat2_mode_s_irusr_graph.txt,creat,security_file_alloc
fchmodat2_mode_s_irusr_graph.txt,creat,kmem_cache_alloc
fchmodat2_mode_s_irusr_graph.txt,creat,_cond_resched
fchmodat2_mode_s_irusr_graph.txt,creat,rcu_all_qs
fchmodat2_mode_s_irusr_graph.txt,creat,should_failslab
fchmodat2_mode_s_irusr_graph.txt,creat,smp_irq_work_interrupt
fchmodat2_mode_s_irusr_graph.txt,creat,irq_enter
fchmodat2_mode_s_irusr_graph.txt,creat,rcu_irq_enter
fchmodat2_mode_s_irusr_graph.txt,creat,__wake_up
fchmodat2_mode_s_irusr_graph.txt,creat,__wake_up_common_lock
fchmodat2_mode_s_irusr_graph.txt,creat,_raw_spin_lock_irqsave
fchmodat2_mode_s_irusr_graph.txt,creat,__wake_up_common
