파일명,시스템콜,해당함수
getcwd_graph.txt,getcwd,kmem_cache_alloc
getcwd_graph.txt,getcwd,_cond_resched
getcwd_graph.txt,getcwd,rcu_all_qs
getcwd_graph.txt,getcwd,should_failslab
getcwd_graph.txt,getcwd,memcg_kmem_put_cache
getcwd_graph.txt,getcwd,prepend
getcwd_graph.txt,getcwd,prepend_path
getcwd_graph.txt,getcwd,prepend_name
getcwd_graph.txt,getcwd,__check_object_size
getcwd_graph.txt,getcwd,check_stack_object
getcwd_graph.txt,getcwd,__virt_addr_valid
getcwd_graph.txt,getcwd,__check_heap_object
getcwd_graph.txt,getcwd,smp_irq_work_interrupt
getcwd_graph.txt,getcwd,irq_enter
getcwd_graph.txt,getcwd,rcu_irq_enter
getcwd_graph.txt,getcwd,__wake_up
getcwd_graph.txt,getcwd,__wake_up_common_lock
getcwd_graph.txt,getcwd,_raw_spin_lock_irqsave
getcwd_graph.txt,getcwd,__wake_up_common
getcwd_graph.txt,getcwd,_raw_spin_unlock_irqrestore
getcwd_graph.txt,getcwd,irq_exit
getcwd_graph.txt,getcwd,idle_cpu
getcwd_graph.txt,getcwd,rcu_irq_exit
getcwd_graph.txt,getcwd,kmem_cache_free
