파일명,시스템콜,해당함수
test_getdents64_graph.txt,openat,do_sys_open
test_getdents64_graph.txt,openat,getname
test_getdents64_graph.txt,openat,getname_flags
test_getdents64_graph.txt,openat,kmem_cache_alloc
test_getdents64_graph.txt,openat,_cond_resched
test_getdents64_graph.txt,openat,rcu_all_qs
test_getdents64_graph.txt,openat,should_failslab
test_getdents64_graph.txt,openat,memcg_kmem_put_cache
test_getdents64_graph.txt,openat,__check_object_size
test_getdents64_graph.txt,openat,check_stack_object
test_getdents64_graph.txt,openat,__virt_addr_valid
test_getdents64_graph.txt,openat,__check_heap_object
test_getdents64_graph.txt,openat,get_unused_fd_flags
test_getdents64_graph.txt,openat,__alloc_fd
test_getdents64_graph.txt,openat,_raw_spin_lock
test_getdents64_graph.txt,openat,smp_irq_work_interrupt
test_getdents64_graph.txt,openat,irq_enter
test_getdents64_graph.txt,openat,rcu_irq_enter
test_getdents64_graph.txt,openat,__wake_up
test_getdents64_graph.txt,openat,__wake_up_common_lock
test_getdents64_graph.txt,openat,_raw_spin_lock_irqsave
test_getdents64_graph.txt,openat,__wake_up_common
test_getdents64_graph.txt,openat,pollwake
test_getdents64_graph.txt,openat,default_wake_function
test_getdents64_graph.txt,openat,try_to_wake_up
test_getdents64_graph.txt,openat,_raw_spin_lock_irqsave
test_getdents64_graph.txt,openat,select_task_rq_fair
test_getdents64_graph.txt,openat,select_idle_sibling
test_getdents64_graph.txt,openat,available_idle_cpu
test_getdents64_graph.txt,openat,native_smp_send_reschedule
test_getdents64_graph.txt,openat,x2apic_send_IPI
test_getdents64_graph.txt,openat,_raw_spin_unlock_irqrestore
test_getdents64_graph.txt,openat,_raw_spin_unlock_irqrestore
test_getdents64_graph.txt,openat,irq_exit
test_getdents64_graph.txt,openat,idle_cpu
test_getdents64_graph.txt,openat,rcu_irq_exit
test_getdents64_graph.txt,openat,expand_files
test_getdents64_graph.txt,openat,do_filp_open
test_getdents64_graph.txt,openat,path_openat
test_getdents64_graph.txt,openat,alloc_empty_file
test_getdents64_graph.txt,openat,__alloc_file
test_getdents64_graph.txt,openat,kmem_cache_alloc
test_getdents64_graph.txt,openat,_cond_resched
test_getdents64_graph.txt,openat,rcu_all_qs
test_getdents64_graph.txt,openat,should_failslab
test_getdents64_graph.txt,openat,memcg_kmem_get_cache
test_getdents64_graph.txt,openat,memcg_kmem_put_cache
test_getdents64_graph.txt,openat,security_file_alloc
test_getdents64_graph.txt,openat,kmem_cache_alloc
test_getdents64_graph.txt,openat,_cond_resched
test_getdents64_graph.txt,openat,rcu_all_qs
test_getdents64_graph.txt,openat,should_failslab
test_getdents64_graph.txt,openat,memcg_kmem_put_cache
test_getdents64_graph.txt,openat,apparmor_file_alloc_security
test_getdents64_graph.txt,openat,_cond_resched
test_getdents64_graph.txt,openat,rcu_all_qs
test_getdents64_graph.txt,openat,__mutex_init
test_getdents64_graph.txt,openat,path_init
test_getdents64_graph.txt,openat,link_path_walk.part.33
test_getdents64_graph.txt,openat,inode_permission
test_getdents64_graph.txt,openat,generic_permission
test_getdents64_graph.txt,openat,get_cached_acl_rcu
test_getdents64_graph.txt,openat,in_group_p
test_getdents64_graph.txt,openat,security_inode_permission
test_getdents64_graph.txt,openat,complete_walk
test_getdents64_graph.txt,openat,unlazy_walk
test_getdents64_graph.txt,openat,legitimize_links
test_getdents64_graph.txt,openat,legitimize_path.isra.30
test_getdents64_graph.txt,openat,__legitimize_mnt
test_getdents64_graph.txt,openat,legitimize_root
test_getdents64_graph.txt,openat,may_open
test_getdents64_graph.txt,openat,inode_permission
test_getdents64_graph.txt,openat,generic_permission
test_getdents64_graph.txt,openat,get_acl
test_getdents64_graph.txt,openat,get_cached_acl
test_getdents64_graph.txt,openat,in_group_p
test_getdents64_graph.txt,openat,security_inode_permission
test_getdents64_graph.txt,openat,vfs_open
test_getdents64_graph.txt,openat,do_dentry_open
test_getdents64_graph.txt,openat,path_get
test_getdents64_graph.txt,openat,mntget
test_getdents64_graph.txt,openat,try_module_get
test_getdents64_graph.txt,openat,security_file_open
test_getdents64_graph.txt,openat,apparmor_file_open
test_getdents64_graph.txt,openat,__fsnotify_parent
test_getdents64_graph.txt,openat,dget_parent
test_getdents64_graph.txt,openat,dput
test_getdents64_graph.txt,openat,_cond_resched
test_getdents64_graph.txt,openat,rcu_all_qs
test_getdents64_graph.txt,openat,fsnotify
test_getdents64_graph.txt,openat,ext4_dir_open
test_getdents64_graph.txt,openat,file_ra_state_init
test_getdents64_graph.txt,openat,ima_file_check
test_getdents64_graph.txt,openat,security_task_getsecid
test_getdents64_graph.txt,openat,process_measurement
test_getdents64_graph.txt,openat,terminate_walk
test_getdents64_graph.txt,openat,dput
test_getdents64_graph.txt,openat,_cond_resched
test_getdents64_graph.txt,openat,rcu_all_qs
test_getdents64_graph.txt,openat,mntput
test_getdents64_graph.txt,openat,mntput_no_expire
test_getdents64_graph.txt,openat,restore_nameidata
test_getdents64_graph.txt,openat,__fsnotify_parent
test_getdents64_graph.txt,openat,dget_parent
test_getdents64_graph.txt,openat,dput
test_getdents64_graph.txt,openat,_cond_resched
test_getdents64_graph.txt,openat,rcu_all_qs
test_getdents64_graph.txt,openat,fsnotify
test_getdents64_graph.txt,openat,fd_install
test_getdents64_graph.txt,openat,__fd_install
test_getdents64_graph.txt,openat,putname
test_getdents64_graph.txt,openat,kmem_cache_free
test_getdents64_graph.txt,getdents64,ksys_getdents64
test_getdents64_graph.txt,getdents64,__fdget_pos
test_getdents64_graph.txt,getdents64,__fget_light
test_getdents64_graph.txt,getdents64,iterate_dir
test_getdents64_graph.txt,getdents64,security_file_permission
test_getdents64_graph.txt,getdents64,apparmor_file_permission
test_getdents64_graph.txt,getdents64,common_file_perm
test_getdents64_graph.txt,getdents64,aa_file_perm
test_getdents64_graph.txt,getdents64,__fsnotify_parent
