파일명,시스템콜,해당함수
test_getrusage_children_graph.txt,getrusage,getrusage
test_getrusage_children_graph.txt,getrusage,__lock_task_sighand
test_getrusage_children_graph.txt,getrusage,_raw_spin_lock_irqsave
test_getrusage_children_graph.txt,getrusage,_raw_spin_unlock_irqrestore
test_getrusage_children_graph.txt,getrusage,ns_to_timeval
test_getrusage_children_graph.txt,getrusage,smp_irq_work_interrupt
test_getrusage_children_graph.txt,getrusage,irq_enter
test_getrusage_children_graph.txt,getrusage,rcu_irq_enter
test_getrusage_children_graph.txt,getrusage,__wake_up
test_getrusage_children_graph.txt,getrusage,__wake_up_common_lock
test_getrusage_children_graph.txt,getrusage,_raw_spin_lock_irqsave
test_getrusage_children_graph.txt,getrusage,__wake_up_common
test_getrusage_children_graph.txt,getrusage,pollwake
test_getrusage_children_graph.txt,getrusage,default_wake_function
test_getrusage_children_graph.txt,getrusage,try_to_wake_up
test_getrusage_children_graph.txt,getrusage,_raw_spin_lock_irqsave
test_getrusage_children_graph.txt,getrusage,select_task_rq_fair
test_getrusage_children_graph.txt,getrusage,select_idle_sibling
test_getrusage_children_graph.txt,getrusage,available_idle_cpu
test_getrusage_children_graph.txt,getrusage,native_smp_send_reschedule
test_getrusage_children_graph.txt,getrusage,x2apic_send_IPI
test_getrusage_children_graph.txt,getrusage,_raw_spin_unlock_irqrestore
test_getrusage_children_graph.txt,getrusage,_raw_spin_unlock_irqrestore
test_getrusage_children_graph.txt,getrusage,irq_exit
test_getrusage_children_graph.txt,getrusage,idle_cpu
test_getrusage_children_graph.txt,getrusage,rcu_irq_exit
test_getrusage_thread_graph.txt,getrusage,getrusage
test_getrusage_thread_graph.txt,getrusage,task_cputime_adjusted
test_getrusage_thread_graph.txt,getrusage,cputime_adjust
test_getrusage_thread_graph.txt,getrusage,_raw_spin_lock_irqsave
test_getrusage_thread_graph.txt,getrusage,_raw_spin_unlock_irqrestore
test_getrusage_thread_graph.txt,getrusage,ns_to_timeval
test_getrusage_thread_graph.txt,getrusage,get_task_mm
test_getrusage_thread_graph.txt,getrusage,_raw_spin_lock
test_getrusage_thread_graph.txt,getrusage,mmput
test_getrusage_thread_graph.txt,getrusage,_cond_resched
test_getrusage_thread_graph.txt,getrusage,rcu_all_qs
test_getrusage_self_graph.txt,getrusage,getrusage
test_getrusage_self_graph.txt,getrusage,__lock_task_sighand
test_getrusage_self_graph.txt,getrusage,_raw_spin_lock_irqsave
test_getrusage_self_graph.txt,getrusage,thread_group_cputime_adjusted
test_getrusage_self_graph.txt,getrusage,thread_group_cputime
test_getrusage_self_graph.txt,getrusage,task_sched_runtime
test_getrusage_self_graph.txt,getrusage,task_rq_lock
test_getrusage_self_graph.txt,getrusage,_raw_spin_lock_irqsave
test_getrusage_self_graph.txt,getrusage,_raw_spin_lock
test_getrusage_self_graph.txt,getrusage,update_rq_clock
test_getrusage_self_graph.txt,getrusage,update_curr_fair
test_getrusage_self_graph.txt,getrusage,update_curr
test_getrusage_self_graph.txt,getrusage,update_min_vruntime
test_getrusage_self_graph.txt,getrusage,cpuacct_charge
test_getrusage_self_graph.txt,getrusage,__cgroup_account_cputime
test_getrusage_self_graph.txt,getrusage,cgroup_rstat_updated
test_getrusage_self_graph.txt,getrusage,_raw_spin_unlock_irqrestore
test_getrusage_self_graph.txt,getrusage,cputime_adjust
test_getrusage_self_graph.txt,getrusage,_raw_spin_lock_irqsave
test_getrusage_self_graph.txt,getrusage,_raw_spin_unlock_irqrestore
test_getrusage_self_graph.txt,getrusage,_raw_spin_unlock_irqrestore
test_getrusage_self_graph.txt,getrusage,smp_irq_work_interrupt
test_getrusage_self_graph.txt,getrusage,irq_enter
test_getrusage_self_graph.txt,getrusage,rcu_irq_enter
test_getrusage_self_graph.txt,getrusage,__wake_up
test_getrusage_self_graph.txt,getrusage,__wake_up_common_lock
test_getrusage_self_graph.txt,getrusage,_raw_spin_lock_irqsave
test_getrusage_self_graph.txt,getrusage,__wake_up_common
test_getrusage_self_graph.txt,getrusage,_raw_spin_unlock_irqrestore
test_getrusage_self_graph.txt,getrusage,irq_exit
test_getrusage_self_graph.txt,getrusage,idle_cpu
test_getrusage_self_graph.txt,getrusage,rcu_irq_exit
test_getrusage_self_graph.txt,getrusage,ns_to_timeval
test_getrusage_self_graph.txt,getrusage,get_task_mm
test_getrusage_self_graph.txt,getrusage,_raw_spin_lock
test_getrusage_self_graph.txt,getrusage,mmput
test_getrusage_self_graph.txt,getrusage,_cond_resched
test_getrusage_self_graph.txt,getrusage,rcu_all_qs
