파일명,시스템콜,해당함수
getgroups_graph.txt,newfstat,vfs_statx_fd
getgroups_graph.txt,newfstat,__fdget_raw
getgroups_graph.txt,newfstat,__fget_light
getgroups_graph.txt,newfstat,smp_irq_work_interrupt
getgroups_graph.txt,newfstat,irq_enter
getgroups_graph.txt,newfstat,rcu_irq_enter
getgroups_graph.txt,newfstat,__wake_up
getgroups_graph.txt,newfstat,__wake_up_common_lock
getgroups_graph.txt,newfstat,_raw_spin_lock_irqsave
getgroups_graph.txt,newfstat,__wake_up_common
getgroups_graph.txt,newfstat,_raw_spin_unlock_irqrestore
getgroups_graph.txt,newfstat,irq_exit
getgroups_graph.txt,newfstat,idle_cpu
getgroups_graph.txt,newfstat,rcu_irq_exit
getgroups_graph.txt,newfstat,vfs_getattr
getgroups_graph.txt,newfstat,security_inode_getattr
getgroups_graph.txt,newfstat,apparmor_inode_getattr
getgroups_graph.txt,newfstat,common_perm_cond
getgroups_graph.txt,newfstat,common_perm
getgroups_graph.txt,newfstat,vfs_getattr_nosec
getgroups_graph.txt,newfstat,generic_fillattr
getgroups_graph.txt,newfstat,cp_new_stat
getgroups_graph.txt,newfstat,from_kuid_munged
getgroups_graph.txt,newfstat,map_id_up
getgroups_graph.txt,newfstat,from_kgid_munged
getgroups_graph.txt,newfstat,map_id_up
