파일명,시스템콜,해당함수
getsockname$packet_sock0_var37_graph.txt,socket,__sys_socket
getsockname$packet_sock0_var37_graph.txt,socket,__sock_create
getsockname$packet_sock0_var37_graph.txt,socket,security_socket_create
getsockname$packet_sock0_var37_graph.txt,socket,apparmor_socket_create
getsockname$packet_sock0_var37_graph.txt,socket,__cond_resched
getsockname$packet_sock0_var37_graph.txt,socket,rcu_all_qs
getsockname$packet_sock0_var37_graph.txt,socket,sock_alloc
getsockname$packet_sock0_var37_graph.txt,socket,new_inode_pseudo
getsockname$packet_sock0_var37_graph.txt,socket,alloc_inode
getsockname$packet_sock0_var37_graph.txt,socket,sock_alloc_inode
getsockname$packet_sock0_var37_graph.txt,socket,kmem_cache_alloc
getsockname$packet_sock0_var37_graph.txt,socket,__cond_resched
getsockname$packet_sock0_var37_graph.txt,socket,rcu_all_qs
getsockname$packet_sock0_var37_graph.txt,socket,should_failslab
getsockname$packet_sock0_var37_graph.txt,socket,mem_cgroup_from_task
getsockname$packet_sock0_var37_graph.txt,socket,rcu_read_unlock_strict
getsockname$packet_sock0_var37_graph.txt,socket,obj_cgroup_charge
getsockname$packet_sock0_var37_graph.txt,socket,obj_cgroup_charge_pages
getsockname$packet_sock0_var37_graph.txt,socket,get_mem_cgroup_from_objcg
getsockname$packet_sock0_var37_graph.txt,socket,rcu_read_unlock_strict
getsockname$packet_sock0_var37_graph.txt,socket,try_charge_memcg
getsockname$packet_sock0_var37_graph.txt,socket,do_memsw_account
getsockname$packet_sock0_var37_graph.txt,socket,page_counter_try_charge
getsockname$packet_sock0_var37_graph.txt,socket,propagate_protected_usage
getsockname$packet_sock0_var37_graph.txt,socket,refill_stock
getsockname$packet_sock0_var37_graph.txt,socket,drain_stock.isra.0
getsockname$packet_sock0_var37_graph.txt,socket,page_counter_uncharge
getsockname$packet_sock0_var37_graph.txt,socket,page_counter_cancel
getsockname$packet_sock0_var37_graph.txt,socket,propagate_protected_usage
getsockname$packet_sock0_var37_graph.txt,socket,do_memsw_account
getsockname$packet_sock0_var37_graph.txt,socket,rcu_read_unlock_strict
getsockname$packet_sock0_var37_graph.txt,socket,rcu_read_unlock_strict
getsockname$packet_sock0_var37_graph.txt,socket,page_counter_try_charge
getsockname$packet_sock0_var37_graph.txt,socket,propagate_protected_usage
getsockname$packet_sock0_var37_graph.txt,socket,rcu_read_unlock_strict
getsockname$packet_sock0_var37_graph.txt,socket,refill_obj_stock
getsockname$packet_sock0_var37_graph.txt,socket,drain_obj_stock
getsockname$packet_sock0_var37_graph.txt,socket,__mod_memcg_lruvec_state
getsockname$packet_sock0_var37_graph.txt,socket,cgroup_rstat_updated
getsockname$packet_sock0_var37_graph.txt,socket,rcu_read_unlock_strict
getsockname$packet_sock0_var37_graph.txt,socket,rcu_read_unlock_strict
getsockname$packet_sock0_var37_graph.txt,socket,mod_objcg_state
getsockname$packet_sock0_var37_graph.txt,socket,__init_waitqueue_head
getsockname$packet_sock0_var37_graph.txt,socket,inode_init_always
getsockname$packet_sock0_var37_graph.txt,socket,make_kuid
getsockname$packet_sock0_var37_graph.txt,socket,map_id_range_down
getsockname$packet_sock0_var37_graph.txt,socket,make_kgid
getsockname$packet_sock0_var37_graph.txt,socket,map_id_range_down
getsockname$packet_sock0_var37_graph.txt,socket,__init_rwsem
getsockname$packet_sock0_var37_graph.txt,socket,security_inode_alloc
getsockname$packet_sock0_var37_graph.txt,socket,kmem_cache_alloc
getsockname$packet_sock0_var37_graph.txt,socket,__cond_resched
getsockname$packet_sock0_var37_graph.txt,socket,rcu_all_qs
getsockname$packet_sock0_var37_graph.txt,socket,should_failslab
getsockname$packet_sock0_var37_graph.txt,socket,apparmor_inode_alloc_security
getsockname$packet_sock0_var37_graph.txt,socket,_raw_spin_lock
getsockname$packet_sock0_var37_graph.txt,socket,get_next_ino
getsockname$packet_sock0_var37_graph.txt,socket,try_module_get
getsockname$packet_sock0_var37_graph.txt,socket,rcu_read_unlock_strict
getsockname$packet_sock0_var37_graph.txt,socket,packet_create
getsockname$packet_sock0_var37_graph.txt,socket,ns_capable
getsockname$packet_sock0_var37_graph.txt,socket,ns_capable_common
getsockname$packet_sock0_var37_graph.txt,socket,security_capable
getsockname$packet_sock0_var37_graph.txt,socket,cap_capable
getsockname$packet_sock0_var37_graph.txt,socket,apparmor_capable
getsockname$packet_sock0_var37_graph.txt,socket,sk_alloc
getsockname$packet_sock0_var37_graph.txt,socket,sk_prot_alloc
getsockname$packet_sock0_var37_graph.txt,socket,__kmalloc
getsockname$packet_sock0_var37_graph.txt,socket,kmalloc_slab
getsockname$packet_sock0_var37_graph.txt,socket,__cond_resched
getsockname$packet_sock0_var37_graph.txt,socket,rcu_all_qs
getsockname$packet_sock0_var37_graph.txt,socket,should_failslab
getsockname$packet_sock0_var37_graph.txt,socket,security_sk_alloc
getsockname$packet_sock0_var37_graph.txt,socket,__kmalloc
getsockname$packet_sock0_var37_graph.txt,socket,kmalloc_slab
getsockname$packet_sock0_var37_graph.txt,socket,__cond_resched
getsockname$packet_sock0_var37_graph.txt,socket,rcu_all_qs
getsockname$packet_sock0_var37_graph.txt,socket,should_failslab
getsockname$packet_sock0_var37_graph.txt,socket,try_module_get
