파일명,시스템콜,해당함수
hostname_graph.txt,newuname,down_read
hostname_graph.txt,newuname,_cond_resched
hostname_graph.txt,newuname,rcu_all_qs
hostname_graph.txt,newuname,up_read
hostname_graph.txt,newfstat,vfs_statx_fd
hostname_graph.txt,newfstat,__fdget_raw
hostname_graph.txt,newfstat,__fget_light
hostname_graph.txt,newfstat,vfs_getattr
hostname_graph.txt,newfstat,security_inode_getattr
hostname_graph.txt,newfstat,apparmor_inode_getattr
hostname_graph.txt,newfstat,common_perm_cond
hostname_graph.txt,newfstat,common_perm
hostname_graph.txt,newfstat,vfs_getattr_nosec
hostname_graph.txt,newfstat,generic_fillattr
hostname_graph.txt,newfstat,cp_new_stat
hostname_graph.txt,newfstat,from_kuid_munged
hostname_graph.txt,newfstat,map_id_up
hostname_graph.txt,newfstat,from_kgid_munged
hostname_graph.txt,newfstat,map_id_up
hostname_graph.txt,write,ksys_write
hostname_graph.txt,write,__fdget_pos
hostname_graph.txt,write,__fget_light
hostname_graph.txt,write,vfs_write
hostname_graph.txt,write,rw_verify_area
hostname_graph.txt,write,security_file_permission
hostname_graph.txt,write,apparmor_file_permission
hostname_graph.txt,write,common_file_perm
hostname_graph.txt,write,aa_file_perm
hostname_graph.txt,write,__vfs_write
hostname_graph.txt,write,tty_write
hostname_graph.txt,write,tty_paranoia_check
hostname_graph.txt,write,tty_ldisc_ref_wait
hostname_graph.txt,write,ldsem_down_read
hostname_graph.txt,write,_cond_resched
hostname_graph.txt,write,rcu_all_qs
hostname_graph.txt,write,tty_write_lock
hostname_graph.txt,write,mutex_trylock
hostname_graph.txt,write,__check_object_size
hostname_graph.txt,write,check_stack_object
hostname_graph.txt,write,__virt_addr_valid
hostname_graph.txt,write,__check_heap_object
hostname_graph.txt,write,n_tty_write
hostname_graph.txt,write,down_read
hostname_graph.txt,write,_cond_resched
hostname_graph.txt,write,rcu_all_qs
hostname_graph.txt,write,process_echoes
hostname_graph.txt,write,add_wait_queue
hostname_graph.txt,write,_raw_spin_lock_irqsave
hostname_graph.txt,write,_raw_spin_unlock_irqrestore
hostname_graph.txt,write,tty_hung_up_p
hostname_graph.txt,write,mutex_lock
hostname_graph.txt,write,_cond_resched
hostname_graph.txt,write,rcu_all_qs
hostname_graph.txt,write,rcu_note_context_switch
hostname_graph.txt,write,rcu_qs
hostname_graph.txt,write,_raw_spin_lock
hostname_graph.txt,write,update_rq_clock
hostname_graph.txt,write,pick_next_task_fair
hostname_graph.txt,write,update_curr
hostname_graph.txt,write,__calc_delta
hostname_graph.txt,write,update_min_vruntime
hostname_graph.txt,write,check_cfs_rq_runtime
hostname_graph.txt,write,pick_next_entity
hostname_graph.txt,write,wakeup_preempt_entity.isra.77
hostname_graph.txt,write,clear_buddies
hostname_graph.txt,write,put_prev_entity
hostname_graph.txt,write,update_curr
hostname_graph.txt,write,update_min_vruntime
hostname_graph.txt,write,cpuacct_charge
hostname_graph.txt,write,__cgroup_account_cputime
hostname_graph.txt,write,cgroup_rstat_updated
hostname_graph.txt,write,check_cfs_rq_runtime
hostname_graph.txt,write,__enqueue_entity
hostname_graph.txt,write,__update_load_avg_se
hostname_graph.txt,write,__update_load_avg_cfs_rq
hostname_graph.txt,write,set_next_entity
hostname_graph.txt,write,__update_load_avg_se
hostname_graph.txt,write,__update_load_avg_cfs_rq
hostname_graph.txt,write,finish_task_switch
hostname_graph.txt,write,tty_write_room
hostname_graph.txt,write,pty_write_room
hostname_graph.txt,write,tty_buffer_space_avail
hostname_graph.txt,write,pty_write
hostname_graph.txt,write,tty_insert_flip_string_and_push_buffer
hostname_graph.txt,write,_raw_spin_lock_irqsave
hostname_graph.txt,write,tty_insert_flip_string_fixed_flag
hostname_graph.txt,write,__tty_buffer_request_room
hostname_graph.txt,write,_raw_spin_unlock_irqrestore
hostname_graph.txt,write,queue_work_on
hostname_graph.txt,write,__queue_work
hostname_graph.txt,write,get_work_pool
hostname_graph.txt,write,_raw_spin_lock
hostname_graph.txt,write,insert_work
hostname_graph.txt,write,wake_up_process
hostname_graph.txt,write,try_to_wake_up
hostname_graph.txt,write,_raw_spin_lock_irqsave
hostname_graph.txt,write,select_task_rq_fair
hostname_graph.txt,write,select_idle_sibling
hostname_graph.txt,write,available_idle_cpu
hostname_graph.txt,write,_raw_spin_lock
hostname_graph.txt,write,update_rq_clock
hostname_graph.txt,write,ttwu_do_activate
hostname_graph.txt,write,activate_task
hostname_graph.txt,write,psi_task_change
hostname_graph.txt,write,record_times
hostname_graph.txt,write,enqueue_task_fair
hostname_graph.txt,write,enqueue_entity
hostname_graph.txt,write,update_curr
hostname_graph.txt,write,__calc_delta
hostname_graph.txt,write,update_min_vruntime
hostname_graph.txt,write,__update_load_avg_se
hostname_graph.txt,write,__update_load_avg_cfs_rq
hostname_graph.txt,write,update_cfs_group
hostname_graph.txt,write,account_entity_enqueue
hostname_graph.txt,write,__enqueue_entity
hostname_graph.txt,write,hrtick_update
hostname_graph.txt,write,ttwu_do_wakeup
hostname_graph.txt,write,check_preempt_curr
hostname_graph.txt,write,check_preempt_wakeup
hostname_graph.txt,write,update_curr
hostname_graph.txt,write,wakeup_preempt_entity.isra.77
hostname_graph.txt,write,set_next_buddy
hostname_graph.txt,write,resched_curr
hostname_graph.txt,write,_raw_spin_unlock_irqrestore
hostname_graph.txt,write,smp_irq_work_interrupt
hostname_graph.txt,write,irq_enter
hostname_graph.txt,write,rcu_irq_enter
hostname_graph.txt,write,__wake_up
hostname_graph.txt,write,__wake_up_common_lock
hostname_graph.txt,write,_raw_spin_lock_irqsave
hostname_graph.txt,write,__wake_up_common
hostname_graph.txt,write,pollwake
hostname_graph.txt,write,default_wake_function
hostname_graph.txt,write,try_to_wake_up
hostname_graph.txt,write,_raw_spin_lock_irqsave
hostname_graph.txt,write,select_task_rq_fair
hostname_graph.txt,write,select_idle_sibling
hostname_graph.txt,write,available_idle_cpu
hostname_graph.txt,write,native_smp_send_reschedule
hostname_graph.txt,write,x2apic_send_IPI
hostname_graph.txt,write,_raw_spin_unlock_irqrestore
hostname_graph.txt,write,_raw_spin_unlock_irqrestore
hostname_graph.txt,write,irq_exit
hostname_graph.txt,write,idle_cpu
hostname_graph.txt,write,rcu_irq_exit
hostname_graph.txt,write,mutex_unlock
hostname_graph.txt,write,do_output_char
hostname_graph.txt,write,pty_write
hostname_graph.txt,write,tty_insert_flip_string_and_push_buffer
hostname_graph.txt,write,_raw_spin_lock_irqsave
hostname_graph.txt,write,tty_insert_flip_string_fixed_flag
hostname_graph.txt,write,__tty_buffer_request_room
hostname_graph.txt,write,_raw_spin_unlock_irqrestore
hostname_graph.txt,write,queue_work_on
hostname_graph.txt,write,__queue_work
hostname_graph.txt,write,get_work_pool
hostname_graph.txt,write,_raw_spin_lock
hostname_graph.txt,write,insert_work
hostname_graph.txt,write,wake_up_process
hostname_graph.txt,write,try_to_wake_up
hostname_graph.txt,write,_raw_spin_lock_irqsave
hostname_graph.txt,write,select_task_rq_fair
hostname_graph.txt,write,select_idle_sibling
hostname_graph.txt,write,available_idle_cpu
hostname_graph.txt,write,_raw_spin_lock
hostname_graph.txt,write,update_rq_clock
hostname_graph.txt,write,ttwu_do_activate
hostname_graph.txt,write,activate_task
hostname_graph.txt,write,psi_task_change
hostname_graph.txt,write,record_times
hostname_graph.txt,write,enqueue_task_fair
hostname_graph.txt,write,enqueue_entity
hostname_graph.txt,write,update_curr
hostname_graph.txt,write,__update_load_avg_se
hostname_graph.txt,write,__update_load_avg_cfs_rq
hostname_graph.txt,write,update_cfs_group
hostname_graph.txt,write,account_entity_enqueue
hostname_graph.txt,write,__enqueue_entity
hostname_graph.txt,write,hrtick_update
hostname_graph.txt,write,ttwu_do_wakeup
hostname_graph.txt,write,check_preempt_curr
hostname_graph.txt,write,check_preempt_wakeup
hostname_graph.txt,write,update_curr
hostname_graph.txt,write,wakeup_preempt_entity.isra.77
hostname_graph.txt,write,set_next_buddy
hostname_graph.txt,write,resched_curr
hostname_graph.txt,write,_raw_spin_unlock_irqrestore
hostname_graph.txt,write,smp_irq_work_interrupt
hostname_graph.txt,write,irq_enter
hostname_graph.txt,write,rcu_irq_enter
hostname_graph.txt,write,__wake_up
hostname_graph.txt,write,__wake_up_common_lock
hostname_graph.txt,write,_raw_spin_lock_irqsave
hostname_graph.txt,write,__wake_up_common
hostname_graph.txt,write,pollwake
hostname_graph.txt,write,default_wake_function
hostname_graph.txt,write,try_to_wake_up
hostname_graph.txt,write,_raw_spin_lock_irqsave
hostname_graph.txt,write,select_task_rq_fair
hostname_graph.txt,write,select_idle_sibling
hostname_graph.txt,write,native_smp_send_reschedule
hostname_graph.txt,write,x2apic_send_IPI
hostname_graph.txt,write,_raw_spin_unlock_irqrestore
hostname_graph.txt,write,_raw_spin_unlock_irqrestore
hostname_graph.txt,write,irq_exit
hostname_graph.txt,write,idle_cpu
hostname_graph.txt,write,rcu_irq_exit
hostname_graph.txt,write,remove_wait_queue
hostname_graph.txt,write,_raw_spin_lock_irqsave
hostname_graph.txt,write,_raw_spin_unlock_irqrestore
hostname_graph.txt,write,up_read
hostname_graph.txt,write,ktime_get_real_seconds
hostname_graph.txt,write,tty_write_unlock
hostname_graph.txt,write,mutex_unlock
hostname_graph.txt,write,__wake_up
hostname_graph.txt,write,__wake_up_common_lock
hostname_graph.txt,write,_raw_spin_lock_irqsave
hostname_graph.txt,write,__wake_up_common
hostname_graph.txt,write,_raw_spin_unlock_irqrestore
hostname_graph.txt,write,tty_ldisc_deref
hostname_graph.txt,write,ldsem_up_read
hostname_graph.txt,write,__fsnotify_parent
hostname_graph.txt,write,fsnotify
hostname_graph.txt,sethostname,ns_capable
hostname_graph.txt,sethostname,smp_irq_work_interrupt
hostname_graph.txt,sethostname,irq_enter
hostname_graph.txt,sethostname,rcu_irq_enter
hostname_graph.txt,sethostname,__wake_up
hostname_graph.txt,sethostname,__wake_up_common_lock
hostname_graph.txt,sethostname,_raw_spin_lock_irqsave
hostname_graph.txt,sethostname,__wake_up_common
hostname_graph.txt,sethostname,_raw_spin_unlock_irqrestore
hostname_graph.txt,sethostname,irq_exit
hostname_graph.txt,sethostname,idle_cpu
hostname_graph.txt,sethostname,rcu_irq_exit
hostname_graph.txt,sethostname,ns_capable_common
hostname_graph.txt,sethostname,security_capable
hostname_graph.txt,sethostname,cap_capable
hostname_graph.txt,sethostname,apparmor_capable
hostname_graph.txt,sethostname,__check_object_size
hostname_graph.txt,sethostname,check_stack_object
hostname_graph.txt,sethostname,down_write
hostname_graph.txt,sethostname,_cond_resched
hostname_graph.txt,sethostname,rcu_all_qs
hostname_graph.txt,sethostname,uts_proc_notify
hostname_graph.txt,sethostname,proc_sys_poll_notify
hostname_graph.txt,sethostname,__wake_up
hostname_graph.txt,sethostname,__wake_up_common_lock
hostname_graph.txt,sethostname,_raw_spin_lock_irqsave
hostname_graph.txt,sethostname,__wake_up_common
hostname_graph.txt,sethostname,ep_poll_callback
hostname_graph.txt,sethostname,_raw_read_lock_irqsave
hostname_graph.txt,sethostname,__wake_up
hostname_graph.txt,sethostname,__wake_up_common_lock
hostname_graph.txt,sethostname,_raw_spin_lock_irqsave
hostname_graph.txt,sethostname,__wake_up_common
hostname_graph.txt,sethostname,ep_autoremove_wake_function
hostname_graph.txt,sethostname,default_wake_function
hostname_graph.txt,sethostname,try_to_wake_up
hostname_graph.txt,sethostname,_raw_spin_lock_irqsave
hostname_graph.txt,sethostname,select_task_rq_fair
hostname_graph.txt,sethostname,select_idle_sibling
hostname_graph.txt,sethostname,available_idle_cpu
hostname_graph.txt,sethostname,cpus_share_cache
hostname_graph.txt,sethostname,available_idle_cpu
hostname_graph.txt,sethostname,update_cfs_rq_h_load
hostname_graph.txt,sethostname,_raw_spin_lock
hostname_graph.txt,sethostname,update_rq_clock
hostname_graph.txt,sethostname,ttwu_do_activate
hostname_graph.txt,sethostname,activate_task
hostname_graph.txt,sethostname,psi_task_change
hostname_graph.txt,sethostname,record_times
hostname_graph.txt,sethostname,queue_delayed_work_on
hostname_graph.txt,sethostname,__queue_delayed_work
hostname_graph.txt,sethostname,add_timer
hostname_graph.txt,sethostname,enqueue_task_fair
hostname_graph.txt,sethostname,enqueue_entity
hostname_graph.txt,sethostname,update_curr
hostname_graph.txt,sethostname,__calc_delta
hostname_graph.txt,sethostname,update_min_vruntime
hostname_graph.txt,sethostname,__update_load_avg_se
hostname_graph.txt,sethostname,__accumulate_pelt_segments
hostname_graph.txt,sethostname,__update_load_avg_cfs_rq
hostname_graph.txt,sethostname,__accumulate_pelt_segments
hostname_graph.txt,sethostname,update_cfs_group
hostname_graph.txt,sethostname,reweight_entity
hostname_graph.txt,sethostname,account_entity_enqueue
hostname_graph.txt,sethostname,__enqueue_entity
hostname_graph.txt,sethostname,hrtick_update
hostname_graph.txt,sethostname,ttwu_do_wakeup
hostname_graph.txt,sethostname,check_preempt_curr
hostname_graph.txt,sethostname,check_preempt_wakeup
hostname_graph.txt,sethostname,update_curr
hostname_graph.txt,sethostname,wakeup_preempt_entity.isra.77
hostname_graph.txt,sethostname,__calc_delta
hostname_graph.txt,sethostname,set_next_buddy
hostname_graph.txt,sethostname,resched_curr
hostname_graph.txt,sethostname,_raw_spin_unlock_irqrestore
hostname_graph.txt,sethostname,native_smp_send_reschedule
hostname_graph.txt,sethostname,x2apic_send_IPI
hostname_graph.txt,sethostname,_raw_spin_unlock_irqrestore
hostname_graph.txt,sethostname,_raw_read_unlock_irqrestore
hostname_graph.txt,sethostname,_raw_spin_unlock_irqrestore
hostname_graph.txt,sethostname,smp_irq_work_interrupt
hostname_graph.txt,sethostname,irq_enter
hostname_graph.txt,sethostname,rcu_irq_enter
hostname_graph.txt,sethostname,__wake_up
hostname_graph.txt,sethostname,__wake_up_common_lock
hostname_graph.txt,sethostname,_raw_spin_lock_irqsave
hostname_graph.txt,sethostname,__wake_up_common
hostname_graph.txt,sethostname,pollwake
hostname_graph.txt,sethostname,default_wake_function
hostname_graph.txt,sethostname,try_to_wake_up
hostname_graph.txt,sethostname,_raw_spin_lock_irqsave
hostname_graph.txt,sethostname,select_task_rq_fair
hostname_graph.txt,sethostname,select_idle_sibling
hostname_graph.txt,sethostname,available_idle_cpu
hostname_graph.txt,sethostname,native_smp_send_reschedule
hostname_graph.txt,sethostname,x2apic_send_IPI
hostname_graph.txt,sethostname,_raw_spin_unlock_irqrestore
hostname_graph.txt,sethostname,_raw_spin_unlock_irqrestore
hostname_graph.txt,sethostname,irq_exit
hostname_graph.txt,sethostname,idle_cpu
hostname_graph.txt,sethostname,rcu_irq_exit
hostname_graph.txt,sethostname,up_write
