파일명,시스템콜,해당함수
ioperm_0_graph.txt,newfstat,vfs_statx_fd
ioperm_0_graph.txt,newfstat,__fdget_raw
ioperm_0_graph.txt,newfstat,__fget_light
ioperm_0_graph.txt,newfstat,vfs_getattr
ioperm_0_graph.txt,newfstat,security_inode_getattr
ioperm_0_graph.txt,newfstat,apparmor_inode_getattr
ioperm_0_graph.txt,newfstat,common_perm_cond
ioperm_0_graph.txt,newfstat,common_perm
ioperm_0_graph.txt,newfstat,vfs_getattr_nosec
ioperm_0_graph.txt,newfstat,generic_fillattr
ioperm_0_graph.txt,newfstat,cp_new_stat
ioperm_0_graph.txt,newfstat,from_kuid_munged
ioperm_0_graph.txt,newfstat,map_id_up
ioperm_0_graph.txt,newfstat,from_kgid_munged
ioperm_0_graph.txt,newfstat,map_id_up
ioperm_0_graph.txt,ioperm,ksys_ioperm
ioperm_0_graph.txt,ioperm,capable
ioperm_0_graph.txt,ioperm,ns_capable_common
ioperm_0_graph.txt,ioperm,security_capable
ioperm_0_graph.txt,ioperm,cap_capable
ioperm_0_graph.txt,ioperm,apparmor_capable
ioperm_0_graph.txt,ioperm,security_locked_down
ioperm_0_graph.txt,ioperm,lockdown_is_locked_down
ioperm_0_graph.txt,ioperm,kmem_cache_alloc_trace
ioperm_0_graph.txt,ioperm,_cond_resched
ioperm_0_graph.txt,ioperm,rcu_all_qs
ioperm_0_graph.txt,ioperm,should_failslab
ioperm_0_graph.txt,ioperm,memcg_kmem_put_cache
ioperm_0_graph.txt,write,ksys_write
ioperm_0_graph.txt,write,__fdget_pos
ioperm_0_graph.txt,write,__fget_light
ioperm_0_graph.txt,write,vfs_write
ioperm_0_graph.txt,write,rw_verify_area
ioperm_0_graph.txt,write,security_file_permission
ioperm_0_graph.txt,write,apparmor_file_permission
ioperm_0_graph.txt,write,common_file_perm
ioperm_0_graph.txt,write,aa_file_perm
ioperm_0_graph.txt,write,__vfs_write
ioperm_0_graph.txt,write,tty_write
ioperm_0_graph.txt,write,tty_paranoia_check
ioperm_0_graph.txt,write,tty_ldisc_ref_wait
ioperm_0_graph.txt,write,ldsem_down_read
ioperm_0_graph.txt,write,_cond_resched
ioperm_0_graph.txt,write,rcu_all_qs
ioperm_0_graph.txt,write,tty_write_lock
ioperm_0_graph.txt,write,mutex_trylock
ioperm_0_graph.txt,write,__check_object_size
ioperm_0_graph.txt,write,check_stack_object
ioperm_0_graph.txt,write,__virt_addr_valid
ioperm_0_graph.txt,write,__check_heap_object
ioperm_0_graph.txt,write,n_tty_write
ioperm_0_graph.txt,write,down_read
ioperm_0_graph.txt,write,_cond_resched
ioperm_0_graph.txt,write,rcu_all_qs
ioperm_0_graph.txt,write,process_echoes
ioperm_0_graph.txt,write,add_wait_queue
ioperm_0_graph.txt,write,_raw_spin_lock_irqsave
ioperm_0_graph.txt,write,_raw_spin_unlock_irqrestore
ioperm_0_graph.txt,write,tty_hung_up_p
ioperm_0_graph.txt,write,mutex_lock
ioperm_0_graph.txt,write,_cond_resched
ioperm_0_graph.txt,write,rcu_all_qs
ioperm_0_graph.txt,write,tty_write_room
ioperm_0_graph.txt,write,pty_write_room
ioperm_0_graph.txt,write,tty_buffer_space_avail
ioperm_0_graph.txt,write,pty_write
ioperm_0_graph.txt,write,tty_insert_flip_string_and_push_buffer
ioperm_0_graph.txt,write,_raw_spin_lock_irqsave
ioperm_0_graph.txt,write,tty_insert_flip_string_fixed_flag
ioperm_0_graph.txt,write,__tty_buffer_request_room
ioperm_0_graph.txt,write,_raw_spin_unlock_irqrestore
ioperm_0_graph.txt,write,queue_work_on
ioperm_0_graph.txt,write,__queue_work
ioperm_0_graph.txt,write,get_work_pool
ioperm_0_graph.txt,write,_raw_spin_lock
ioperm_0_graph.txt,write,native_queued_spin_lock_slowpath
ioperm_0_graph.txt,write,insert_work
ioperm_0_graph.txt,write,wake_up_process
ioperm_0_graph.txt,write,try_to_wake_up
ioperm_0_graph.txt,write,_raw_spin_lock_irqsave
ioperm_0_graph.txt,write,select_task_rq_fair
ioperm_0_graph.txt,write,available_idle_cpu
ioperm_0_graph.txt,write,update_cfs_rq_h_load
ioperm_0_graph.txt,write,select_idle_sibling
ioperm_0_graph.txt,write,available_idle_cpu
ioperm_0_graph.txt,write,native_smp_send_reschedule
ioperm_0_graph.txt,write,x2apic_send_IPI
ioperm_0_graph.txt,write,_raw_spin_unlock_irqrestore
ioperm_0_graph.txt,write,mutex_unlock
ioperm_0_graph.txt,write,do_output_char
ioperm_0_graph.txt,write,pty_write
ioperm_0_graph.txt,write,tty_insert_flip_string_and_push_buffer
ioperm_0_graph.txt,write,_raw_spin_lock_irqsave
ioperm_0_graph.txt,write,tty_insert_flip_string_fixed_flag
ioperm_0_graph.txt,write,__tty_buffer_request_room
ioperm_0_graph.txt,write,_raw_spin_unlock_irqrestore
ioperm_0_graph.txt,write,queue_work_on
ioperm_0_graph.txt,write,remove_wait_queue
ioperm_0_graph.txt,write,_raw_spin_lock_irqsave
ioperm_0_graph.txt,write,_raw_spin_unlock_irqrestore
ioperm_0_graph.txt,write,up_read
ioperm_0_graph.txt,write,ktime_get_real_seconds
ioperm_0_graph.txt,write,tty_write_unlock
ioperm_0_graph.txt,write,mutex_unlock
ioperm_0_graph.txt,write,__wake_up
ioperm_0_graph.txt,write,__wake_up_common_lock
ioperm_0_graph.txt,write,_raw_spin_lock_irqsave
ioperm_0_graph.txt,write,__wake_up_common
ioperm_0_graph.txt,write,_raw_spin_unlock_irqrestore
ioperm_0_graph.txt,write,tty_ldisc_deref
ioperm_0_graph.txt,write,ldsem_up_read
ioperm_0_graph.txt,write,smp_irq_work_interrupt
ioperm_0_graph.txt,write,irq_enter
ioperm_0_graph.txt,write,rcu_irq_enter
ioperm_0_graph.txt,write,__wake_up
ioperm_0_graph.txt,write,__wake_up_common_lock
