파일명,시스템콜,해당함수
ioperm_2_graph.txt,newfstat,vfs_statx_fd
ioperm_2_graph.txt,newfstat,__fdget_raw
ioperm_2_graph.txt,newfstat,__fget_light
ioperm_2_graph.txt,newfstat,vfs_getattr
ioperm_2_graph.txt,newfstat,security_inode_getattr
ioperm_2_graph.txt,newfstat,apparmor_inode_getattr
ioperm_2_graph.txt,newfstat,common_perm_cond
ioperm_2_graph.txt,newfstat,common_perm
ioperm_2_graph.txt,newfstat,smp_irq_work_interrupt
ioperm_2_graph.txt,newfstat,irq_enter
ioperm_2_graph.txt,newfstat,rcu_irq_enter
ioperm_2_graph.txt,newfstat,__wake_up
ioperm_2_graph.txt,newfstat,__wake_up_common_lock
ioperm_2_graph.txt,newfstat,_raw_spin_lock_irqsave
ioperm_2_graph.txt,newfstat,__wake_up_common
ioperm_2_graph.txt,newfstat,pollwake
ioperm_2_graph.txt,newfstat,default_wake_function
ioperm_2_graph.txt,newfstat,try_to_wake_up
ioperm_2_graph.txt,newfstat,_raw_spin_lock_irqsave
ioperm_2_graph.txt,newfstat,select_task_rq_fair
ioperm_2_graph.txt,newfstat,select_idle_sibling
ioperm_2_graph.txt,newfstat,available_idle_cpu
ioperm_2_graph.txt,newfstat,native_smp_send_reschedule
ioperm_2_graph.txt,newfstat,x2apic_send_IPI
ioperm_2_graph.txt,newfstat,_raw_spin_unlock_irqrestore
ioperm_2_graph.txt,newfstat,_raw_spin_unlock_irqrestore
ioperm_2_graph.txt,newfstat,irq_exit
ioperm_2_graph.txt,newfstat,idle_cpu
ioperm_2_graph.txt,newfstat,rcu_irq_exit
ioperm_2_graph.txt,newfstat,vfs_getattr_nosec
ioperm_2_graph.txt,newfstat,generic_fillattr
ioperm_2_graph.txt,newfstat,cp_new_stat
ioperm_2_graph.txt,newfstat,from_kuid_munged
ioperm_2_graph.txt,newfstat,map_id_up
ioperm_2_graph.txt,newfstat,from_kgid_munged
ioperm_2_graph.txt,newfstat,map_id_up
ioperm_2_graph.txt,ioperm,ksys_ioperm
ioperm_2_graph.txt,ioperm,kmem_cache_alloc_trace
ioperm_2_graph.txt,ioperm,_cond_resched
ioperm_2_graph.txt,ioperm,rcu_all_qs
ioperm_2_graph.txt,ioperm,should_failslab
ioperm_2_graph.txt,ioperm,memcg_kmem_put_cache
ioperm_2_graph.txt,write,ksys_write
ioperm_2_graph.txt,write,__fdget_pos
ioperm_2_graph.txt,write,__fget_light
ioperm_2_graph.txt,write,vfs_write
ioperm_2_graph.txt,write,rw_verify_area
ioperm_2_graph.txt,write,security_file_permission
ioperm_2_graph.txt,write,apparmor_file_permission
ioperm_2_graph.txt,write,common_file_perm
ioperm_2_graph.txt,write,aa_file_perm
ioperm_2_graph.txt,write,__vfs_write
ioperm_2_graph.txt,write,tty_write
ioperm_2_graph.txt,write,tty_paranoia_check
ioperm_2_graph.txt,write,tty_ldisc_ref_wait
ioperm_2_graph.txt,write,ldsem_down_read
ioperm_2_graph.txt,write,_cond_resched
ioperm_2_graph.txt,write,rcu_all_qs
ioperm_2_graph.txt,write,tty_write_lock
ioperm_2_graph.txt,write,mutex_trylock
ioperm_2_graph.txt,write,smp_irq_work_interrupt
ioperm_2_graph.txt,write,irq_enter
ioperm_2_graph.txt,write,rcu_irq_enter
ioperm_2_graph.txt,write,__wake_up
ioperm_2_graph.txt,write,__wake_up_common_lock
ioperm_2_graph.txt,write,_raw_spin_lock_irqsave
ioperm_2_graph.txt,write,__wake_up_common
ioperm_2_graph.txt,write,pollwake
ioperm_2_graph.txt,write,default_wake_function
ioperm_2_graph.txt,write,try_to_wake_up
ioperm_2_graph.txt,write,_raw_spin_lock_irqsave
ioperm_2_graph.txt,write,select_task_rq_fair
ioperm_2_graph.txt,write,select_idle_sibling
ioperm_2_graph.txt,write,available_idle_cpu
ioperm_2_graph.txt,write,native_smp_send_reschedule
ioperm_2_graph.txt,write,x2apic_send_IPI
ioperm_2_graph.txt,write,_raw_spin_unlock_irqrestore
ioperm_2_graph.txt,write,_raw_spin_unlock_irqrestore
ioperm_2_graph.txt,write,irq_exit
ioperm_2_graph.txt,write,idle_cpu
ioperm_2_graph.txt,write,rcu_irq_exit
ioperm_2_graph.txt,write,__check_object_size
ioperm_2_graph.txt,write,check_stack_object
ioperm_2_graph.txt,write,__virt_addr_valid
ioperm_2_graph.txt,write,__check_heap_object
ioperm_2_graph.txt,write,n_tty_write
ioperm_2_graph.txt,write,down_read
ioperm_2_graph.txt,write,_cond_resched
ioperm_2_graph.txt,write,rcu_all_qs
ioperm_2_graph.txt,write,process_echoes
ioperm_2_graph.txt,write,add_wait_queue
ioperm_2_graph.txt,write,_raw_spin_lock_irqsave
ioperm_2_graph.txt,write,_raw_spin_unlock_irqrestore
ioperm_2_graph.txt,write,tty_hung_up_p
ioperm_2_graph.txt,write,mutex_lock
ioperm_2_graph.txt,write,_cond_resched
ioperm_2_graph.txt,write,rcu_all_qs
ioperm_2_graph.txt,write,rcu_note_context_switch
ioperm_2_graph.txt,write,rcu_qs
ioperm_2_graph.txt,write,_raw_spin_lock
ioperm_2_graph.txt,write,update_rq_clock
ioperm_2_graph.txt,write,pick_next_task_fair
ioperm_2_graph.txt,write,update_curr
ioperm_2_graph.txt,write,update_min_vruntime
ioperm_2_graph.txt,write,cpuacct_charge
ioperm_2_graph.txt,write,__cgroup_account_cputime
ioperm_2_graph.txt,write,cgroup_rstat_updated
ioperm_2_graph.txt,write,check_cfs_rq_runtime
ioperm_2_graph.txt,write,pick_next_entity
ioperm_2_graph.txt,write,clear_buddies
ioperm_2_graph.txt,write,tty_write_room
ioperm_2_graph.txt,write,pty_write_room
ioperm_2_graph.txt,write,tty_buffer_space_avail
ioperm_2_graph.txt,write,pty_write
ioperm_2_graph.txt,write,tty_insert_flip_string_and_push_buffer
ioperm_2_graph.txt,write,_raw_spin_lock_irqsave
ioperm_2_graph.txt,write,tty_insert_flip_string_fixed_flag
ioperm_2_graph.txt,write,__tty_buffer_request_room
ioperm_2_graph.txt,write,_raw_spin_unlock_irqrestore
ioperm_2_graph.txt,write,queue_work_on
ioperm_2_graph.txt,write,__queue_work
ioperm_2_graph.txt,write,get_work_pool
ioperm_2_graph.txt,write,_raw_spin_lock
ioperm_2_graph.txt,write,insert_work
ioperm_2_graph.txt,write,wake_up_process
ioperm_2_graph.txt,write,try_to_wake_up
ioperm_2_graph.txt,write,_raw_spin_lock_irqsave
ioperm_2_graph.txt,write,select_task_rq_fair
ioperm_2_graph.txt,write,available_idle_cpu
ioperm_2_graph.txt,write,update_cfs_rq_h_load
ioperm_2_graph.txt,write,select_idle_sibling
ioperm_2_graph.txt,write,available_idle_cpu
ioperm_2_graph.txt,write,cpus_share_cache
ioperm_2_graph.txt,write,set_task_cpu
ioperm_2_graph.txt,write,migrate_task_rq_fair
ioperm_2_graph.txt,write,remove_entity_load_avg
ioperm_2_graph.txt,write,__update_load_avg_blocked_se
ioperm_2_graph.txt,write,_raw_spin_lock_irqsave
ioperm_2_graph.txt,write,_raw_spin_unlock_irqrestore
ioperm_2_graph.txt,write,set_task_rq_fair
ioperm_2_graph.txt,write,_raw_spin_lock
ioperm_2_graph.txt,write,update_rq_clock
ioperm_2_graph.txt,write,ttwu_do_activate
ioperm_2_graph.txt,write,activate_task
ioperm_2_graph.txt,write,psi_task_change
ioperm_2_graph.txt,write,record_times
ioperm_2_graph.txt,write,enqueue_task_fair
ioperm_2_graph.txt,write,enqueue_entity
ioperm_2_graph.txt,write,update_curr
ioperm_2_graph.txt,write,__calc_delta
ioperm_2_graph.txt,write,update_min_vruntime
ioperm_2_graph.txt,write,__update_load_avg_cfs_rq
ioperm_2_graph.txt,write,__accumulate_pelt_segments
ioperm_2_graph.txt,write,attach_entity_load_avg
ioperm_2_graph.txt,write,update_cfs_group
ioperm_2_graph.txt,write,account_entity_enqueue
ioperm_2_graph.txt,write,__enqueue_entity
ioperm_2_graph.txt,write,hrtick_update
ioperm_2_graph.txt,write,ttwu_do_wakeup
ioperm_2_graph.txt,write,check_preempt_curr
ioperm_2_graph.txt,write,check_preempt_wakeup
ioperm_2_graph.txt,write,update_curr
ioperm_2_graph.txt,write,wakeup_preempt_entity.isra.77
ioperm_2_graph.txt,write,set_next_buddy
ioperm_2_graph.txt,write,resched_curr
ioperm_2_graph.txt,write,_raw_spin_unlock_irqrestore
ioperm_2_graph.txt,write,smp_irq_work_interrupt
ioperm_2_graph.txt,write,irq_enter
ioperm_2_graph.txt,write,rcu_irq_enter
ioperm_2_graph.txt,write,__wake_up
ioperm_2_graph.txt,write,__wake_up_common_lock
ioperm_2_graph.txt,write,_raw_spin_lock_irqsave
ioperm_2_graph.txt,write,__wake_up_common
ioperm_2_graph.txt,write,_raw_spin_unlock_irqrestore
ioperm_2_graph.txt,write,irq_exit
ioperm_2_graph.txt,write,idle_cpu
ioperm_2_graph.txt,write,rcu_irq_exit
ioperm_2_graph.txt,write,smp_irq_work_interrupt
ioperm_2_graph.txt,write,irq_enter
ioperm_2_graph.txt,write,rcu_irq_enter
ioperm_2_graph.txt,write,__wake_up
ioperm_2_graph.txt,write,__wake_up_common_lock
ioperm_2_graph.txt,write,_raw_spin_lock_irqsave
ioperm_2_graph.txt,write,__wake_up_common
ioperm_2_graph.txt,write,pollwake
ioperm_2_graph.txt,write,default_wake_function
ioperm_2_graph.txt,write,try_to_wake_up
ioperm_2_graph.txt,write,_raw_spin_lock_irqsave
ioperm_2_graph.txt,write,select_task_rq_fair
ioperm_2_graph.txt,write,select_idle_sibling
ioperm_2_graph.txt,write,available_idle_cpu
ioperm_2_graph.txt,write,native_smp_send_reschedule
