파일명,시스템콜,해당함수
iopl_3_graph.txt,newfstat,vfs_statx_fd
iopl_3_graph.txt,newfstat,__fdget_raw
iopl_3_graph.txt,newfstat,__fget_light
iopl_3_graph.txt,newfstat,vfs_getattr
iopl_3_graph.txt,newfstat,security_inode_getattr
iopl_3_graph.txt,newfstat,apparmor_inode_getattr
iopl_3_graph.txt,newfstat,common_perm_cond
iopl_3_graph.txt,newfstat,common_perm
iopl_3_graph.txt,newfstat,vfs_getattr_nosec
iopl_3_graph.txt,newfstat,generic_fillattr
iopl_3_graph.txt,newfstat,cp_new_stat
iopl_3_graph.txt,newfstat,from_kuid_munged
iopl_3_graph.txt,newfstat,map_id_up
iopl_3_graph.txt,newfstat,from_kgid_munged
iopl_3_graph.txt,newfstat,map_id_up
iopl_3_graph.txt,iopl,smp_irq_work_interrupt
iopl_3_graph.txt,iopl,irq_enter
iopl_3_graph.txt,iopl,rcu_irq_enter
iopl_3_graph.txt,iopl,__wake_up
iopl_3_graph.txt,iopl,__wake_up_common_lock
iopl_3_graph.txt,iopl,_raw_spin_lock_irqsave
iopl_3_graph.txt,iopl,__wake_up_common
iopl_3_graph.txt,iopl,_raw_spin_unlock_irqrestore
iopl_3_graph.txt,iopl,irq_exit
iopl_3_graph.txt,iopl,idle_cpu
iopl_3_graph.txt,iopl,rcu_irq_exit
iopl_3_graph.txt,iopl,capable
iopl_3_graph.txt,iopl,ns_capable_common
iopl_3_graph.txt,iopl,security_capable
iopl_3_graph.txt,iopl,cap_capable
iopl_3_graph.txt,iopl,apparmor_capable
iopl_3_graph.txt,iopl,security_locked_down
iopl_3_graph.txt,iopl,lockdown_is_locked_down
iopl_3_graph.txt,write,ksys_write
iopl_3_graph.txt,write,__fdget_pos
iopl_3_graph.txt,write,__fget_light
iopl_3_graph.txt,write,vfs_write
iopl_3_graph.txt,write,rw_verify_area
iopl_3_graph.txt,write,security_file_permission
iopl_3_graph.txt,write,apparmor_file_permission
iopl_3_graph.txt,write,common_file_perm
iopl_3_graph.txt,write,aa_file_perm
iopl_3_graph.txt,write,__vfs_write
iopl_3_graph.txt,write,tty_write
iopl_3_graph.txt,write,tty_paranoia_check
iopl_3_graph.txt,write,tty_ldisc_ref_wait
iopl_3_graph.txt,write,ldsem_down_read
iopl_3_graph.txt,write,_cond_resched
iopl_3_graph.txt,write,rcu_all_qs
iopl_3_graph.txt,write,tty_write_lock
iopl_3_graph.txt,write,mutex_trylock
iopl_3_graph.txt,write,__check_object_size
iopl_3_graph.txt,write,check_stack_object
iopl_3_graph.txt,write,__virt_addr_valid
iopl_3_graph.txt,write,__check_heap_object
iopl_3_graph.txt,write,n_tty_write
iopl_3_graph.txt,write,down_read
iopl_3_graph.txt,write,_cond_resched
iopl_3_graph.txt,write,rcu_all_qs
iopl_3_graph.txt,write,process_echoes
