파일명,시스템콜,해당함수
itimer_ITIMER_REAL_graph.txt,setitimer,do_setitimer
itimer_ITIMER_REAL_graph.txt,setitimer,_raw_spin_lock_irq
itimer_ITIMER_REAL_graph.txt,setitimer,itimer_get_remtime
itimer_ITIMER_REAL_graph.txt,setitimer,__hrtimer_get_remaining
itimer_ITIMER_REAL_graph.txt,setitimer,lock_hrtimer_base
itimer_ITIMER_REAL_graph.txt,setitimer,_raw_spin_lock_irqsave
itimer_ITIMER_REAL_graph.txt,setitimer,ktime_get
itimer_ITIMER_REAL_graph.txt,setitimer,_raw_spin_unlock_irqrestore
itimer_ITIMER_REAL_graph.txt,setitimer,hrtimer_active
itimer_ITIMER_REAL_graph.txt,setitimer,ns_to_timeval
itimer_ITIMER_REAL_graph.txt,setitimer,ns_to_timeval
itimer_ITIMER_REAL_graph.txt,setitimer,hrtimer_try_to_cancel
itimer_ITIMER_REAL_graph.txt,setitimer,hrtimer_active
itimer_ITIMER_REAL_graph.txt,setitimer,hrtimer_start_range_ns
itimer_ITIMER_REAL_graph.txt,setitimer,lock_hrtimer_base
itimer_ITIMER_REAL_graph.txt,setitimer,_raw_spin_lock_irqsave
itimer_ITIMER_REAL_graph.txt,setitimer,ktime_get
itimer_ITIMER_REAL_graph.txt,setitimer,get_nohz_timer_target
itimer_ITIMER_REAL_graph.txt,setitimer,_raw_spin_lock
itimer_ITIMER_REAL_graph.txt,setitimer,enqueue_hrtimer
itimer_ITIMER_REAL_graph.txt,setitimer,_raw_spin_unlock_irqrestore
itimer_ITIMER_REAL_graph.txt,setitimer,smp_irq_work_interrupt
itimer_ITIMER_REAL_graph.txt,setitimer,irq_enter
itimer_ITIMER_REAL_graph.txt,setitimer,rcu_irq_enter
itimer_ITIMER_REAL_graph.txt,setitimer,__wake_up
itimer_ITIMER_REAL_graph.txt,setitimer,__wake_up_common_lock
itimer_ITIMER_REAL_graph.txt,setitimer,_raw_spin_lock_irqsave
itimer_ITIMER_REAL_graph.txt,setitimer,__wake_up_common
itimer_ITIMER_REAL_graph.txt,setitimer,_raw_spin_unlock_irqrestore
itimer_ITIMER_REAL_graph.txt,setitimer,irq_exit
itimer_ITIMER_REAL_graph.txt,setitimer,idle_cpu
itimer_ITIMER_REAL_graph.txt,setitimer,rcu_irq_exit
itimer_ITIMER_REAL_graph.txt,newfstat,vfs_statx_fd
itimer_ITIMER_REAL_graph.txt,newfstat,__fdget_raw
itimer_ITIMER_REAL_graph.txt,newfstat,__fget_light
itimer_ITIMER_REAL_graph.txt,newfstat,vfs_getattr
