파일명,시스템콜,해당함수
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,keyctl_setperm_key
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,lookup_user_key
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,prepare_creds
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,kmem_cache_alloc
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,_cond_resched
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,rcu_all_qs
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,should_failslab
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,memcg_kmem_get_cache
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,memcg_kmem_put_cache
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,security_prepare_creds
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,__kmalloc
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,kmalloc_slab
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,_cond_resched
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,rcu_all_qs
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,should_failslab
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,memcg_kmem_get_cache
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,memcg_kmem_put_cache
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,apparmor_cred_prepare
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,install_thread_keyring_to_cred.part.3
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,keyring_alloc
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,key_alloc
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,key_user_lookup
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,_raw_spin_lock
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,kfree
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,_raw_spin_lock
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,kmem_cache_alloc
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,_cond_resched
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,rcu_all_qs
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,should_failslab
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,smp_irq_work_interrupt
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,irq_enter
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,rcu_irq_enter
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,__wake_up
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,__wake_up_common_lock
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,_raw_spin_lock_irqsave
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,__wake_up_common
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,_raw_spin_unlock_irqrestore
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,irq_exit
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,idle_cpu
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,rcu_irq_exit
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,memcg_kmem_put_cache
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,__kmalloc_track_caller
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,kmalloc_slab
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,_cond_resched
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,rcu_all_qs
keyctl_setperm_key_pos_search_key_oth_setattr_graph.txt,keyctl,should_failslab
