파일명,시스템콜,해당함수
test_madvise_madv_hwpoison_graph.txt,mmap,ksys_mmap_pgoff
test_madvise_madv_hwpoison_graph.txt,mmap,vm_mmap_pgoff
test_madvise_madv_hwpoison_graph.txt,mmap,security_mmap_file
test_madvise_madv_hwpoison_graph.txt,mmap,cap_mmap_file
test_madvise_madv_hwpoison_graph.txt,mmap,smp_irq_work_interrupt
test_madvise_madv_hwpoison_graph.txt,mmap,irq_enter
test_madvise_madv_hwpoison_graph.txt,mmap,rcu_irq_enter
test_madvise_madv_hwpoison_graph.txt,mmap,__wake_up
test_madvise_madv_hwpoison_graph.txt,mmap,__wake_up_common_lock
test_madvise_madv_hwpoison_graph.txt,mmap,_raw_spin_lock_irqsave
test_madvise_madv_hwpoison_graph.txt,mmap,__wake_up_common
test_madvise_madv_hwpoison_graph.txt,mmap,_raw_spin_unlock_irqrestore
test_madvise_madv_hwpoison_graph.txt,mmap,irq_exit
test_madvise_madv_hwpoison_graph.txt,mmap,idle_cpu
test_madvise_madv_hwpoison_graph.txt,mmap,rcu_irq_exit
test_madvise_madv_hwpoison_graph.txt,mmap,apparmor_mmap_file
test_madvise_madv_hwpoison_graph.txt,mmap,ima_file_mmap
test_madvise_madv_hwpoison_graph.txt,mmap,down_write_killable
test_madvise_madv_hwpoison_graph.txt,mmap,_cond_resched
test_madvise_madv_hwpoison_graph.txt,mmap,rcu_all_qs
test_madvise_madv_hwpoison_graph.txt,mmap,do_mmap
test_madvise_madv_hwpoison_graph.txt,mmap,get_unmapped_area
test_madvise_madv_hwpoison_graph.txt,mmap,arch_get_unmapped_area_topdown
test_madvise_madv_hwpoison_graph.txt,mmap,mpx_unmapped_area_check
test_madvise_madv_hwpoison_graph.txt,mmap,get_mmap_base
test_madvise_madv_hwpoison_graph.txt,mmap,unmapped_area_topdown
test_madvise_madv_hwpoison_graph.txt,mmap,security_mmap_addr
test_madvise_madv_hwpoison_graph.txt,mmap,cap_mmap_addr
test_madvise_madv_hwpoison_graph.txt,mmap,mmap_region
test_madvise_madv_hwpoison_graph.txt,mmap,may_expand_vm
test_madvise_madv_hwpoison_graph.txt,mmap,security_vm_enough_memory_mm
test_madvise_madv_hwpoison_graph.txt,mmap,cap_vm_enough_memory
test_madvise_madv_hwpoison_graph.txt,mmap,cap_capable
test_madvise_madv_hwpoison_graph.txt,mmap,__vm_enough_memory
test_madvise_madv_hwpoison_graph.txt,mmap,vma_merge
test_madvise_madv_hwpoison_graph.txt,mmap,can_vma_merge_before.part.23
test_madvise_madv_hwpoison_graph.txt,mmap,__vma_adjust
test_madvise_madv_hwpoison_graph.txt,mmap,vma_adjust_trans_huge
test_madvise_madv_hwpoison_graph.txt,mmap,down_write
test_madvise_madv_hwpoison_graph.txt,mmap,_cond_resched
test_madvise_madv_hwpoison_graph.txt,mmap,rcu_all_qs
test_madvise_madv_hwpoison_graph.txt,mmap,anon_vma_interval_tree_remove
test_madvise_madv_hwpoison_graph.txt,mmap,anon_vma_interval_tree_insert
test_madvise_madv_hwpoison_graph.txt,mmap,up_write
test_madvise_madv_hwpoison_graph.txt,mmap,khugepaged_enter_vma_merge
test_madvise_madv_hwpoison_graph.txt,mmap,hugepage_vma_check
test_madvise_madv_hwpoison_graph.txt,mmap,vma_set_page_prot
