파일명,시스템콜,해당함수
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,synchronize_rcu
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,_cond_resched
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,rcu_all_qs
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,rcu_gp_is_expedited
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,__wait_rcu_gp
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,__init_waitqueue_head
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,call_rcu
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,__call_rcu
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,rcu_segcblist_enqueue
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,wait_for_completion
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,_cond_resched
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,rcu_all_qs
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,_raw_spin_lock_irq
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,schedule_timeout
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,schedule
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,rcu_note_context_switch
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,rcu_qs
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,_raw_spin_lock
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,update_rq_clock
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,deactivate_task
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,psi_task_change
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,record_times
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,dequeue_task_fair
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,dequeue_entity
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,update_curr
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,update_min_vruntime
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,cpuacct_charge
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,__cgroup_account_cputime
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,cgroup_rstat_updated
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,__calc_delta
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,__update_load_avg_se
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,__accumulate_pelt_segments
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,__update_load_avg_cfs_rq
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,__accumulate_pelt_segments
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,clear_buddies
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,account_entity_dequeue
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,update_cfs_group
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,reweight_entity
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,update_min_vruntime
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,hrtick_update
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,pick_next_task_fair
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,newidle_balance
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,__msecs_to_jiffies
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,pick_next_task_idle
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,put_prev_task_fair
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,put_prev_entity
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,check_cfs_rq_runtime
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,set_next_task_idle
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,finish_task_switch
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,fpregs_assert_state_consistent
test_membarrier_membarrier_cmd_shared_graph.txt,membarrier,switch_fpu_return
test_membarrier_membarrier_cmd_register_private_expedited_graph.txt,membarrier,membarrier_register_private_expedited
test_membarrier_membarrier_cmd_register_private_expedited_graph.txt,membarrier,sync_runqueues_membarrier_state
test_membarrier_membarrier_cmd_private_expedited_graph.txt,membarrier,membarrier_private_expedited
