파일명,시스템콜,해당함수
memfd_secret_graph.txt,newfstat,vfs_statx_fd
memfd_secret_graph.txt,newfstat,__fdget_raw
memfd_secret_graph.txt,newfstat,__fget_light
memfd_secret_graph.txt,newfstat,vfs_getattr
memfd_secret_graph.txt,newfstat,security_inode_getattr
memfd_secret_graph.txt,newfstat,apparmor_inode_getattr
memfd_secret_graph.txt,newfstat,common_perm_cond
memfd_secret_graph.txt,newfstat,common_perm
memfd_secret_graph.txt,newfstat,vfs_getattr_nosec
memfd_secret_graph.txt,newfstat,generic_fillattr
memfd_secret_graph.txt,newfstat,cp_new_stat
memfd_secret_graph.txt,newfstat,from_kuid_munged
memfd_secret_graph.txt,newfstat,map_id_up
memfd_secret_graph.txt,newfstat,from_kgid_munged
memfd_secret_graph.txt,newfstat,map_id_up
memfd_secret_graph.txt,newfstat,smp_irq_work_interrupt
memfd_secret_graph.txt,newfstat,irq_enter
memfd_secret_graph.txt,newfstat,rcu_irq_enter
memfd_secret_graph.txt,newfstat,__wake_up
memfd_secret_graph.txt,newfstat,__wake_up_common_lock
memfd_secret_graph.txt,newfstat,_raw_spin_lock_irqsave
memfd_secret_graph.txt,newfstat,__wake_up_common
memfd_secret_graph.txt,newfstat,_raw_spin_unlock_irqrestore
memfd_secret_graph.txt,newfstat,irq_exit
memfd_secret_graph.txt,newfstat,idle_cpu
memfd_secret_graph.txt,newfstat,rcu_irq_exit
