파일명,시스템콜,해당함수
test_mincore_graph.txt,mmap,ksys_mmap_pgoff
test_mincore_graph.txt,mmap,vm_mmap_pgoff
test_mincore_graph.txt,mmap,security_mmap_file
test_mincore_graph.txt,mmap,cap_mmap_file
test_mincore_graph.txt,mmap,apparmor_mmap_file
test_mincore_graph.txt,mmap,ima_file_mmap
test_mincore_graph.txt,mmap,down_write_killable
test_mincore_graph.txt,mmap,_cond_resched
test_mincore_graph.txt,mmap,rcu_all_qs
test_mincore_graph.txt,mmap,do_mmap
test_mincore_graph.txt,mmap,get_unmapped_area
test_mincore_graph.txt,mmap,arch_get_unmapped_area_topdown
test_mincore_graph.txt,mmap,mpx_unmapped_area_check
test_mincore_graph.txt,mmap,get_mmap_base
test_mincore_graph.txt,mmap,unmapped_area_topdown
test_mincore_graph.txt,mmap,security_mmap_addr
test_mincore_graph.txt,mmap,cap_mmap_addr
test_mincore_graph.txt,mmap,mmap_region
test_mincore_graph.txt,mmap,may_expand_vm
test_mincore_graph.txt,mmap,security_vm_enough_memory_mm
test_mincore_graph.txt,mmap,cap_vm_enough_memory
test_mincore_graph.txt,mmap,cap_capable
test_mincore_graph.txt,mmap,__vm_enough_memory
test_mincore_graph.txt,mmap,vma_merge
test_mincore_graph.txt,mmap,can_vma_merge_before.part.23
test_mincore_graph.txt,mmap,__vma_adjust
test_mincore_graph.txt,mmap,vma_adjust_trans_huge
test_mincore_graph.txt,mmap,down_write
test_mincore_graph.txt,mmap,_cond_resched
test_mincore_graph.txt,mmap,rcu_all_qs
test_mincore_graph.txt,mmap,anon_vma_interval_tree_remove
test_mincore_graph.txt,mmap,anon_vma_interval_tree_insert
test_mincore_graph.txt,mmap,up_write
test_mincore_graph.txt,mmap,khugepaged_enter_vma_merge
test_mincore_graph.txt,mmap,hugepage_vma_check
test_mincore_graph.txt,mmap,vma_set_page_prot
test_mincore_graph.txt,mmap,vm_pgprot_modify
test_mincore_graph.txt,mmap,vma_wants_writenotify
test_mincore_graph.txt,mmap,up_write
test_mincore_graph.txt,mmap,userfaultfd_unmap_complete
test_mincore_graph.txt,mincore,__get_free_pages
test_mincore_graph.txt,mincore,alloc_pages_current
test_mincore_graph.txt,mincore,get_task_policy.part.34
test_mincore_graph.txt,mincore,policy_nodemask
test_mincore_graph.txt,mincore,policy_node
test_mincore_graph.txt,mincore,__alloc_pages_nodemask
test_mincore_graph.txt,mincore,_cond_resched
test_mincore_graph.txt,mincore,rcu_all_qs
test_mincore_graph.txt,mincore,should_fail_alloc_page
test_mincore_graph.txt,mincore,get_page_from_freelist
test_mincore_graph.txt,mincore,__inc_numa_state
test_mincore_graph.txt,mincore,prep_new_page
test_mincore_graph.txt,mincore,kernel_poison_pages
test_mincore_graph.txt,mincore,page_poisoning_enabled
test_mincore_graph.txt,mincore,smp_irq_work_interrupt
test_mincore_graph.txt,mincore,irq_enter
test_mincore_graph.txt,mincore,rcu_irq_enter
test_mincore_graph.txt,mincore,__wake_up
test_mincore_graph.txt,mincore,__wake_up_common_lock
test_mincore_graph.txt,mincore,_raw_spin_lock_irqsave
test_mincore_graph.txt,mincore,__wake_up_common
test_mincore_graph.txt,mincore,_raw_spin_unlock_irqrestore
test_mincore_graph.txt,mincore,irq_exit
test_mincore_graph.txt,mincore,idle_cpu
test_mincore_graph.txt,mincore,rcu_irq_exit
test_mincore_graph.txt,mincore,kernel_init_free_pages
test_mincore_graph.txt,mincore,down_read
test_mincore_graph.txt,mincore,_cond_resched
test_mincore_graph.txt,mincore,rcu_all_qs
test_mincore_graph.txt,mincore,find_vma
test_mincore_graph.txt,mincore,vmacache_find
test_mincore_graph.txt,mincore,vmacache_update
test_mincore_graph.txt,mincore,walk_page_range
test_mincore_graph.txt,mincore,find_vma
test_mincore_graph.txt,mincore,vmacache_find
test_mincore_graph.txt,mincore,walk_page_test
test_mincore_graph.txt,mincore,__walk_page_range
test_mincore_graph.txt,mincore,walk_pgd_range
test_mincore_graph.txt,mincore,mincore_pte_range
test_mincore_graph.txt,mincore,_raw_spin_lock
test_mincore_graph.txt,mincore,__mincore_unmapped_range
test_mincore_graph.txt,mincore,_cond_resched
test_mincore_graph.txt,mincore,rcu_all_qs
test_mincore_graph.txt,mincore,up_read
test_mincore_graph.txt,mincore,__check_object_size
test_mincore_graph.txt,mincore,check_stack_object
test_mincore_graph.txt,mincore,__virt_addr_valid
test_mincore_graph.txt,mincore,free_pages
test_mincore_graph.txt,mincore,free_pages.part.101
test_mincore_graph.txt,mincore,__free_pages
test_mincore_graph.txt,mincore,free_unref_page
test_mincore_graph.txt,mincore,free_pcp_prepare
test_mincore_graph.txt,mincore,kernel_poison_pages
test_mincore_graph.txt,mincore,free_unref_page_prepare.part.72
test_mincore_graph.txt,mincore,free_unref_page_commit
test_mincore_graph.txt,munmap,profile_munmap
test_mincore_graph.txt,munmap,blocking_notifier_call_chain
test_mincore_graph.txt,munmap,__vm_munmap
test_mincore_graph.txt,munmap,down_write_killable
test_mincore_graph.txt,munmap,_cond_resched
test_mincore_graph.txt,munmap,rcu_all_qs
test_mincore_graph.txt,munmap,__do_munmap
test_mincore_graph.txt,munmap,find_vma
