파일명,시스템콜,해당함수
test_mknod_s_isgid_graph.txt,mknod,do_mknodat
test_mknod_s_isgid_graph.txt,mknod,getname_flags
test_mknod_s_isgid_graph.txt,mknod,kmem_cache_alloc
test_mknod_s_isgid_graph.txt,mknod,_cond_resched
test_mknod_s_isgid_graph.txt,mknod,rcu_all_qs
test_mknod_s_isgid_graph.txt,mknod,should_failslab
test_mknod_s_isgid_graph.txt,mknod,memcg_kmem_put_cache
test_mknod_s_isgid_graph.txt,mknod,__check_object_size
test_mknod_s_isgid_graph.txt,mknod,check_stack_object
test_mknod_s_isgid_graph.txt,mknod,__virt_addr_valid
test_mknod_s_isgid_graph.txt,mknod,__check_heap_object
test_mknod_s_isgid_graph.txt,mknod,filename_create
test_mknod_s_isgid_graph.txt,mknod,filename_parentat
test_mknod_s_isgid_graph.txt,mknod,path_parentat
test_mknod_s_isgid_graph.txt,mknod,path_init
test_mknod_s_isgid_graph.txt,mknod,smp_irq_work_interrupt
test_mknod_s_isgid_graph.txt,mknod,irq_enter
test_mknod_s_isgid_graph.txt,mknod,rcu_irq_enter
test_mknod_s_isgid_graph.txt,mknod,__wake_up
test_mknod_s_isgid_graph.txt,mknod,__wake_up_common_lock
test_mknod_s_isgid_graph.txt,mknod,_raw_spin_lock_irqsave
test_mknod_s_isgid_graph.txt,mknod,__wake_up_common
test_mknod_s_isgid_graph.txt,mknod,pollwake
test_mknod_s_isgid_graph.txt,mknod,default_wake_function
test_mknod_s_isgid_graph.txt,mknod,try_to_wake_up
test_mknod_s_isgid_graph.txt,mknod,_raw_spin_lock_irqsave
test_mknod_s_isgid_graph.txt,mknod,select_task_rq_fair
test_mknod_s_isgid_graph.txt,mknod,select_idle_sibling
test_mknod_s_isgid_graph.txt,mknod,available_idle_cpu
test_mknod_s_isgid_graph.txt,mknod,native_smp_send_reschedule
test_mknod_s_isgid_graph.txt,mknod,x2apic_send_IPI
test_mknod_s_isgid_graph.txt,mknod,_raw_spin_unlock_irqrestore
test_mknod_s_isgid_graph.txt,mknod,_raw_spin_unlock_irqrestore
test_mknod_s_isgid_graph.txt,mknod,irq_exit
test_mknod_s_isgid_graph.txt,mknod,idle_cpu
test_mknod_s_isgid_graph.txt,mknod,rcu_irq_exit
test_mknod_s_isgid_graph.txt,mknod,link_path_walk.part.33
test_mknod_s_isgid_graph.txt,mknod,inode_permission
test_mknod_s_isgid_graph.txt,mknod,generic_permission
test_mknod_s_isgid_graph.txt,mknod,get_cached_acl_rcu
test_mknod_s_isgid_graph.txt,mknod,in_group_p
test_mknod_s_isgid_graph.txt,mknod,security_inode_permission
test_mknod_s_isgid_graph.txt,mknod,complete_walk
test_mknod_s_isgid_graph.txt,mknod,unlazy_walk
test_mknod_s_isgid_graph.txt,mknod,legitimize_links
test_mknod_s_isgid_graph.txt,mknod,legitimize_path.isra.30
test_mknod_s_isgid_graph.txt,mknod,__legitimize_mnt
test_mknod_s_isgid_graph.txt,mknod,legitimize_root
