파일명,시스템콜,해당함수
init_module_O_TRUNC_graph.txt,openat,do_sys_open
init_module_O_TRUNC_graph.txt,openat,getname
init_module_O_TRUNC_graph.txt,openat,getname_flags
init_module_O_TRUNC_graph.txt,openat,kmem_cache_alloc
init_module_O_TRUNC_graph.txt,openat,_cond_resched
init_module_O_TRUNC_graph.txt,openat,rcu_all_qs
init_module_O_TRUNC_graph.txt,openat,should_failslab
init_module_O_TRUNC_graph.txt,openat,memcg_kmem_put_cache
init_module_O_TRUNC_graph.txt,openat,__check_object_size
init_module_O_TRUNC_graph.txt,openat,check_stack_object
init_module_O_TRUNC_graph.txt,openat,__virt_addr_valid
init_module_O_TRUNC_graph.txt,openat,__check_heap_object
init_module_O_TRUNC_graph.txt,openat,get_unused_fd_flags
init_module_O_TRUNC_graph.txt,openat,__alloc_fd
init_module_O_TRUNC_graph.txt,openat,_raw_spin_lock
init_module_O_TRUNC_graph.txt,openat,expand_files
init_module_O_TRUNC_graph.txt,openat,do_filp_open
init_module_O_TRUNC_graph.txt,openat,path_openat
init_module_O_TRUNC_graph.txt,openat,alloc_empty_file
init_module_O_TRUNC_graph.txt,openat,__alloc_file
init_module_O_TRUNC_graph.txt,openat,kmem_cache_alloc
init_module_O_TRUNC_graph.txt,openat,_cond_resched
init_module_O_TRUNC_graph.txt,openat,rcu_all_qs
init_module_O_TRUNC_graph.txt,openat,should_failslab
init_module_O_TRUNC_graph.txt,openat,smp_irq_work_interrupt
init_module_O_TRUNC_graph.txt,openat,irq_enter
init_module_O_TRUNC_graph.txt,openat,rcu_irq_enter
init_module_O_TRUNC_graph.txt,openat,__wake_up
init_module_O_TRUNC_graph.txt,openat,__wake_up_common_lock
init_module_O_TRUNC_graph.txt,openat,_raw_spin_lock_irqsave
init_module_O_TRUNC_graph.txt,openat,__wake_up_common
init_module_O_TRUNC_graph.txt,openat,_raw_spin_unlock_irqrestore
init_module_O_TRUNC_graph.txt,openat,irq_exit
init_module_O_TRUNC_graph.txt,openat,idle_cpu
init_module_O_TRUNC_graph.txt,openat,rcu_irq_exit
init_module_O_TRUNC_graph.txt,openat,memcg_kmem_get_cache
init_module_O_TRUNC_graph.txt,openat,memcg_kmem_put_cache
init_module_O_TRUNC_graph.txt,openat,security_file_alloc
init_module_O_TRUNC_graph.txt,openat,kmem_cache_alloc
init_module_O_TRUNC_graph.txt,openat,_cond_resched
init_module_O_TRUNC_graph.txt,openat,rcu_all_qs
init_module_O_TRUNC_graph.txt,openat,should_failslab
init_module_O_TRUNC_graph.txt,openat,memcg_kmem_put_cache
init_module_O_TRUNC_graph.txt,openat,apparmor_file_alloc_security
init_module_O_TRUNC_graph.txt,openat,_cond_resched
init_module_O_TRUNC_graph.txt,openat,rcu_all_qs
init_module_O_TRUNC_graph.txt,openat,__mutex_init
init_module_O_TRUNC_graph.txt,openat,path_init
init_module_O_TRUNC_graph.txt,openat,link_path_walk.part.33
init_module_O_TRUNC_graph.txt,openat,inode_permission
init_module_O_TRUNC_graph.txt,openat,generic_permission
init_module_O_TRUNC_graph.txt,openat,get_cached_acl_rcu
init_module_O_TRUNC_graph.txt,openat,in_group_p
init_module_O_TRUNC_graph.txt,openat,security_inode_permission
init_module_O_TRUNC_graph.txt,openat,walk_component
init_module_O_TRUNC_graph.txt,openat,set_root
init_module_O_TRUNC_graph.txt,openat,follow_dotdot_rcu
init_module_O_TRUNC_graph.txt,openat,path_connected
init_module_O_TRUNC_graph.txt,openat,lookup_fast
init_module_O_TRUNC_graph.txt,openat,__d_lookup_rcu
init_module_O_TRUNC_graph.txt,openat,smp_irq_work_interrupt
init_module_O_TRUNC_graph.txt,openat,irq_enter
init_module_O_TRUNC_graph.txt,openat,rcu_irq_enter
init_module_O_TRUNC_graph.txt,openat,__wake_up
init_module_O_TRUNC_graph.txt,openat,__wake_up_common_lock
init_module_O_TRUNC_graph.txt,openat,_raw_spin_lock_irqsave
init_module_O_TRUNC_graph.txt,openat,__wake_up_common
init_module_O_TRUNC_graph.txt,openat,pollwake
init_module_O_TRUNC_graph.txt,openat,default_wake_function
init_module_O_TRUNC_graph.txt,openat,try_to_wake_up
init_module_O_TRUNC_graph.txt,openat,_raw_spin_lock_irqsave
init_module_O_TRUNC_graph.txt,openat,select_task_rq_fair
init_module_O_TRUNC_graph.txt,openat,select_idle_sibling
init_module_O_TRUNC_graph.txt,openat,available_idle_cpu
init_module_O_TRUNC_graph.txt,openat,native_smp_send_reschedule
init_module_O_TRUNC_graph.txt,openat,x2apic_send_IPI
init_module_O_TRUNC_graph.txt,openat,_raw_spin_unlock_irqrestore
init_module_O_TRUNC_graph.txt,openat,_raw_spin_unlock_irqrestore
init_module_O_TRUNC_graph.txt,openat,irq_exit
init_module_O_TRUNC_graph.txt,openat,idle_cpu
init_module_O_TRUNC_graph.txt,openat,rcu_irq_exit
init_module_O_TRUNC_graph.txt,openat,terminate_walk
init_module_O_TRUNC_graph.txt,openat,fput
init_module_O_TRUNC_graph.txt,openat,fput_many
init_module_O_TRUNC_graph.txt,openat,task_work_add
init_module_O_TRUNC_graph.txt,openat,kick_process
init_module_O_TRUNC_graph.txt,openat,restore_nameidata
init_module_O_TRUNC_graph.txt,openat,put_unused_fd
init_module_O_TRUNC_graph.txt,openat,_raw_spin_lock
