파일명,시스템콜,해당함수
test_mprotect_sem_graph.txt,mmap,ksys_mmap_pgoff
test_mprotect_sem_graph.txt,mmap,vm_mmap_pgoff
test_mprotect_sem_graph.txt,mmap,security_mmap_file
test_mprotect_sem_graph.txt,mmap,cap_mmap_file
test_mprotect_sem_graph.txt,mmap,apparmor_mmap_file
test_mprotect_sem_graph.txt,mmap,ima_file_mmap
test_mprotect_sem_graph.txt,mmap,down_write_killable
test_mprotect_sem_graph.txt,mmap,_cond_resched
test_mprotect_sem_graph.txt,mmap,rcu_all_qs
test_mprotect_sem_graph.txt,mmap,do_mmap
test_mprotect_sem_graph.txt,mmap,get_unmapped_area
test_mprotect_sem_graph.txt,mmap,arch_get_unmapped_area_topdown
test_mprotect_sem_graph.txt,mmap,mpx_unmapped_area_check
test_mprotect_sem_graph.txt,mmap,get_mmap_base
test_mprotect_sem_graph.txt,mmap,unmapped_area_topdown
test_mprotect_sem_graph.txt,mmap,security_mmap_addr
test_mprotect_sem_graph.txt,mmap,cap_mmap_addr
test_mprotect_sem_graph.txt,mmap,mmap_region
test_mprotect_sem_graph.txt,mmap,may_expand_vm
test_mprotect_sem_graph.txt,mmap,security_vm_enough_memory_mm
test_mprotect_sem_graph.txt,mmap,cap_vm_enough_memory
test_mprotect_sem_graph.txt,mmap,cap_capable
test_mprotect_sem_graph.txt,mmap,__vm_enough_memory
test_mprotect_sem_graph.txt,mmap,vma_merge
test_mprotect_sem_graph.txt,mmap,can_vma_merge_before.part.23
test_mprotect_sem_graph.txt,mmap,__vma_adjust
test_mprotect_sem_graph.txt,mmap,vma_adjust_trans_huge
test_mprotect_sem_graph.txt,mmap,down_write
test_mprotect_sem_graph.txt,mmap,smp_irq_work_interrupt
test_mprotect_sem_graph.txt,mmap,irq_enter
test_mprotect_sem_graph.txt,mmap,rcu_irq_enter
test_mprotect_sem_graph.txt,mmap,__wake_up
test_mprotect_sem_graph.txt,mmap,__wake_up_common_lock
test_mprotect_sem_graph.txt,mmap,_raw_spin_lock_irqsave
test_mprotect_sem_graph.txt,mmap,__wake_up_common
test_mprotect_sem_graph.txt,mmap,_raw_spin_unlock_irqrestore
test_mprotect_sem_graph.txt,mmap,irq_exit
test_mprotect_sem_graph.txt,mmap,idle_cpu
test_mprotect_sem_graph.txt,mmap,rcu_irq_exit
test_mprotect_sem_graph.txt,mmap,_cond_resched
test_mprotect_sem_graph.txt,mmap,rcu_all_qs
test_mprotect_sem_graph.txt,mmap,anon_vma_interval_tree_remove
test_mprotect_sem_graph.txt,mmap,anon_vma_interval_tree_insert
test_mprotect_sem_graph.txt,mmap,up_write
test_mprotect_sem_graph.txt,mmap,khugepaged_enter_vma_merge
test_mprotect_sem_graph.txt,mmap,hugepage_vma_check
test_mprotect_sem_graph.txt,mmap,vma_set_page_prot
test_mprotect_sem_graph.txt,mmap,vm_pgprot_modify
test_mprotect_sem_graph.txt,mmap,vma_wants_writenotify
test_mprotect_sem_graph.txt,mmap,up_write
test_mprotect_sem_graph.txt,mmap,userfaultfd_unmap_complete
test_mprotect_sem_graph.txt,mprotect,do_mprotect_pkey
test_mprotect_sem_graph.txt,mprotect,down_write_killable
test_mprotect_sem_graph.txt,mprotect,_cond_resched
test_mprotect_sem_graph.txt,mprotect,rcu_all_qs
test_mprotect_sem_graph.txt,mprotect,find_vma
test_mprotect_sem_graph.txt,mprotect,vmacache_find
test_mprotect_sem_graph.txt,mprotect,vmacache_update
test_mprotect_sem_graph.txt,mprotect,security_file_mprotect
test_mprotect_sem_graph.txt,mprotect,apparmor_file_mprotect
test_mprotect_sem_graph.txt,mprotect,mprotect_fixup
test_mprotect_sem_graph.txt,mprotect,vma_merge
test_mprotect_sem_graph.txt,mprotect,split_vma
test_mprotect_sem_graph.txt,mprotect,__split_vma
test_mprotect_sem_graph.txt,mprotect,vm_area_dup
test_mprotect_sem_graph.txt,mprotect,kmem_cache_alloc
test_mprotect_sem_graph.txt,mprotect,_cond_resched
test_mprotect_sem_graph.txt,mprotect,rcu_all_qs
test_mprotect_sem_graph.txt,mprotect,should_failslab
test_mprotect_sem_graph.txt,mprotect,memcg_kmem_get_cache
test_mprotect_sem_graph.txt,mprotect,memcg_kmem_put_cache
test_mprotect_sem_graph.txt,mprotect,vma_dup_policy
test_mprotect_sem_graph.txt,mprotect,anon_vma_clone
test_mprotect_sem_graph.txt,mprotect,kmem_cache_alloc
test_mprotect_sem_graph.txt,mprotect,should_failslab
test_mprotect_sem_graph.txt,mprotect,memcg_kmem_get_cache
test_mprotect_sem_graph.txt,mprotect,smp_irq_work_interrupt
test_mprotect_sem_graph.txt,mprotect,irq_enter
test_mprotect_sem_graph.txt,mprotect,rcu_irq_enter
test_mprotect_sem_graph.txt,mprotect,__wake_up
test_mprotect_sem_graph.txt,mprotect,__wake_up_common_lock
test_mprotect_sem_graph.txt,mprotect,_raw_spin_lock_irqsave
test_mprotect_sem_graph.txt,mprotect,__wake_up_common
test_mprotect_sem_graph.txt,mprotect,pollwake
test_mprotect_sem_graph.txt,mprotect,default_wake_function
test_mprotect_sem_graph.txt,mprotect,try_to_wake_up
test_mprotect_sem_graph.txt,mprotect,_raw_spin_lock_irqsave
test_mprotect_sem_graph.txt,mprotect,select_task_rq_fair
test_mprotect_sem_graph.txt,mprotect,select_idle_sibling
test_mprotect_sem_graph.txt,mprotect,available_idle_cpu
test_mprotect_sem_graph.txt,mprotect,native_smp_send_reschedule
test_mprotect_sem_graph.txt,mprotect,x2apic_send_IPI
test_mprotect_sem_graph.txt,mprotect,_raw_spin_unlock_irqrestore
test_mprotect_sem_graph.txt,mprotect,_raw_spin_unlock_irqrestore
test_mprotect_sem_graph.txt,mprotect,irq_exit
test_mprotect_sem_graph.txt,mprotect,idle_cpu
test_mprotect_sem_graph.txt,mprotect,rcu_irq_exit
test_mprotect_sem_graph.txt,mprotect,memcg_kmem_put_cache
test_mprotect_sem_graph.txt,mprotect,down_write
test_mprotect_sem_graph.txt,mprotect,_cond_resched
test_mprotect_sem_graph.txt,mprotect,rcu_all_qs
test_mprotect_sem_graph.txt,mprotect,anon_vma_interval_tree_insert
test_mprotect_sem_graph.txt,mprotect,up_write
test_mprotect_sem_graph.txt,mprotect,__vma_adjust
test_mprotect_sem_graph.txt,mprotect,vma_adjust_trans_huge
test_mprotect_sem_graph.txt,mprotect,down_write
test_mprotect_sem_graph.txt,mprotect,_cond_resched
test_mprotect_sem_graph.txt,mprotect,rcu_all_qs
test_mprotect_sem_graph.txt,mprotect,anon_vma_interval_tree_remove
test_mprotect_sem_graph.txt,mprotect,__vma_link_list
test_mprotect_sem_graph.txt,mprotect,__vma_link_rb
test_mprotect_sem_graph.txt,mprotect,anon_vma_interval_tree_insert
test_mprotect_sem_graph.txt,mprotect,up_write
test_mprotect_sem_graph.txt,mprotect,vma_wants_writenotify
test_mprotect_sem_graph.txt,mprotect,vma_set_page_prot
test_mprotect_sem_graph.txt,mprotect,vm_pgprot_modify
test_mprotect_sem_graph.txt,mprotect,vma_wants_writenotify
test_mprotect_sem_graph.txt,mprotect,change_protection
test_mprotect_sem_graph.txt,mprotect,change_protection_range
test_mprotect_sem_graph.txt,mprotect,_cond_resched
test_mprotect_sem_graph.txt,mprotect,rcu_all_qs
test_mprotect_sem_graph.txt,mprotect,_raw_spin_lock
test_mprotect_sem_graph.txt,mprotect,flush_tlb_batched_pending
test_mprotect_sem_graph.txt,mprotect,smp_irq_work_interrupt
test_mprotect_sem_graph.txt,mprotect,irq_enter
test_mprotect_sem_graph.txt,mprotect,rcu_irq_enter
test_mprotect_sem_graph.txt,mprotect,__wake_up
test_mprotect_sem_graph.txt,mprotect,__wake_up_common_lock
test_mprotect_sem_graph.txt,mprotect,_raw_spin_lock_irqsave
test_mprotect_sem_graph.txt,mprotect,__wake_up_common
test_mprotect_sem_graph.txt,mprotect,pollwake
test_mprotect_sem_graph.txt,mprotect,default_wake_function
test_mprotect_sem_graph.txt,mprotect,try_to_wake_up
test_mprotect_sem_graph.txt,mprotect,_raw_spin_lock_irqsave
test_mprotect_sem_graph.txt,mprotect,select_task_rq_fair
test_mprotect_sem_graph.txt,mprotect,select_idle_sibling
