파일명,시스템콜,해당함수
mremap_flag_mremap_fixed_graph.txt,mmap,ksys_mmap_pgoff
mremap_flag_mremap_fixed_graph.txt,mmap,vm_mmap_pgoff
mremap_flag_mremap_fixed_graph.txt,mmap,security_mmap_file
mremap_flag_mremap_fixed_graph.txt,mmap,cap_mmap_file
mremap_flag_mremap_fixed_graph.txt,mmap,apparmor_mmap_file
mremap_flag_mremap_fixed_graph.txt,mmap,ima_file_mmap
mremap_flag_mremap_fixed_graph.txt,mmap,down_write_killable
mremap_flag_mremap_fixed_graph.txt,mmap,_cond_resched
mremap_flag_mremap_fixed_graph.txt,mmap,rcu_all_qs
mremap_flag_mremap_fixed_graph.txt,mmap,do_mmap
mremap_flag_mremap_fixed_graph.txt,mmap,get_unmapped_area
mremap_flag_mremap_fixed_graph.txt,mmap,arch_get_unmapped_area_topdown
mremap_flag_mremap_fixed_graph.txt,mmap,mpx_unmapped_area_check
mremap_flag_mremap_fixed_graph.txt,mmap,smp_irq_work_interrupt
mremap_flag_mremap_fixed_graph.txt,mmap,irq_enter
mremap_flag_mremap_fixed_graph.txt,mmap,rcu_irq_enter
mremap_flag_mremap_fixed_graph.txt,mmap,__wake_up
mremap_flag_mremap_fixed_graph.txt,mmap,__wake_up_common_lock
mremap_flag_mremap_fixed_graph.txt,mmap,_raw_spin_lock_irqsave
mremap_flag_mremap_fixed_graph.txt,mmap,__wake_up_common
mremap_flag_mremap_fixed_graph.txt,mmap,pollwake
mremap_flag_mremap_fixed_graph.txt,mmap,default_wake_function
mremap_flag_mremap_fixed_graph.txt,mmap,try_to_wake_up
mremap_flag_mremap_fixed_graph.txt,mmap,_raw_spin_lock_irqsave
mremap_flag_mremap_fixed_graph.txt,mmap,select_task_rq_fair
mremap_flag_mremap_fixed_graph.txt,mmap,select_idle_sibling
mremap_flag_mremap_fixed_graph.txt,mmap,available_idle_cpu
mremap_flag_mremap_fixed_graph.txt,mmap,native_smp_send_reschedule
mremap_flag_mremap_fixed_graph.txt,mmap,x2apic_send_IPI
mremap_flag_mremap_fixed_graph.txt,mmap,_raw_spin_unlock_irqrestore
mremap_flag_mremap_fixed_graph.txt,mmap,_raw_spin_unlock_irqrestore
mremap_flag_mremap_fixed_graph.txt,mmap,irq_exit
mremap_flag_mremap_fixed_graph.txt,mmap,idle_cpu
mremap_flag_mremap_fixed_graph.txt,mmap,rcu_irq_exit
mremap_flag_mremap_fixed_graph.txt,mmap,get_mmap_base
mremap_flag_mremap_fixed_graph.txt,mmap,unmapped_area_topdown
