파일명,시스템콜,해당함수
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,ipcget
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,down_write
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,_cond_resched
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,rcu_all_qs
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,newque
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,kvmalloc_node
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,__kmalloc_node
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,kmalloc_slab
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,_cond_resched
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,rcu_all_qs
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,should_failslab
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,memcg_kmem_get_cache
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,memcg_kmem_put_cache
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,security_msg_queue_alloc
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,ktime_get_real_seconds
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,ipc_addid
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,_raw_spin_lock
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,kmem_cache_alloc
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,should_failslab
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,memcg_kmem_put_cache
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,smp_irq_work_interrupt
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,irq_enter
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,rcu_irq_enter
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,__wake_up
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,__wake_up_common_lock
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,_raw_spin_lock_irqsave
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,__wake_up_common
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,_raw_spin_unlock_irqrestore
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,irq_exit
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,idle_cpu
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,rcu_irq_exit
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgget,up_write
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgsnd,do_msgsnd
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgsnd,load_msg
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgsnd,__kmalloc
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgsnd,kmalloc_slab
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgsnd,_cond_resched
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgsnd,rcu_all_qs
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgsnd,should_failslab
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgsnd,memcg_kmem_get_cache
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgsnd,memcg_kmem_put_cache
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgsnd,__check_object_size
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgsnd,check_stack_object
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgsnd,__virt_addr_valid
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgsnd,__check_heap_object
msg_ipc_creat_ipc_excl_ipc_nowait_ipc_nowait_type_1_msg_stat_graph.txt,msgsnd,security_msg_msg_alloc
