파일명,시스템콜,해당함수
nanosleep_0_100000000_graph.txt,newfstat,smp_irq_work_interrupt
nanosleep_0_100000000_graph.txt,newfstat,irq_enter
nanosleep_0_100000000_graph.txt,newfstat,rcu_irq_enter
nanosleep_0_100000000_graph.txt,newfstat,__wake_up
nanosleep_0_100000000_graph.txt,newfstat,__wake_up_common_lock
nanosleep_0_100000000_graph.txt,newfstat,_raw_spin_lock_irqsave
nanosleep_0_100000000_graph.txt,newfstat,__wake_up_common
nanosleep_0_100000000_graph.txt,newfstat,_raw_spin_unlock_irqrestore
nanosleep_0_100000000_graph.txt,newfstat,irq_exit
nanosleep_0_100000000_graph.txt,newfstat,idle_cpu
nanosleep_0_100000000_graph.txt,newfstat,rcu_irq_exit
nanosleep_0_100000000_graph.txt,newfstat,vfs_statx_fd
nanosleep_0_100000000_graph.txt,newfstat,__fdget_raw
nanosleep_0_100000000_graph.txt,newfstat,__fget_light
nanosleep_0_100000000_graph.txt,newfstat,vfs_getattr
nanosleep_0_100000000_graph.txt,newfstat,security_inode_getattr
nanosleep_0_100000000_graph.txt,newfstat,apparmor_inode_getattr
nanosleep_0_100000000_graph.txt,newfstat,common_perm_cond
nanosleep_0_100000000_graph.txt,newfstat,common_perm
nanosleep_0_100000000_graph.txt,newfstat,vfs_getattr_nosec
nanosleep_0_100000000_graph.txt,newfstat,generic_fillattr
nanosleep_0_100000000_graph.txt,newfstat,cp_new_stat
nanosleep_0_100000000_graph.txt,newfstat,from_kuid_munged
nanosleep_0_100000000_graph.txt,newfstat,map_id_up
nanosleep_0_100000000_graph.txt,newfstat,from_kgid_munged
nanosleep_0_100000000_graph.txt,newfstat,map_id_up
nanosleep_0_100000000_graph.txt,nanosleep,get_timespec64
nanosleep_0_100000000_graph.txt,nanosleep,hrtimer_nanosleep
nanosleep_0_100000000_graph.txt,nanosleep,hrtimer_init_sleeper
nanosleep_0_100000000_graph.txt,nanosleep,__hrtimer_init
nanosleep_0_100000000_graph.txt,nanosleep,do_nanosleep
nanosleep_0_100000000_graph.txt,nanosleep,hrtimer_start_range_ns
nanosleep_0_100000000_graph.txt,nanosleep,lock_hrtimer_base
nanosleep_0_100000000_graph.txt,nanosleep,_raw_spin_lock_irqsave
nanosleep_0_100000000_graph.txt,nanosleep,ktime_get
nanosleep_0_100000000_graph.txt,nanosleep,get_nohz_timer_target
nanosleep_0_100000000_graph.txt,nanosleep,enqueue_hrtimer
nanosleep_0_100000000_graph.txt,nanosleep,_raw_spin_unlock_irqrestore
nanosleep_0_100000000_graph.txt,nanosleep,schedule
nanosleep_0_100000000_graph.txt,nanosleep,rcu_note_context_switch
nanosleep_0_100000000_graph.txt,nanosleep,rcu_qs
nanosleep_0_100000000_graph.txt,nanosleep,_raw_spin_lock
nanosleep_0_100000000_graph.txt,nanosleep,update_rq_clock
nanosleep_0_100000000_graph.txt,nanosleep,deactivate_task
nanosleep_0_100000000_graph.txt,nanosleep,psi_task_change
nanosleep_0_100000000_graph.txt,nanosleep,record_times
nanosleep_0_100000000_graph.txt,nanosleep,dequeue_task_fair
nanosleep_0_100000000_graph.txt,nanosleep,dequeue_entity
nanosleep_0_100000000_graph.txt,nanosleep,update_curr
nanosleep_0_100000000_graph.txt,nanosleep,update_min_vruntime
nanosleep_0_100000000_graph.txt,nanosleep,cpuacct_charge
nanosleep_0_100000000_graph.txt,nanosleep,__cgroup_account_cputime
nanosleep_0_100000000_graph.txt,nanosleep,cgroup_rstat_updated
nanosleep_0_100000000_graph.txt,nanosleep,__calc_delta
nanosleep_0_100000000_graph.txt,nanosleep,__update_load_avg_se
nanosleep_0_100000000_graph.txt,nanosleep,__accumulate_pelt_segments
nanosleep_0_100000000_graph.txt,nanosleep,__update_load_avg_cfs_rq
nanosleep_0_100000000_graph.txt,nanosleep,__accumulate_pelt_segments
nanosleep_0_100000000_graph.txt,nanosleep,clear_buddies
nanosleep_0_100000000_graph.txt,nanosleep,account_entity_dequeue
nanosleep_0_100000000_graph.txt,nanosleep,update_cfs_group
nanosleep_0_100000000_graph.txt,nanosleep,reweight_entity
nanosleep_0_100000000_graph.txt,nanosleep,update_min_vruntime
nanosleep_0_100000000_graph.txt,nanosleep,hrtick_update
nanosleep_0_100000000_graph.txt,nanosleep,pick_next_task_fair
nanosleep_0_100000000_graph.txt,nanosleep,newidle_balance
