파일명,시스템콜,해당함수
unshare_flag_clone_files_graph.txt,unshare,ksys_unshare
unshare_flag_clone_files_graph.txt,unshare,smp_irq_work_interrupt
unshare_flag_clone_files_graph.txt,unshare,irq_enter
unshare_flag_clone_files_graph.txt,unshare,rcu_irq_enter
unshare_flag_clone_files_graph.txt,unshare,__wake_up
unshare_flag_clone_files_graph.txt,unshare,__wake_up_common_lock
unshare_flag_clone_files_graph.txt,unshare,_raw_spin_lock_irqsave
unshare_flag_clone_files_graph.txt,unshare,__wake_up_common
unshare_flag_clone_files_graph.txt,unshare,_raw_spin_unlock_irqrestore
unshare_flag_clone_files_graph.txt,unshare,irq_exit
unshare_flag_clone_files_graph.txt,unshare,idle_cpu
unshare_flag_clone_files_graph.txt,unshare,rcu_irq_exit
unshare_flag_clone_files_graph.txt,unshare,unshare_fd
unshare_flag_clone_files_graph.txt,unshare,unshare_userns
unshare_flag_clone_files_graph.txt,unshare,unshare_nsproxy_namespaces
unshare_flag_clone_newns_graph.txt,unshare,ksys_unshare
unshare_flag_clone_newns_graph.txt,unshare,unshare_fd
unshare_flag_clone_newns_graph.txt,unshare,unshare_userns
unshare_flag_clone_newns_graph.txt,unshare,unshare_nsproxy_namespaces
unshare_flag_clone_newns_graph.txt,unshare,ns_capable
unshare_flag_clone_newns_graph.txt,unshare,ns_capable_common
unshare_flag_clone_newns_graph.txt,unshare,security_capable
unshare_flag_clone_newns_graph.txt,unshare,cap_capable
unshare_flag_clone_newns_graph.txt,unshare,apparmor_capable
unshare_flag_clone_newns_graph.txt,unshare,smp_irq_work_interrupt
unshare_flag_clone_newns_graph.txt,unshare,irq_enter
unshare_flag_clone_newns_graph.txt,unshare,rcu_irq_enter
unshare_flag_clone_newns_graph.txt,unshare,__wake_up
unshare_flag_clone_newns_graph.txt,unshare,__wake_up_common_lock
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_lock_irqsave
unshare_flag_clone_newns_graph.txt,unshare,__wake_up_common
unshare_flag_clone_newns_graph.txt,unshare,pollwake
unshare_flag_clone_newns_graph.txt,unshare,default_wake_function
unshare_flag_clone_newns_graph.txt,unshare,try_to_wake_up
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_lock_irqsave
unshare_flag_clone_newns_graph.txt,unshare,select_task_rq_fair
unshare_flag_clone_newns_graph.txt,unshare,select_idle_sibling
unshare_flag_clone_newns_graph.txt,unshare,available_idle_cpu
unshare_flag_clone_newns_graph.txt,unshare,native_smp_send_reschedule
unshare_flag_clone_newns_graph.txt,unshare,x2apic_send_IPI
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_unlock_irqrestore
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_unlock_irqrestore
unshare_flag_clone_newns_graph.txt,unshare,irq_exit
unshare_flag_clone_newns_graph.txt,unshare,idle_cpu
unshare_flag_clone_newns_graph.txt,unshare,rcu_irq_exit
unshare_flag_clone_newns_graph.txt,unshare,create_new_namespaces
unshare_flag_clone_newns_graph.txt,unshare,kmem_cache_alloc
unshare_flag_clone_newns_graph.txt,unshare,_cond_resched
unshare_flag_clone_newns_graph.txt,unshare,rcu_all_qs
unshare_flag_clone_newns_graph.txt,unshare,should_failslab
unshare_flag_clone_newns_graph.txt,unshare,memcg_kmem_put_cache
unshare_flag_clone_newns_graph.txt,unshare,copy_mnt_ns
unshare_flag_clone_newns_graph.txt,unshare,alloc_mnt_ns
unshare_flag_clone_newns_graph.txt,unshare,inc_ucount
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_lock_irq
unshare_flag_clone_newns_graph.txt,unshare,kmem_cache_alloc_trace
unshare_flag_clone_newns_graph.txt,unshare,_cond_resched
unshare_flag_clone_newns_graph.txt,unshare,rcu_all_qs
unshare_flag_clone_newns_graph.txt,unshare,should_failslab
unshare_flag_clone_newns_graph.txt,unshare,memcg_kmem_put_cache
unshare_flag_clone_newns_graph.txt,unshare,proc_alloc_inum
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_lock_irqsave
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_unlock_irqrestore
unshare_flag_clone_newns_graph.txt,unshare,kfree
unshare_flag_clone_newns_graph.txt,unshare,__init_waitqueue_head
unshare_flag_clone_newns_graph.txt,unshare,down_write
unshare_flag_clone_newns_graph.txt,unshare,_cond_resched
unshare_flag_clone_newns_graph.txt,unshare,rcu_all_qs
unshare_flag_clone_newns_graph.txt,unshare,copy_tree
unshare_flag_clone_newns_graph.txt,unshare,clone_mnt
unshare_flag_clone_newns_graph.txt,unshare,alloc_vfsmnt
unshare_flag_clone_newns_graph.txt,unshare,kmem_cache_alloc
unshare_flag_clone_newns_graph.txt,unshare,_cond_resched
unshare_flag_clone_newns_graph.txt,unshare,rcu_all_qs
unshare_flag_clone_newns_graph.txt,unshare,smp_irq_work_interrupt
unshare_flag_clone_newns_graph.txt,unshare,irq_enter
unshare_flag_clone_newns_graph.txt,unshare,rcu_irq_enter
unshare_flag_clone_newns_graph.txt,unshare,__wake_up
unshare_flag_clone_newns_graph.txt,unshare,__wake_up_common_lock
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_lock_irqsave
unshare_flag_clone_newns_graph.txt,unshare,__wake_up_common
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_unlock_irqrestore
unshare_flag_clone_newns_graph.txt,unshare,irq_exit
unshare_flag_clone_newns_graph.txt,unshare,idle_cpu
unshare_flag_clone_newns_graph.txt,unshare,rcu_irq_exit
unshare_flag_clone_newns_graph.txt,unshare,smp_irq_work_interrupt
unshare_flag_clone_newns_graph.txt,unshare,irq_enter
unshare_flag_clone_newns_graph.txt,unshare,rcu_irq_enter
unshare_flag_clone_newns_graph.txt,unshare,__wake_up
unshare_flag_clone_newns_graph.txt,unshare,__wake_up_common_lock
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_lock_irqsave
unshare_flag_clone_newns_graph.txt,unshare,__wake_up_common
unshare_flag_clone_newns_graph.txt,unshare,pollwake
unshare_flag_clone_newns_graph.txt,unshare,default_wake_function
unshare_flag_clone_newns_graph.txt,unshare,try_to_wake_up
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_lock_irqsave
unshare_flag_clone_newns_graph.txt,unshare,select_task_rq_fair
unshare_flag_clone_newns_graph.txt,unshare,select_idle_sibling
unshare_flag_clone_newns_graph.txt,unshare,native_smp_send_reschedule
unshare_flag_clone_newns_graph.txt,unshare,x2apic_send_IPI
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_unlock_irqrestore
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_unlock_irqrestore
unshare_flag_clone_newns_graph.txt,unshare,irq_exit
unshare_flag_clone_newns_graph.txt,unshare,idle_cpu
unshare_flag_clone_newns_graph.txt,unshare,rcu_irq_exit
unshare_flag_clone_newns_graph.txt,unshare,should_failslab
unshare_flag_clone_newns_graph.txt,unshare,memcg_kmem_put_cache
unshare_flag_clone_newns_graph.txt,unshare,smp_irq_work_interrupt
unshare_flag_clone_newns_graph.txt,unshare,irq_enter
unshare_flag_clone_newns_graph.txt,unshare,rcu_irq_enter
unshare_flag_clone_newns_graph.txt,unshare,__wake_up
unshare_flag_clone_newns_graph.txt,unshare,__wake_up_common_lock
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_lock_irqsave
unshare_flag_clone_newns_graph.txt,unshare,__wake_up_common
unshare_flag_clone_newns_graph.txt,unshare,pollwake
unshare_flag_clone_newns_graph.txt,unshare,default_wake_function
unshare_flag_clone_newns_graph.txt,unshare,try_to_wake_up
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_lock_irqsave
unshare_flag_clone_newns_graph.txt,unshare,select_task_rq_fair
unshare_flag_clone_newns_graph.txt,unshare,select_idle_sibling
unshare_flag_clone_newns_graph.txt,unshare,native_smp_send_reschedule
unshare_flag_clone_newns_graph.txt,unshare,x2apic_send_IPI
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_unlock_irqrestore
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_unlock_irqrestore
unshare_flag_clone_newns_graph.txt,unshare,irq_exit
unshare_flag_clone_newns_graph.txt,unshare,idle_cpu
unshare_flag_clone_newns_graph.txt,unshare,rcu_irq_exit
unshare_flag_clone_newns_graph.txt,unshare,smp_irq_work_interrupt
unshare_flag_clone_newns_graph.txt,unshare,irq_enter
unshare_flag_clone_newns_graph.txt,unshare,rcu_irq_enter
unshare_flag_clone_newns_graph.txt,unshare,__wake_up
unshare_flag_clone_newns_graph.txt,unshare,__wake_up_common_lock
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_lock_irqsave
unshare_flag_clone_newns_graph.txt,unshare,__wake_up_common
unshare_flag_clone_newns_graph.txt,unshare,pollwake
unshare_flag_clone_newns_graph.txt,unshare,default_wake_function
unshare_flag_clone_newns_graph.txt,unshare,try_to_wake_up
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_lock_irqsave
unshare_flag_clone_newns_graph.txt,unshare,select_task_rq_fair
unshare_flag_clone_newns_graph.txt,unshare,select_idle_sibling
unshare_flag_clone_newns_graph.txt,unshare,available_idle_cpu
unshare_flag_clone_newns_graph.txt,unshare,native_smp_send_reschedule
unshare_flag_clone_newns_graph.txt,unshare,x2apic_send_IPI
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_unlock_irqrestore
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_unlock_irqrestore
unshare_flag_clone_newns_graph.txt,unshare,irq_exit
unshare_flag_clone_newns_graph.txt,unshare,idle_cpu
unshare_flag_clone_newns_graph.txt,unshare,rcu_irq_exit
unshare_flag_clone_newns_graph.txt,unshare,__slab_alloc
unshare_flag_clone_newns_graph.txt,unshare,___slab_alloc
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_lock_irqsave
unshare_flag_clone_newns_graph.txt,unshare,_raw_spin_unlock_irqrestore
unshare_flag_clone_newns_graph.txt,unshare,smp_irq_work_interrupt
