파일명,시스템콜,해당함수
ioctl_perf_event_disable_graph.txt,ioctl,ksys_ioctl
ioctl_perf_event_disable_graph.txt,ioctl,__fdget
ioctl_perf_event_disable_graph.txt,ioctl,__fget_light
ioctl_perf_event_disable_graph.txt,ioctl,security_file_ioctl
ioctl_perf_event_disable_graph.txt,ioctl,do_vfs_ioctl
ioctl_perf_event_disable_graph.txt,ioctl,mutex_lock
ioctl_perf_event_disable_graph.txt,ioctl,_cond_resched
ioctl_perf_event_disable_graph.txt,ioctl,rcu_all_qs
ioctl_perf_event_disable_graph.txt,ioctl,_raw_spin_lock_irq
ioctl_perf_event_disable_graph.txt,ioctl,smp_call_function_single
ioctl_perf_event_disable_graph.txt,ioctl,generic_exec_single
ioctl_perf_event_disable_graph.txt,ioctl,_raw_spin_lock
ioctl_perf_event_disable_graph.txt,ioctl,mutex_unlock
ioctl_perf_event_id_graph.txt,ioctl,ksys_ioctl
ioctl_perf_event_id_graph.txt,ioctl,__fdget
ioctl_perf_event_id_graph.txt,ioctl,__fget_light
ioctl_perf_event_id_graph.txt,ioctl,security_file_ioctl
ioctl_perf_event_id_graph.txt,ioctl,smp_irq_work_interrupt
ioctl_perf_event_id_graph.txt,ioctl,irq_enter
ioctl_perf_event_id_graph.txt,ioctl,rcu_irq_enter
ioctl_perf_event_id_graph.txt,ioctl,__wake_up
ioctl_perf_event_id_graph.txt,ioctl,__wake_up_common_lock
ioctl_perf_event_id_graph.txt,ioctl,_raw_spin_lock_irqsave
ioctl_perf_event_id_graph.txt,ioctl,__wake_up_common
ioctl_perf_event_id_graph.txt,ioctl,pollwake
ioctl_perf_event_id_graph.txt,ioctl,default_wake_function
ioctl_perf_event_id_graph.txt,ioctl,try_to_wake_up
ioctl_perf_event_id_graph.txt,ioctl,_raw_spin_lock_irqsave
ioctl_perf_event_id_graph.txt,ioctl,select_task_rq_fair
ioctl_perf_event_id_graph.txt,ioctl,select_idle_sibling
ioctl_perf_event_id_graph.txt,ioctl,available_idle_cpu
ioctl_perf_event_id_graph.txt,ioctl,native_smp_send_reschedule
ioctl_perf_event_id_graph.txt,ioctl,x2apic_send_IPI
ioctl_perf_event_id_graph.txt,ioctl,_raw_spin_unlock_irqrestore
ioctl_perf_event_id_graph.txt,ioctl,_raw_spin_unlock_irqrestore
ioctl_perf_event_id_graph.txt,ioctl,irq_exit
ioctl_perf_event_id_graph.txt,ioctl,idle_cpu
ioctl_perf_event_id_graph.txt,ioctl,rcu_irq_exit
ioctl_perf_event_id_graph.txt,ioctl,do_vfs_ioctl
ioctl_perf_event_id_graph.txt,ioctl,mutex_lock
ioctl_perf_event_id_graph.txt,ioctl,_cond_resched
ioctl_perf_event_id_graph.txt,ioctl,rcu_all_qs
ioctl_perf_event_id_graph.txt,ioctl,mutex_unlock
ioctl_perf_event_period_graph.txt,ioctl,ksys_ioctl
ioctl_perf_event_period_graph.txt,ioctl,__fdget
ioctl_perf_event_period_graph.txt,ioctl,__fget_light
ioctl_perf_event_period_graph.txt,ioctl,security_file_ioctl
ioctl_perf_event_period_graph.txt,ioctl,do_vfs_ioctl
ioctl_perf_event_period_graph.txt,ioctl,mutex_lock
ioctl_perf_event_period_graph.txt,ioctl,_cond_resched
ioctl_perf_event_period_graph.txt,ioctl,rcu_all_qs
ioctl_perf_event_period_graph.txt,ioctl,mutex_unlock
ioctl_perf_event_enable_graph.txt,ioctl,ksys_ioctl
ioctl_perf_event_enable_graph.txt,ioctl,__fdget
ioctl_perf_event_enable_graph.txt,ioctl,__fget_light
ioctl_perf_event_enable_graph.txt,ioctl,security_file_ioctl
ioctl_perf_event_enable_graph.txt,ioctl,do_vfs_ioctl
ioctl_perf_event_enable_graph.txt,ioctl,mutex_lock
ioctl_perf_event_enable_graph.txt,ioctl,_cond_resched
ioctl_perf_event_enable_graph.txt,ioctl,rcu_all_qs
ioctl_perf_event_enable_graph.txt,ioctl,smp_irq_work_interrupt
ioctl_perf_event_enable_graph.txt,ioctl,irq_enter
ioctl_perf_event_enable_graph.txt,ioctl,rcu_irq_enter
ioctl_perf_event_enable_graph.txt,ioctl,__wake_up
ioctl_perf_event_enable_graph.txt,ioctl,__wake_up_common_lock
ioctl_perf_event_enable_graph.txt,ioctl,_raw_spin_lock_irqsave
ioctl_perf_event_enable_graph.txt,ioctl,__wake_up_common
ioctl_perf_event_enable_graph.txt,ioctl,_raw_spin_unlock_irqrestore
ioctl_perf_event_enable_graph.txt,ioctl,irq_exit
ioctl_perf_event_enable_graph.txt,ioctl,idle_cpu
ioctl_perf_event_enable_graph.txt,ioctl,rcu_irq_exit
ioctl_perf_event_enable_graph.txt,ioctl,_raw_spin_lock_irq
