파일명,시스템콜,해당함수
personality_11_PER_IRIX64_graph.txt,newfstat,vfs_statx_fd
personality_11_PER_IRIX64_graph.txt,newfstat,__fdget_raw
personality_11_PER_IRIX64_graph.txt,newfstat,__fget_light
personality_11_PER_IRIX64_graph.txt,newfstat,vfs_getattr
personality_11_PER_IRIX64_graph.txt,newfstat,security_inode_getattr
personality_11_PER_IRIX64_graph.txt,newfstat,apparmor_inode_getattr
personality_11_PER_IRIX64_graph.txt,newfstat,common_perm_cond
personality_11_PER_IRIX64_graph.txt,newfstat,common_perm
personality_11_PER_IRIX64_graph.txt,newfstat,vfs_getattr_nosec
personality_11_PER_IRIX64_graph.txt,newfstat,generic_fillattr
personality_11_PER_IRIX64_graph.txt,newfstat,smp_irq_work_interrupt
personality_11_PER_IRIX64_graph.txt,newfstat,irq_enter
personality_11_PER_IRIX64_graph.txt,newfstat,rcu_irq_enter
personality_11_PER_IRIX64_graph.txt,newfstat,__wake_up
personality_11_PER_IRIX64_graph.txt,newfstat,__wake_up_common_lock
personality_11_PER_IRIX64_graph.txt,newfstat,_raw_spin_lock_irqsave
personality_11_PER_IRIX64_graph.txt,newfstat,__wake_up_common
personality_11_PER_IRIX64_graph.txt,newfstat,pollwake
personality_11_PER_IRIX64_graph.txt,newfstat,default_wake_function
personality_11_PER_IRIX64_graph.txt,newfstat,try_to_wake_up
personality_11_PER_IRIX64_graph.txt,newfstat,_raw_spin_lock_irqsave
personality_11_PER_IRIX64_graph.txt,newfstat,select_task_rq_fair
personality_11_PER_IRIX64_graph.txt,newfstat,select_idle_sibling
personality_11_PER_IRIX64_graph.txt,newfstat,available_idle_cpu
personality_11_PER_IRIX64_graph.txt,newfstat,native_smp_send_reschedule
personality_11_PER_IRIX64_graph.txt,newfstat,x2apic_send_IPI
personality_11_PER_IRIX64_graph.txt,newfstat,_raw_spin_unlock_irqrestore
personality_11_PER_IRIX64_graph.txt,newfstat,_raw_spin_unlock_irqrestore
personality_11_PER_IRIX64_graph.txt,newfstat,irq_exit
personality_11_PER_IRIX64_graph.txt,newfstat,idle_cpu
personality_11_PER_IRIX64_graph.txt,newfstat,rcu_irq_exit
personality_11_PER_IRIX64_graph.txt,newfstat,cp_new_stat
personality_11_PER_IRIX64_graph.txt,newfstat,from_kuid_munged
personality_11_PER_IRIX64_graph.txt,newfstat,map_id_up
personality_11_PER_IRIX64_graph.txt,newfstat,from_kgid_munged
personality_11_PER_IRIX64_graph.txt,newfstat,map_id_up
personality_0_PER_LINUX_graph.txt,newfstat,vfs_statx_fd
personality_0_PER_LINUX_graph.txt,newfstat,__fdget_raw
personality_0_PER_LINUX_graph.txt,newfstat,__fget_light
personality_0_PER_LINUX_graph.txt,newfstat,smp_irq_work_interrupt
personality_0_PER_LINUX_graph.txt,newfstat,irq_enter
personality_0_PER_LINUX_graph.txt,newfstat,rcu_irq_enter
personality_0_PER_LINUX_graph.txt,newfstat,__wake_up
personality_0_PER_LINUX_graph.txt,newfstat,__wake_up_common_lock
personality_0_PER_LINUX_graph.txt,newfstat,_raw_spin_lock_irqsave
personality_0_PER_LINUX_graph.txt,newfstat,__wake_up_common
personality_0_PER_LINUX_graph.txt,newfstat,_raw_spin_unlock_irqrestore
personality_0_PER_LINUX_graph.txt,newfstat,irq_exit
personality_0_PER_LINUX_graph.txt,newfstat,idle_cpu
personality_0_PER_LINUX_graph.txt,newfstat,rcu_irq_exit
personality_0_PER_LINUX_graph.txt,newfstat,vfs_getattr
personality_0_PER_LINUX_graph.txt,newfstat,security_inode_getattr
personality_0_PER_LINUX_graph.txt,newfstat,apparmor_inode_getattr
personality_0_PER_LINUX_graph.txt,newfstat,common_perm_cond
personality_0_PER_LINUX_graph.txt,newfstat,common_perm
personality_0_PER_LINUX_graph.txt,newfstat,vfs_getattr_nosec
personality_0_PER_LINUX_graph.txt,newfstat,generic_fillattr
personality_0_PER_LINUX_graph.txt,newfstat,cp_new_stat
personality_0_PER_LINUX_graph.txt,newfstat,from_kuid_munged
personality_0_PER_LINUX_graph.txt,newfstat,map_id_up
personality_0_PER_LINUX_graph.txt,newfstat,from_kgid_munged
personality_0_PER_LINUX_graph.txt,newfstat,map_id_up
personality_8_PER_LINUX32_graph.txt,newfstat,vfs_statx_fd
personality_8_PER_LINUX32_graph.txt,newfstat,__fdget_raw
personality_8_PER_LINUX32_graph.txt,newfstat,__fget_light
personality_8_PER_LINUX32_graph.txt,newfstat,vfs_getattr
personality_8_PER_LINUX32_graph.txt,newfstat,security_inode_getattr
personality_8_PER_LINUX32_graph.txt,newfstat,apparmor_inode_getattr
personality_8_PER_LINUX32_graph.txt,newfstat,common_perm_cond
personality_8_PER_LINUX32_graph.txt,newfstat,common_perm
personality_8_PER_LINUX32_graph.txt,newfstat,smp_irq_work_interrupt
personality_8_PER_LINUX32_graph.txt,newfstat,irq_enter
personality_8_PER_LINUX32_graph.txt,newfstat,rcu_irq_enter
personality_8_PER_LINUX32_graph.txt,newfstat,__wake_up
personality_8_PER_LINUX32_graph.txt,newfstat,__wake_up_common_lock
personality_8_PER_LINUX32_graph.txt,newfstat,_raw_spin_lock_irqsave
personality_8_PER_LINUX32_graph.txt,newfstat,__wake_up_common
personality_8_PER_LINUX32_graph.txt,newfstat,pollwake
personality_8_PER_LINUX32_graph.txt,newfstat,default_wake_function
personality_8_PER_LINUX32_graph.txt,newfstat,try_to_wake_up
personality_8_PER_LINUX32_graph.txt,newfstat,_raw_spin_lock_irqsave
personality_8_PER_LINUX32_graph.txt,newfstat,select_task_rq_fair
personality_8_PER_LINUX32_graph.txt,newfstat,select_idle_sibling
personality_8_PER_LINUX32_graph.txt,newfstat,available_idle_cpu
personality_8_PER_LINUX32_graph.txt,newfstat,native_smp_send_reschedule
personality_8_PER_LINUX32_graph.txt,newfstat,x2apic_send_IPI
personality_8_PER_LINUX32_graph.txt,newfstat,_raw_spin_unlock_irqrestore
personality_8_PER_LINUX32_graph.txt,newfstat,_raw_spin_unlock_irqrestore
personality_8_PER_LINUX32_graph.txt,newfstat,irq_exit
personality_8_PER_LINUX32_graph.txt,newfstat,idle_cpu
personality_8_PER_LINUX32_graph.txt,newfstat,rcu_irq_exit
personality_8_PER_LINUX32_graph.txt,newfstat,vfs_getattr_nosec
personality_8_PER_LINUX32_graph.txt,newfstat,generic_fillattr
personality_8_PER_LINUX32_graph.txt,newfstat,cp_new_stat
personality_8_PER_LINUX32_graph.txt,newfstat,from_kuid_munged
personality_8_PER_LINUX32_graph.txt,newfstat,map_id_up
personality_8_PER_LINUX32_graph.txt,newfstat,from_kgid_munged
personality_8_PER_LINUX32_graph.txt,newfstat,map_id_up
personality_15_PER_OSF4_graph.txt,newfstat,vfs_statx_fd
personality_15_PER_OSF4_graph.txt,newfstat,__fdget_raw
personality_15_PER_OSF4_graph.txt,newfstat,__fget_light
personality_15_PER_OSF4_graph.txt,newfstat,vfs_getattr
personality_15_PER_OSF4_graph.txt,newfstat,security_inode_getattr
personality_15_PER_OSF4_graph.txt,newfstat,apparmor_inode_getattr
personality_15_PER_OSF4_graph.txt,newfstat,common_perm_cond
personality_15_PER_OSF4_graph.txt,newfstat,common_perm
personality_15_PER_OSF4_graph.txt,newfstat,vfs_getattr_nosec
personality_15_PER_OSF4_graph.txt,newfstat,generic_fillattr
personality_15_PER_OSF4_graph.txt,newfstat,cp_new_stat
personality_15_PER_OSF4_graph.txt,newfstat,from_kuid_munged
personality_15_PER_OSF4_graph.txt,newfstat,map_id_up
personality_15_PER_OSF4_graph.txt,newfstat,from_kgid_munged
personality_15_PER_OSF4_graph.txt,newfstat,map_id_up
personality_21_ADDR_LIMIT_32BIT_graph.txt,newfstat,vfs_statx_fd
personality_21_ADDR_LIMIT_32BIT_graph.txt,newfstat,__fdget_raw
personality_21_ADDR_LIMIT_32BIT_graph.txt,newfstat,__fget_light
personality_21_ADDR_LIMIT_32BIT_graph.txt,newfstat,vfs_getattr
personality_21_ADDR_LIMIT_32BIT_graph.txt,newfstat,security_inode_getattr
personality_21_ADDR_LIMIT_32BIT_graph.txt,newfstat,apparmor_inode_getattr
personality_21_ADDR_LIMIT_32BIT_graph.txt,newfstat,common_perm_cond
personality_21_ADDR_LIMIT_32BIT_graph.txt,newfstat,common_perm
personality_21_ADDR_LIMIT_32BIT_graph.txt,newfstat,vfs_getattr_nosec
personality_21_ADDR_LIMIT_32BIT_graph.txt,newfstat,generic_fillattr
personality_21_ADDR_LIMIT_32BIT_graph.txt,newfstat,cp_new_stat
personality_21_ADDR_LIMIT_32BIT_graph.txt,newfstat,from_kuid_munged
personality_21_ADDR_LIMIT_32BIT_graph.txt,newfstat,map_id_up
personality_21_ADDR_LIMIT_32BIT_graph.txt,newfstat,from_kgid_munged
personality_21_ADDR_LIMIT_32BIT_graph.txt,newfstat,map_id_up
personality_7_PER_XENIX_graph.txt,newfstat,vfs_statx_fd
personality_7_PER_XENIX_graph.txt,newfstat,__fdget_raw
personality_7_PER_XENIX_graph.txt,newfstat,__fget_light
personality_7_PER_XENIX_graph.txt,newfstat,vfs_getattr
personality_7_PER_XENIX_graph.txt,newfstat,security_inode_getattr
personality_7_PER_XENIX_graph.txt,newfstat,apparmor_inode_getattr
personality_7_PER_XENIX_graph.txt,newfstat,common_perm_cond
personality_7_PER_XENIX_graph.txt,newfstat,common_perm
personality_7_PER_XENIX_graph.txt,newfstat,vfs_getattr_nosec
personality_7_PER_XENIX_graph.txt,newfstat,generic_fillattr
personality_7_PER_XENIX_graph.txt,newfstat,cp_new_stat
personality_7_PER_XENIX_graph.txt,newfstat,from_kuid_munged
personality_7_PER_XENIX_graph.txt,newfstat,map_id_up
personality_7_PER_XENIX_graph.txt,newfstat,from_kgid_munged
personality_7_PER_XENIX_graph.txt,newfstat,map_id_up
personality_25_ADDR_LIMIT_3GB_graph.txt,newfstat,vfs_statx_fd
personality_25_ADDR_LIMIT_3GB_graph.txt,newfstat,__fdget_raw
personality_25_ADDR_LIMIT_3GB_graph.txt,newfstat,__fget_light
personality_25_ADDR_LIMIT_3GB_graph.txt,newfstat,vfs_getattr
personality_25_ADDR_LIMIT_3GB_graph.txt,newfstat,security_inode_getattr
personality_25_ADDR_LIMIT_3GB_graph.txt,newfstat,apparmor_inode_getattr
personality_25_ADDR_LIMIT_3GB_graph.txt,newfstat,common_perm_cond
personality_25_ADDR_LIMIT_3GB_graph.txt,newfstat,common_perm
personality_25_ADDR_LIMIT_3GB_graph.txt,newfstat,vfs_getattr_nosec
personality_25_ADDR_LIMIT_3GB_graph.txt,newfstat,generic_fillattr
personality_25_ADDR_LIMIT_3GB_graph.txt,newfstat,cp_new_stat
personality_25_ADDR_LIMIT_3GB_graph.txt,newfstat,from_kuid_munged
personality_25_ADDR_LIMIT_3GB_graph.txt,newfstat,map_id_up
