파일명,시스템콜,해당함수
prctl_pr_set_name_test_name_graph.txt,prctl,security_task_prctl
prctl_pr_set_name_test_name_graph.txt,prctl,cap_task_prctl
prctl_pr_set_name_test_name_graph.txt,prctl,yama_task_prctl
prctl_pr_set_name_test_name_graph.txt,prctl,__check_object_size
prctl_pr_set_name_test_name_graph.txt,prctl,check_stack_object
prctl_pr_set_name_test_name_graph.txt,prctl,__set_task_comm
prctl_pr_set_name_test_name_graph.txt,prctl,_raw_spin_lock
prctl_pr_set_name_test_name_graph.txt,prctl,proc_comm_connector
prctl_pr_mpx_disable_management_graph.txt,prctl,security_task_prctl
prctl_pr_mpx_disable_management_graph.txt,prctl,cap_task_prctl
prctl_pr_mpx_disable_management_graph.txt,prctl,yama_task_prctl
prctl_pr_set_mm_pr_set_mm_start_code_0x400000_graph.txt,prctl,security_task_prctl
prctl_pr_set_mm_pr_set_mm_start_code_0x400000_graph.txt,prctl,cap_task_prctl
prctl_pr_set_mm_pr_set_mm_start_code_0x400000_graph.txt,prctl,yama_task_prctl
prctl_pr_set_mm_pr_set_mm_start_code_0x400000_graph.txt,prctl,prctl_set_mm
prctl_pr_set_pdeathsig_sigint_graph.txt,prctl,security_task_prctl
prctl_pr_set_pdeathsig_sigint_graph.txt,prctl,cap_task_prctl
prctl_pr_set_pdeathsig_sigint_graph.txt,prctl,yama_task_prctl
prctl_pr_set_tsc_pr_tsc_enable_graph.txt,prctl,security_task_prctl
prctl_pr_set_tsc_pr_tsc_enable_graph.txt,prctl,cap_task_prctl
prctl_pr_set_tsc_pr_tsc_enable_graph.txt,prctl,yama_task_prctl
prctl_pr_set_tsc_pr_tsc_enable_graph.txt,prctl,set_tsc_mode
prctl_pr_set_tsc_pr_tsc_enable_graph.txt,prctl,fpregs_assert_state_consistent
prctl_pr_task_perf_events_enable_null_graph.txt,prctl,security_task_prctl
prctl_pr_task_perf_events_enable_null_graph.txt,prctl,cap_task_prctl
prctl_pr_task_perf_events_enable_null_graph.txt,prctl,yama_task_prctl
prctl_pr_task_perf_events_enable_null_graph.txt,prctl,mutex_lock
