파일명,시스템콜,해당함수
priority_1_0_PRIO_PGRP_graph.txt,getpriority,_raw_read_lock
priority_1_0_PRIO_PGRP_graph.txt,getpriority,smp_irq_work_interrupt
priority_1_0_PRIO_PGRP_graph.txt,getpriority,irq_enter
priority_1_0_PRIO_PGRP_graph.txt,getpriority,rcu_irq_enter
priority_1_0_PRIO_PGRP_graph.txt,getpriority,__wake_up
priority_1_0_PRIO_PGRP_graph.txt,getpriority,__wake_up_common_lock
priority_1_0_PRIO_PGRP_graph.txt,getpriority,_raw_spin_lock_irqsave
priority_1_0_PRIO_PGRP_graph.txt,getpriority,__wake_up_common
priority_1_0_PRIO_PGRP_graph.txt,getpriority,pollwake
priority_1_0_PRIO_PGRP_graph.txt,getpriority,default_wake_function
priority_1_0_PRIO_PGRP_graph.txt,getpriority,try_to_wake_up
priority_1_0_PRIO_PGRP_graph.txt,getpriority,_raw_spin_lock_irqsave
priority_1_0_PRIO_PGRP_graph.txt,getpriority,select_task_rq_fair
priority_1_0_PRIO_PGRP_graph.txt,getpriority,select_idle_sibling
priority_1_0_PRIO_PGRP_graph.txt,getpriority,available_idle_cpu
priority_1_0_PRIO_PGRP_graph.txt,getpriority,native_smp_send_reschedule
priority_1_0_PRIO_PGRP_graph.txt,getpriority,x2apic_send_IPI
priority_1_0_PRIO_PGRP_graph.txt,getpriority,_raw_spin_unlock_irqrestore
priority_1_0_PRIO_PGRP_graph.txt,getpriority,_raw_spin_unlock_irqrestore
priority_1_0_PRIO_PGRP_graph.txt,getpriority,irq_exit
priority_1_0_PRIO_PGRP_graph.txt,getpriority,idle_cpu
priority_1_0_PRIO_PGRP_graph.txt,getpriority,rcu_irq_exit
priority_1_0_PRIO_PGRP_graph.txt,getpriority,find_vpid
priority_1_0_PRIO_PGRP_graph.txt,newfstat,vfs_statx_fd
priority_1_0_PRIO_PGRP_graph.txt,newfstat,__fdget_raw
priority_1_0_PRIO_PGRP_graph.txt,newfstat,__fget_light
priority_1_0_PRIO_PGRP_graph.txt,newfstat,vfs_getattr
priority_1_0_PRIO_PGRP_graph.txt,newfstat,security_inode_getattr
priority_1_0_PRIO_PGRP_graph.txt,newfstat,apparmor_inode_getattr
priority_1_0_PRIO_PGRP_graph.txt,newfstat,common_perm_cond
priority_1_0_PRIO_PGRP_graph.txt,newfstat,common_perm
priority_1_0_PRIO_PGRP_graph.txt,newfstat,vfs_getattr_nosec
priority_1_0_PRIO_PGRP_graph.txt,newfstat,generic_fillattr
priority_1_0_PRIO_PGRP_graph.txt,newfstat,cp_new_stat
priority_1_0_PRIO_PGRP_graph.txt,newfstat,from_kuid_munged
priority_1_0_PRIO_PGRP_graph.txt,newfstat,map_id_up
priority_1_0_PRIO_PGRP_graph.txt,newfstat,from_kgid_munged
priority_1_0_PRIO_PGRP_graph.txt,newfstat,map_id_up
priority_1_0_PRIO_PGRP_graph.txt,setpriority,_raw_read_lock
priority_1_0_PRIO_PGRP_graph.txt,setpriority,find_vpid
priority_1_0_PRIO_PGRP_graph.txt,setpriority,set_one_prio
priority_1_0_PRIO_PGRP_graph.txt,setpriority,can_nice
priority_1_0_PRIO_PGRP_graph.txt,setpriority,can_nice.part.77
priority_1_0_PRIO_PGRP_graph.txt,setpriority,capable
priority_1_0_PRIO_PGRP_graph.txt,setpriority,ns_capable_common
priority_1_0_PRIO_PGRP_graph.txt,setpriority,security_capable
priority_1_0_PRIO_PGRP_graph.txt,setpriority,cap_capable
priority_1_0_PRIO_PGRP_graph.txt,setpriority,smp_irq_work_interrupt
priority_1_0_PRIO_PGRP_graph.txt,setpriority,irq_enter
priority_1_0_PRIO_PGRP_graph.txt,setpriority,rcu_irq_enter
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__wake_up
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__wake_up_common_lock
priority_1_0_PRIO_PGRP_graph.txt,setpriority,_raw_spin_lock_irqsave
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__wake_up_common
priority_1_0_PRIO_PGRP_graph.txt,setpriority,pollwake
priority_1_0_PRIO_PGRP_graph.txt,setpriority,default_wake_function
priority_1_0_PRIO_PGRP_graph.txt,setpriority,try_to_wake_up
priority_1_0_PRIO_PGRP_graph.txt,setpriority,_raw_spin_lock_irqsave
priority_1_0_PRIO_PGRP_graph.txt,setpriority,select_task_rq_fair
priority_1_0_PRIO_PGRP_graph.txt,setpriority,select_idle_sibling
priority_1_0_PRIO_PGRP_graph.txt,setpriority,available_idle_cpu
priority_1_0_PRIO_PGRP_graph.txt,setpriority,native_smp_send_reschedule
priority_1_0_PRIO_PGRP_graph.txt,setpriority,x2apic_send_IPI
priority_1_0_PRIO_PGRP_graph.txt,setpriority,_raw_spin_unlock_irqrestore
priority_1_0_PRIO_PGRP_graph.txt,setpriority,_raw_spin_unlock_irqrestore
priority_1_0_PRIO_PGRP_graph.txt,setpriority,irq_exit
priority_1_0_PRIO_PGRP_graph.txt,setpriority,idle_cpu
priority_1_0_PRIO_PGRP_graph.txt,setpriority,rcu_irq_exit
priority_1_0_PRIO_PGRP_graph.txt,setpriority,apparmor_capable
priority_1_0_PRIO_PGRP_graph.txt,setpriority,smp_irq_work_interrupt
priority_1_0_PRIO_PGRP_graph.txt,setpriority,irq_enter
priority_1_0_PRIO_PGRP_graph.txt,setpriority,rcu_irq_enter
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__wake_up
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__wake_up_common_lock
priority_1_0_PRIO_PGRP_graph.txt,setpriority,_raw_spin_lock_irqsave
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__wake_up_common
priority_1_0_PRIO_PGRP_graph.txt,setpriority,_raw_spin_unlock_irqrestore
priority_1_0_PRIO_PGRP_graph.txt,setpriority,irq_exit
priority_1_0_PRIO_PGRP_graph.txt,setpriority,idle_cpu
priority_1_0_PRIO_PGRP_graph.txt,setpriority,rcu_irq_exit
priority_1_0_PRIO_PGRP_graph.txt,setpriority,smp_irq_work_interrupt
priority_1_0_PRIO_PGRP_graph.txt,setpriority,irq_enter
priority_1_0_PRIO_PGRP_graph.txt,setpriority,rcu_irq_enter
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__wake_up
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__wake_up_common_lock
priority_1_0_PRIO_PGRP_graph.txt,setpriority,_raw_spin_lock_irqsave
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__wake_up_common
priority_1_0_PRIO_PGRP_graph.txt,setpriority,pollwake
priority_1_0_PRIO_PGRP_graph.txt,setpriority,default_wake_function
priority_1_0_PRIO_PGRP_graph.txt,setpriority,try_to_wake_up
priority_1_0_PRIO_PGRP_graph.txt,setpriority,_raw_spin_lock_irqsave
priority_1_0_PRIO_PGRP_graph.txt,setpriority,select_task_rq_fair
priority_1_0_PRIO_PGRP_graph.txt,setpriority,select_idle_sibling
priority_1_0_PRIO_PGRP_graph.txt,setpriority,available_idle_cpu
priority_1_0_PRIO_PGRP_graph.txt,setpriority,native_smp_send_reschedule
priority_1_0_PRIO_PGRP_graph.txt,setpriority,x2apic_send_IPI
priority_1_0_PRIO_PGRP_graph.txt,setpriority,_raw_spin_unlock_irqrestore
priority_1_0_PRIO_PGRP_graph.txt,setpriority,_raw_spin_unlock_irqrestore
priority_1_0_PRIO_PGRP_graph.txt,setpriority,irq_exit
priority_1_0_PRIO_PGRP_graph.txt,setpriority,idle_cpu
priority_1_0_PRIO_PGRP_graph.txt,setpriority,rcu_irq_exit
priority_1_0_PRIO_PGRP_graph.txt,setpriority,smp_irq_work_interrupt
priority_1_0_PRIO_PGRP_graph.txt,setpriority,irq_enter
priority_1_0_PRIO_PGRP_graph.txt,setpriority,rcu_irq_enter
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__wake_up
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__wake_up_common_lock
priority_1_0_PRIO_PGRP_graph.txt,setpriority,_raw_spin_lock_irqsave
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__wake_up_common
priority_1_0_PRIO_PGRP_graph.txt,setpriority,_raw_spin_unlock_irqrestore
priority_1_0_PRIO_PGRP_graph.txt,setpriority,irq_exit
priority_1_0_PRIO_PGRP_graph.txt,setpriority,idle_cpu
priority_1_0_PRIO_PGRP_graph.txt,setpriority,rcu_irq_exit
priority_1_0_PRIO_PGRP_graph.txt,setpriority,security_task_setnice
priority_1_0_PRIO_PGRP_graph.txt,setpriority,cap_task_setnice
priority_1_0_PRIO_PGRP_graph.txt,setpriority,cap_safe_nice
priority_1_0_PRIO_PGRP_graph.txt,setpriority,set_user_nice
priority_1_0_PRIO_PGRP_graph.txt,setpriority,set_user_nice.part.83
priority_1_0_PRIO_PGRP_graph.txt,setpriority,task_rq_lock
priority_1_0_PRIO_PGRP_graph.txt,setpriority,_raw_spin_lock_irqsave
priority_1_0_PRIO_PGRP_graph.txt,setpriority,_raw_spin_lock
priority_1_0_PRIO_PGRP_graph.txt,setpriority,update_rq_clock
priority_1_0_PRIO_PGRP_graph.txt,setpriority,dequeue_task_fair
priority_1_0_PRIO_PGRP_graph.txt,setpriority,dequeue_entity
priority_1_0_PRIO_PGRP_graph.txt,setpriority,update_curr
priority_1_0_PRIO_PGRP_graph.txt,setpriority,update_min_vruntime
priority_1_0_PRIO_PGRP_graph.txt,setpriority,cpuacct_charge
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__cgroup_account_cputime
priority_1_0_PRIO_PGRP_graph.txt,setpriority,cgroup_rstat_updated
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__calc_delta
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__update_load_avg_se
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__accumulate_pelt_segments
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__update_load_avg_cfs_rq
priority_1_0_PRIO_PGRP_graph.txt,setpriority,__accumulate_pelt_segments
priority_1_0_PRIO_PGRP_graph.txt,setpriority,clear_buddies
priority_1_0_PRIO_PGRP_graph.txt,setpriority,account_entity_dequeue
priority_1_0_PRIO_PGRP_graph.txt,setpriority,update_cfs_group
priority_1_0_PRIO_PGRP_graph.txt,setpriority,reweight_entity
priority_1_0_PRIO_PGRP_graph.txt,setpriority,hrtick_update
priority_1_0_PRIO_PGRP_graph.txt,setpriority,put_prev_task_fair
priority_1_0_PRIO_PGRP_graph.txt,setpriority,put_prev_entity
priority_1_0_PRIO_PGRP_graph.txt,setpriority,check_cfs_rq_runtime
priority_1_0_PRIO_PGRP_graph.txt,setpriority,check_spread.isra.83.part.84
priority_1_0_PRIO_PGRP_graph.txt,setpriority,set_load_weight
priority_1_0_PRIO_PGRP_graph.txt,setpriority,reweight_task
priority_1_0_PRIO_PGRP_graph.txt,setpriority,reweight_entity
priority_1_0_PRIO_PGRP_graph.txt,setpriority,enqueue_task_fair
