파일명,시스템콜,해당함수
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,kernel_quotactl
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,getname
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,getname_flags
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,kmem_cache_alloc
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,_cond_resched
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,rcu_all_qs
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,should_failslab
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,memcg_kmem_put_cache
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,__check_object_size
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,check_stack_object
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,__virt_addr_valid
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,__check_heap_object
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,do_page_fault
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,__do_page_fault
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,down_read_trylock
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,_cond_resched
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,rcu_all_qs
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,find_vma
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,vmacache_find
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,vmacache_update
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,bad_area
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,up_read
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,smp_irq_work_interrupt
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,irq_enter
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,rcu_irq_enter
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,__wake_up
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,__wake_up_common_lock
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,_raw_spin_lock_irqsave
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,__wake_up_common
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,_raw_spin_unlock_irqrestore
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,irq_exit
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,idle_cpu
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,rcu_irq_exit
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,__bad_area_nosemaphore
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,no_context
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,fixup_exception
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,search_exception_tables
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,ex_handler_uaccess
q_getfmt_fd_q_getfmt_prj_graph.txt,quotactl,kmem_cache_free
q_sync_fd_q_sync_usr_graph.txt,quotactl,kernel_quotactl
q_sync_fd_q_sync_usr_graph.txt,quotactl,smp_irq_work_interrupt
q_sync_fd_q_sync_usr_graph.txt,quotactl,irq_enter
q_sync_fd_q_sync_usr_graph.txt,quotactl,rcu_irq_enter
q_sync_fd_q_sync_usr_graph.txt,quotactl,__wake_up
q_sync_fd_q_sync_usr_graph.txt,quotactl,__wake_up_common_lock
q_sync_fd_q_sync_usr_graph.txt,quotactl,_raw_spin_lock_irqsave
q_sync_fd_q_sync_usr_graph.txt,quotactl,__wake_up_common
q_sync_fd_q_sync_usr_graph.txt,quotactl,_raw_spin_unlock_irqrestore
q_sync_fd_q_sync_usr_graph.txt,quotactl,irq_exit
q_sync_fd_q_sync_usr_graph.txt,quotactl,idle_cpu
q_sync_fd_q_sync_usr_graph.txt,quotactl,rcu_irq_exit
q_sync_fd_q_sync_usr_graph.txt,quotactl,getname
q_sync_fd_q_sync_usr_graph.txt,quotactl,getname_flags
q_sync_fd_q_sync_usr_graph.txt,quotactl,kmem_cache_alloc
q_sync_fd_q_sync_usr_graph.txt,quotactl,_cond_resched
q_sync_fd_q_sync_usr_graph.txt,quotactl,rcu_all_qs
q_sync_fd_q_sync_usr_graph.txt,quotactl,should_failslab
q_sync_fd_q_sync_usr_graph.txt,quotactl,memcg_kmem_put_cache
q_sync_fd_q_sync_usr_graph.txt,quotactl,__check_object_size
q_sync_fd_q_sync_usr_graph.txt,quotactl,check_stack_object
q_sync_fd_q_sync_usr_graph.txt,quotactl,__virt_addr_valid
q_sync_fd_q_sync_usr_graph.txt,quotactl,__check_heap_object
q_sync_fd_q_sync_usr_graph.txt,quotactl,smp_irq_work_interrupt
q_sync_fd_q_sync_usr_graph.txt,quotactl,irq_enter
q_sync_fd_q_sync_usr_graph.txt,quotactl,rcu_irq_enter
q_sync_fd_q_sync_usr_graph.txt,quotactl,__wake_up
q_sync_fd_q_sync_usr_graph.txt,quotactl,__wake_up_common_lock
q_sync_fd_q_sync_usr_graph.txt,quotactl,_raw_spin_lock_irqsave
q_sync_fd_q_sync_usr_graph.txt,quotactl,__wake_up_common
q_sync_fd_q_sync_usr_graph.txt,quotactl,_raw_spin_unlock_irqrestore
q_sync_fd_q_sync_usr_graph.txt,quotactl,irq_exit
q_sync_fd_q_sync_usr_graph.txt,quotactl,idle_cpu
q_sync_fd_q_sync_usr_graph.txt,quotactl,rcu_irq_exit
q_sync_fd_q_sync_usr_graph.txt,quotactl,do_page_fault
q_sync_fd_q_sync_usr_graph.txt,quotactl,__do_page_fault
q_sync_fd_q_sync_usr_graph.txt,quotactl,down_read_trylock
q_sync_fd_q_sync_usr_graph.txt,quotactl,_cond_resched
q_sync_fd_q_sync_usr_graph.txt,quotactl,rcu_all_qs
q_sync_fd_q_sync_usr_graph.txt,quotactl,find_vma
q_sync_fd_q_sync_usr_graph.txt,quotactl,vmacache_find
q_sync_fd_q_sync_usr_graph.txt,quotactl,vmacache_update
q_sync_fd_q_sync_usr_graph.txt,quotactl,bad_area
q_sync_fd_q_sync_usr_graph.txt,quotactl,up_read
q_sync_fd_q_sync_usr_graph.txt,quotactl,__bad_area_nosemaphore
q_sync_fd_q_sync_usr_graph.txt,quotactl,no_context
q_sync_fd_q_sync_usr_graph.txt,quotactl,fixup_exception
q_sync_fd_q_sync_usr_graph.txt,quotactl,search_exception_tables
q_sync_fd_q_sync_usr_graph.txt,quotactl,ex_handler_uaccess
q_sync_fd_q_sync_usr_graph.txt,quotactl,kmem_cache_free
q_sync_fd_q_sync_grp_graph.txt,quotactl,kernel_quotactl
q_sync_fd_q_sync_grp_graph.txt,quotactl,getname
q_sync_fd_q_sync_grp_graph.txt,quotactl,getname_flags
q_sync_fd_q_sync_grp_graph.txt,quotactl,kmem_cache_alloc
q_sync_fd_q_sync_grp_graph.txt,quotactl,_cond_resched
q_sync_fd_q_sync_grp_graph.txt,quotactl,rcu_all_qs
q_sync_fd_q_sync_grp_graph.txt,quotactl,should_failslab
q_sync_fd_q_sync_grp_graph.txt,quotactl,memcg_kmem_put_cache
q_sync_fd_q_sync_grp_graph.txt,quotactl,__check_object_size
q_sync_fd_q_sync_grp_graph.txt,quotactl,check_stack_object
q_sync_fd_q_sync_grp_graph.txt,quotactl,__virt_addr_valid
q_sync_fd_q_sync_grp_graph.txt,quotactl,__check_heap_object
q_sync_fd_q_sync_grp_graph.txt,quotactl,do_page_fault
q_sync_fd_q_sync_grp_graph.txt,quotactl,__do_page_fault
q_sync_fd_q_sync_grp_graph.txt,quotactl,smp_irq_work_interrupt
q_sync_fd_q_sync_grp_graph.txt,quotactl,irq_enter
q_sync_fd_q_sync_grp_graph.txt,quotactl,rcu_irq_enter
q_sync_fd_q_sync_grp_graph.txt,quotactl,__wake_up
q_sync_fd_q_sync_grp_graph.txt,quotactl,__wake_up_common_lock
q_sync_fd_q_sync_grp_graph.txt,quotactl,_raw_spin_lock_irqsave
q_sync_fd_q_sync_grp_graph.txt,quotactl,__wake_up_common
q_sync_fd_q_sync_grp_graph.txt,quotactl,_raw_spin_unlock_irqrestore
q_sync_fd_q_sync_grp_graph.txt,quotactl,irq_exit
q_sync_fd_q_sync_grp_graph.txt,quotactl,idle_cpu
q_sync_fd_q_sync_grp_graph.txt,quotactl,rcu_irq_exit
q_sync_fd_q_sync_grp_graph.txt,quotactl,down_read_trylock
q_sync_fd_q_sync_grp_graph.txt,quotactl,_cond_resched
q_sync_fd_q_sync_grp_graph.txt,quotactl,rcu_all_qs
q_sync_fd_q_sync_grp_graph.txt,quotactl,find_vma
q_sync_fd_q_sync_grp_graph.txt,quotactl,vmacache_find
q_sync_fd_q_sync_grp_graph.txt,quotactl,vmacache_update
q_sync_fd_q_sync_grp_graph.txt,quotactl,bad_area
q_sync_fd_q_sync_grp_graph.txt,quotactl,up_read
