파일명,시스템콜,해당함수
test_renameat2_rename_whiteout_graph.txt,unlink,getname_flags
test_renameat2_rename_whiteout_graph.txt,unlink,kmem_cache_alloc
test_renameat2_rename_whiteout_graph.txt,unlink,_cond_resched
test_renameat2_rename_whiteout_graph.txt,unlink,rcu_all_qs
test_renameat2_rename_whiteout_graph.txt,unlink,should_failslab
test_renameat2_rename_whiteout_graph.txt,unlink,memcg_kmem_put_cache
test_renameat2_rename_whiteout_graph.txt,unlink,__check_object_size
test_renameat2_rename_whiteout_graph.txt,unlink,check_stack_object
test_renameat2_rename_whiteout_graph.txt,unlink,__virt_addr_valid
test_renameat2_rename_whiteout_graph.txt,unlink,__check_heap_object
test_renameat2_rename_whiteout_graph.txt,unlink,smp_irq_work_interrupt
test_renameat2_rename_whiteout_graph.txt,unlink,irq_enter
test_renameat2_rename_whiteout_graph.txt,unlink,rcu_irq_enter
test_renameat2_rename_whiteout_graph.txt,unlink,__wake_up
test_renameat2_rename_whiteout_graph.txt,unlink,__wake_up_common_lock
test_renameat2_rename_whiteout_graph.txt,unlink,_raw_spin_lock_irqsave
test_renameat2_rename_whiteout_graph.txt,unlink,__wake_up_common
test_renameat2_rename_whiteout_graph.txt,unlink,_raw_spin_unlock_irqrestore
test_renameat2_rename_whiteout_graph.txt,unlink,irq_exit
test_renameat2_rename_whiteout_graph.txt,unlink,idle_cpu
test_renameat2_rename_whiteout_graph.txt,unlink,rcu_irq_exit
test_renameat2_rename_whiteout_graph.txt,unlink,do_unlinkat
test_renameat2_rename_whiteout_graph.txt,unlink,filename_parentat
test_renameat2_rename_whiteout_graph.txt,unlink,path_parentat
test_renameat2_rename_whiteout_graph.txt,unlink,path_init
test_renameat2_rename_whiteout_graph.txt,unlink,set_root
test_renameat2_rename_whiteout_graph.txt,unlink,nd_jump_root
test_renameat2_rename_whiteout_graph.txt,unlink,link_path_walk.part.33
test_renameat2_rename_whiteout_graph.txt,unlink,inode_permission
test_renameat2_rename_whiteout_graph.txt,unlink,generic_permission
test_renameat2_rename_whiteout_graph.txt,unlink,security_inode_permission
test_renameat2_rename_whiteout_graph.txt,unlink,walk_component
test_renameat2_rename_whiteout_graph.txt,unlink,lookup_fast
test_renameat2_rename_whiteout_graph.txt,unlink,__d_lookup_rcu
test_renameat2_rename_whiteout_graph.txt,unlink,__follow_mount_rcu.isra.28
test_renameat2_rename_whiteout_graph.txt,unlink,complete_walk
test_renameat2_rename_whiteout_graph.txt,unlink,unlazy_walk
test_renameat2_rename_whiteout_graph.txt,unlink,legitimize_links
test_renameat2_rename_whiteout_graph.txt,unlink,legitimize_path.isra.30
test_renameat2_rename_whiteout_graph.txt,unlink,__legitimize_mnt
test_renameat2_rename_whiteout_graph.txt,unlink,legitimize_root
test_renameat2_rename_whiteout_graph.txt,unlink,terminate_walk
test_renameat2_rename_whiteout_graph.txt,unlink,dput
test_renameat2_rename_whiteout_graph.txt,unlink,mntput
test_renameat2_rename_whiteout_graph.txt,unlink,restore_nameidata
