파일명,시스템콜,해당함수
prlimit64_15_RLIMIT_STACK_graph.txt,prlimit64,do_prlimit
prlimit64_15_RLIMIT_STACK_graph.txt,prlimit64,_raw_read_lock
prlimit64_15_RLIMIT_STACK_graph.txt,prlimit64,_raw_spin_lock
prlimit64_15_RLIMIT_STACK_graph.txt,prlimit64,security_task_setrlimit
prlimit64_15_RLIMIT_STACK_graph.txt,prlimit64,apparmor_task_setrlimit
prlimit64_15_RLIMIT_STACK_graph.txt,newfstat,vfs_statx_fd
prlimit64_15_RLIMIT_STACK_graph.txt,newfstat,__fdget_raw
prlimit64_15_RLIMIT_STACK_graph.txt,newfstat,__fget_light
prlimit64_15_RLIMIT_STACK_graph.txt,newfstat,vfs_getattr
prlimit64_15_RLIMIT_STACK_graph.txt,newfstat,security_inode_getattr
prlimit64_15_RLIMIT_STACK_graph.txt,newfstat,apparmor_inode_getattr
prlimit64_15_RLIMIT_STACK_graph.txt,newfstat,common_perm_cond
prlimit64_15_RLIMIT_STACK_graph.txt,newfstat,common_perm
prlimit64_15_RLIMIT_STACK_graph.txt,newfstat,vfs_getattr_nosec
prlimit64_15_RLIMIT_STACK_graph.txt,newfstat,generic_fillattr
prlimit64_15_RLIMIT_STACK_graph.txt,newfstat,cp_new_stat
prlimit64_15_RLIMIT_STACK_graph.txt,newfstat,from_kuid_munged
prlimit64_15_RLIMIT_STACK_graph.txt,newfstat,map_id_up
prlimit64_15_RLIMIT_STACK_graph.txt,newfstat,from_kgid_munged
prlimit64_15_RLIMIT_STACK_graph.txt,newfstat,map_id_up
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,prlimit64,do_prlimit
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,prlimit64,_raw_read_lock
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,prlimit64,_raw_spin_lock
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,prlimit64,security_task_setrlimit
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,prlimit64,apparmor_task_setrlimit
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,newfstat,vfs_statx_fd
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,newfstat,__fdget_raw
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,newfstat,__fget_light
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,newfstat,vfs_getattr
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,newfstat,security_inode_getattr
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,newfstat,apparmor_inode_getattr
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,newfstat,common_perm_cond
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,newfstat,common_perm
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,newfstat,vfs_getattr_nosec
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,newfstat,generic_fillattr
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,newfstat,cp_new_stat
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,newfstat,from_kuid_munged
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,newfstat,map_id_up
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,newfstat,from_kgid_munged
prlimit64_7_RLIMIT_MSGQUEUE_graph.txt,newfstat,map_id_up
rlimit_8_RLIMIT_NICE_graph.txt,getrlimit,do_prlimit
rlimit_8_RLIMIT_NICE_graph.txt,getrlimit,_raw_read_lock
rlimit_8_RLIMIT_NICE_graph.txt,getrlimit,_raw_spin_lock
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,vfs_statx_fd
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,__fdget_raw
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,__fget_light
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,smp_irq_work_interrupt
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,irq_enter
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,rcu_irq_enter
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,__wake_up
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,__wake_up_common_lock
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,_raw_spin_lock_irqsave
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,__wake_up_common
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,pollwake
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,default_wake_function
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,try_to_wake_up
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,_raw_spin_lock_irqsave
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,select_task_rq_fair
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,select_idle_sibling
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,available_idle_cpu
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,native_smp_send_reschedule
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,x2apic_send_IPI
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,_raw_spin_unlock_irqrestore
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,_raw_spin_unlock_irqrestore
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,irq_exit
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,idle_cpu
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,rcu_irq_exit
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,vfs_getattr
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,security_inode_getattr
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,apparmor_inode_getattr
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,common_perm_cond
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,common_perm
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,vfs_getattr_nosec
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,generic_fillattr
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,cp_new_stat
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,from_kuid_munged
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,map_id_up
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,from_kgid_munged
rlimit_8_RLIMIT_NICE_graph.txt,newfstat,map_id_up
rlimit_15_RLIMIT_STACK_graph.txt,getrlimit,do_prlimit
rlimit_15_RLIMIT_STACK_graph.txt,getrlimit,_raw_read_lock
rlimit_15_RLIMIT_STACK_graph.txt,getrlimit,_raw_spin_lock
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,vfs_statx_fd
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,__fdget_raw
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,__fget_light
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,vfs_getattr
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,security_inode_getattr
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,smp_irq_work_interrupt
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,irq_enter
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,rcu_irq_enter
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,__wake_up
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,__wake_up_common_lock
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,_raw_spin_lock_irqsave
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,__wake_up_common
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,_raw_spin_unlock_irqrestore
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,irq_exit
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,idle_cpu
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,rcu_irq_exit
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,apparmor_inode_getattr
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,common_perm_cond
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,common_perm
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,vfs_getattr_nosec
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,generic_fillattr
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,cp_new_stat
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,from_kuid_munged
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,map_id_up
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,from_kgid_munged
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,map_id_up
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,fpregs_assert_state_consistent
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,__x64_sys_write
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,ksys_write
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,__fdget_pos
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,__fget_light
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,vfs_write
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,rw_verify_area
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,security_file_permission
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,apparmor_file_permission
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,common_file_perm
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,aa_file_perm
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,__vfs_write
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,tty_write
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,tty_paranoia_check
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,tty_ldisc_ref_wait
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,ldsem_down_read
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,_cond_resched
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,rcu_all_qs
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,smp_irq_work_interrupt
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,irq_enter
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,rcu_irq_enter
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,__wake_up
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,__wake_up_common_lock
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,_raw_spin_lock_irqsave
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,__wake_up_common
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,pollwake
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,default_wake_function
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,try_to_wake_up
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,_raw_spin_lock_irqsave
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,select_task_rq_fair
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,select_idle_sibling
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,available_idle_cpu
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,native_smp_send_reschedule
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,x2apic_send_IPI
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,_raw_spin_unlock_irqrestore
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,_raw_spin_unlock_irqrestore
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,irq_exit
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,idle_cpu
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,rcu_irq_exit
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,tty_write_lock
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,mutex_trylock
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,__check_object_size
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,check_stack_object
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,__virt_addr_valid
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,__check_heap_object
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,n_tty_write
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,down_read
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,_cond_resched
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,rcu_all_qs
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,process_echoes
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,add_wait_queue
rlimit_15_RLIMIT_STACK_graph.txt,newfstat,_raw_spin_lock_irqsave
