파일명,시스템콜,해당함수
sched_affinity_CPU0_graph.txt,sched_getaffinity,__kmalloc_node
sched_affinity_CPU0_graph.txt,sched_getaffinity,kmalloc_slab
sched_affinity_CPU0_graph.txt,sched_getaffinity,_cond_resched
sched_affinity_CPU0_graph.txt,sched_getaffinity,rcu_all_qs
sched_affinity_CPU0_graph.txt,sched_getaffinity,should_failslab
sched_affinity_CPU0_graph.txt,sched_getaffinity,memcg_kmem_put_cache
sched_affinity_CPU0_graph.txt,sched_getaffinity,sched_getaffinity
sched_affinity_CPU0_graph.txt,sched_getaffinity,find_task_by_vpid
sched_affinity_CPU0_graph.txt,sched_getaffinity,security_task_getscheduler
sched_affinity_CPU0_graph.txt,sched_getaffinity,_raw_spin_lock_irqsave
sched_affinity_CPU0_graph.txt,sched_getaffinity,_raw_spin_unlock_irqrestore
sched_affinity_CPU0_graph.txt,sched_getaffinity,__check_object_size
sched_affinity_CPU0_graph.txt,sched_getaffinity,check_stack_object
sched_affinity_CPU0_graph.txt,sched_getaffinity,__virt_addr_valid
sched_affinity_CPU0_graph.txt,sched_getaffinity,__check_heap_object
sched_affinity_CPU0_graph.txt,sched_getaffinity,smp_irq_work_interrupt
sched_affinity_CPU0_graph.txt,sched_getaffinity,irq_enter
sched_affinity_CPU0_graph.txt,sched_getaffinity,rcu_irq_enter
sched_affinity_CPU0_graph.txt,sched_getaffinity,__wake_up
sched_affinity_CPU0_graph.txt,sched_getaffinity,__wake_up_common_lock
sched_affinity_CPU0_graph.txt,sched_getaffinity,_raw_spin_lock_irqsave
sched_affinity_CPU0_graph.txt,sched_getaffinity,__wake_up_common
sched_affinity_CPU0_graph.txt,sched_getaffinity,_raw_spin_unlock_irqrestore
sched_affinity_CPU0_graph.txt,sched_getaffinity,irq_exit
sched_affinity_CPU0_graph.txt,sched_getaffinity,idle_cpu
sched_affinity_CPU0_graph.txt,sched_getaffinity,rcu_irq_exit
sched_affinity_CPU0_graph.txt,sched_getaffinity,kfree
sched_affinity_CPU0_graph.txt,newfstat,vfs_statx_fd
sched_affinity_CPU0_graph.txt,newfstat,__fdget_raw
sched_affinity_CPU0_graph.txt,newfstat,__fget_light
sched_affinity_CPU0_graph.txt,newfstat,vfs_getattr
sched_affinity_CPU0_graph.txt,newfstat,security_inode_getattr
sched_affinity_CPU0_graph.txt,newfstat,apparmor_inode_getattr
sched_affinity_CPU0_graph.txt,newfstat,common_perm_cond
sched_affinity_CPU0_graph.txt,newfstat,common_perm
sched_affinity_CPU0_graph.txt,newfstat,vfs_getattr_nosec
sched_affinity_CPU0_graph.txt,newfstat,generic_fillattr
sched_affinity_CPU0_graph.txt,newfstat,cp_new_stat
sched_affinity_CPU0_graph.txt,newfstat,from_kuid_munged
sched_affinity_CPU0_graph.txt,newfstat,map_id_up
sched_affinity_CPU0_graph.txt,newfstat,from_kgid_munged
sched_affinity_CPU0_graph.txt,newfstat,map_id_up
sched_affinity_CPU0_graph.txt,write,ksys_write
sched_affinity_CPU0_graph.txt,write,__fdget_pos
sched_affinity_CPU0_graph.txt,write,__fget_light
sched_affinity_CPU0_graph.txt,write,vfs_write
sched_affinity_CPU0_graph.txt,write,rw_verify_area
sched_affinity_CPU0_graph.txt,write,security_file_permission
sched_affinity_CPU0_graph.txt,write,apparmor_file_permission
sched_affinity_CPU0_graph.txt,write,common_file_perm
sched_affinity_CPU0_graph.txt,write,aa_file_perm
sched_affinity_CPU0_graph.txt,write,__vfs_write
sched_affinity_CPU0_graph.txt,write,tty_write
sched_affinity_CPU0_graph.txt,write,tty_paranoia_check
sched_affinity_CPU0_graph.txt,write,tty_ldisc_ref_wait
sched_affinity_CPU0_graph.txt,write,ldsem_down_read
sched_affinity_CPU0_graph.txt,write,_cond_resched
sched_affinity_CPU0_graph.txt,write,rcu_all_qs
sched_affinity_CPU0_graph.txt,write,tty_write_lock
sched_affinity_CPU0_graph.txt,write,mutex_trylock
sched_affinity_CPU0_graph.txt,write,__check_object_size
sched_affinity_CPU0_graph.txt,write,check_stack_object
sched_affinity_CPU0_graph.txt,write,__virt_addr_valid
sched_affinity_CPU0_graph.txt,write,smp_irq_work_interrupt
sched_affinity_CPU0_graph.txt,write,irq_enter
sched_affinity_CPU0_graph.txt,write,rcu_irq_enter
sched_affinity_CPU0_graph.txt,write,__wake_up
sched_affinity_CPU0_graph.txt,write,__wake_up_common_lock
sched_affinity_CPU0_graph.txt,write,_raw_spin_lock_irqsave
sched_affinity_CPU0_graph.txt,write,__wake_up_common
sched_affinity_CPU0_graph.txt,write,pollwake
sched_affinity_CPU0_graph.txt,write,default_wake_function
sched_affinity_CPU0_graph.txt,write,try_to_wake_up
sched_affinity_CPU0_graph.txt,write,_raw_spin_lock_irqsave
sched_affinity_CPU0_graph.txt,write,select_task_rq_fair
sched_affinity_CPU0_graph.txt,write,select_idle_sibling
sched_affinity_CPU0_graph.txt,write,available_idle_cpu
sched_affinity_CPU0_graph.txt,write,native_smp_send_reschedule
sched_affinity_CPU0_graph.txt,write,x2apic_send_IPI
sched_affinity_CPU0_graph.txt,write,_raw_spin_unlock_irqrestore
sched_affinity_CPU0_graph.txt,write,_raw_spin_unlock_irqrestore
sched_affinity_CPU0_graph.txt,write,irq_exit
sched_affinity_CPU0_graph.txt,write,idle_cpu
sched_affinity_CPU0_graph.txt,write,rcu_irq_exit
sched_affinity_CPU0_graph.txt,write,__check_heap_object
sched_affinity_CPU0_graph.txt,write,n_tty_write
sched_affinity_CPU0_graph.txt,write,down_read
sched_affinity_CPU0_graph.txt,write,_cond_resched
sched_affinity_CPU0_graph.txt,write,rcu_all_qs
sched_affinity_CPU0_graph.txt,write,process_echoes
sched_affinity_CPU0_graph.txt,write,add_wait_queue
sched_affinity_CPU0_graph.txt,write,_raw_spin_lock_irqsave
sched_affinity_CPU0_graph.txt,write,_raw_spin_unlock_irqrestore
sched_affinity_CPU0_graph.txt,write,tty_hung_up_p
sched_affinity_CPU0_graph.txt,write,mutex_lock
sched_affinity_CPU0_graph.txt,write,_cond_resched
sched_affinity_CPU0_graph.txt,write,rcu_all_qs
sched_affinity_CPU0_graph.txt,write,rcu_note_context_switch
sched_affinity_CPU0_graph.txt,write,rcu_qs
sched_affinity_CPU0_graph.txt,write,_raw_spin_lock
sched_affinity_CPU0_graph.txt,write,update_rq_clock
sched_affinity_CPU0_graph.txt,write,pick_next_task_fair
sched_affinity_CPU0_graph.txt,write,update_curr
sched_affinity_CPU0_graph.txt,write,check_cfs_rq_runtime
