파일명,시스템콜,해당함수
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_getscheduler,find_task_by_vpid
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_getscheduler,security_task_getscheduler
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,vfs_statx_fd
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,__fdget_raw
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,__fget_light
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,vfs_getattr
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,security_inode_getattr
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,apparmor_inode_getattr
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,common_perm_cond
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,common_perm
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,vfs_getattr_nosec
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,generic_fillattr
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,cp_new_stat
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,from_kuid_munged
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,map_id_up
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,from_kgid_munged
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,map_id_up
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,smp_irq_work_interrupt
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,irq_enter
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,rcu_irq_enter
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,__wake_up
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,__wake_up_common_lock
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,_raw_spin_lock_irqsave
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,native_queued_spin_lock_slowpath
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,__wake_up_common
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,pollwake
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,default_wake_function
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,try_to_wake_up
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,_raw_spin_lock_irqsave
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,_raw_spin_unlock_irqrestore
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,_raw_spin_unlock_irqrestore
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,irq_exit
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,idle_cpu
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,newfstat,rcu_irq_exit
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,do_sched_setscheduler
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,find_task_by_vpid
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,_sched_setscheduler
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,__sched_setscheduler
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,capable
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,ns_capable_common
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,security_capable
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,cap_capable
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,apparmor_capable
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,security_task_setscheduler
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,cap_task_setscheduler
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,cap_safe_nice
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,cpuset_read_lock
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,_cond_resched
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,smp_irq_work_interrupt
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,irq_enter
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,rcu_irq_enter
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,__wake_up
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,__wake_up_common_lock
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,_raw_spin_lock_irqsave
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,__wake_up_common
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,_raw_spin_unlock_irqrestore
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,irq_exit
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,idle_cpu
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,rcu_irq_exit
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,rcu_all_qs
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,task_rq_lock
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,_raw_spin_lock_irqsave
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,_raw_spin_lock
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,update_rq_clock
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,dequeue_task_fair
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,dequeue_entity
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,update_curr
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,__calc_delta
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,update_min_vruntime
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,cpuacct_charge
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,__cgroup_account_cputime
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,cgroup_rstat_updated
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,__update_load_avg_se
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,__update_load_avg_cfs_rq
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,clear_buddies
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,account_entity_dequeue
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,update_cfs_group
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,reweight_entity
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,update_min_vruntime
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,hrtick_update
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,put_prev_task_fair
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,put_prev_entity
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,check_cfs_rq_runtime
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,check_spread.isra.83.part.84
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,set_load_weight
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,reweight_task
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,reweight_entity
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,enqueue_task_rt
sched_scheduler_2_0_SCHED_RR_PRIO10_graph.txt,sched_setscheduler,dequeue_rt_stack
