파일명,시스템콜,해당함수
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,sched_getscheduler,find_task_by_vpid
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,sched_getscheduler,security_task_getscheduler
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,newfstat,vfs_statx_fd
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,newfstat,__fdget_raw
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,newfstat,__fget_light
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,newfstat,vfs_getattr
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,newfstat,security_inode_getattr
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,newfstat,apparmor_inode_getattr
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,newfstat,common_perm_cond
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,newfstat,common_perm
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,newfstat,vfs_getattr_nosec
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,newfstat,generic_fillattr
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,newfstat,cp_new_stat
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,newfstat,from_kuid_munged
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,newfstat,map_id_up
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,newfstat,from_kgid_munged
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,newfstat,map_id_up
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,sched_setscheduler,do_sched_setscheduler
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,sched_setscheduler,find_task_by_vpid
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,sched_setscheduler,_sched_setscheduler
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,sched_setscheduler,__sched_setscheduler
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,dup,ksys_dup
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,dup,get_unused_fd_flags
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,dup,__alloc_fd
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,dup,_raw_spin_lock
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,dup,expand_files
sched_scheduler_3_0_SCHED_BATCH_PRIO10_graph.txt,dup,__fd_install
sched_scheduler_4_0_SCHED_IDLE_PRIO10_graph.txt,sched_getscheduler,find_task_by_vpid
sched_scheduler_4_0_SCHED_IDLE_PRIO10_graph.txt,sched_getscheduler,security_task_getscheduler
sched_scheduler_4_0_SCHED_IDLE_PRIO10_graph.txt,newfstat,vfs_statx_fd
sched_scheduler_4_0_SCHED_IDLE_PRIO10_graph.txt,newfstat,__fdget_raw
sched_scheduler_4_0_SCHED_IDLE_PRIO10_graph.txt,newfstat,__fget_light
sched_scheduler_4_0_SCHED_IDLE_PRIO10_graph.txt,newfstat,vfs_getattr
sched_scheduler_4_0_SCHED_IDLE_PRIO10_graph.txt,newfstat,security_inode_getattr
