파일명,시스템콜,해당함수
test_pselect6_graph.txt,pipe,do_pipe2
test_pselect6_graph.txt,pipe,__do_pipe_flags
test_pselect6_graph.txt,pipe,create_pipe_files
test_pselect6_graph.txt,pipe,new_inode_pseudo
test_pselect6_graph.txt,pipe,alloc_inode
test_pselect6_graph.txt,pipe,kmem_cache_alloc
test_pselect6_graph.txt,pipe,_cond_resched
test_pselect6_graph.txt,pipe,rcu_all_qs
test_pselect6_graph.txt,pipe,should_failslab
test_pselect6_graph.txt,pipe,memcg_kmem_get_cache
test_pselect6_graph.txt,pipe,memcg_kmem_put_cache
test_pselect6_graph.txt,pipe,inode_init_always
test_pselect6_graph.txt,pipe,make_kuid
test_pselect6_graph.txt,pipe,map_id_range_down
test_pselect6_graph.txt,pipe,make_kgid
test_pselect6_graph.txt,pipe,smp_irq_work_interrupt
test_pselect6_graph.txt,pipe,irq_enter
test_pselect6_graph.txt,pipe,rcu_irq_enter
test_pselect6_graph.txt,pipe,__wake_up
test_pselect6_graph.txt,pipe,__wake_up_common_lock
test_pselect6_graph.txt,pipe,_raw_spin_lock_irqsave
test_pselect6_graph.txt,pipe,__wake_up_common
test_pselect6_graph.txt,pipe,_raw_spin_unlock_irqrestore
test_pselect6_graph.txt,pipe,irq_exit
test_pselect6_graph.txt,pipe,idle_cpu
test_pselect6_graph.txt,pipe,rcu_irq_exit
test_pselect6_graph.txt,pipe,map_id_range_down
test_pselect6_graph.txt,pipe,__init_rwsem
test_pselect6_graph.txt,pipe,security_inode_alloc
test_pselect6_graph.txt,pipe,_raw_spin_lock
test_pselect6_graph.txt,pipe,get_next_ino
test_pselect6_graph.txt,pipe,alloc_pipe_info
test_pselect6_graph.txt,pipe,kmem_cache_alloc_trace
test_pselect6_graph.txt,pipe,_cond_resched
test_pselect6_graph.txt,pipe,rcu_all_qs
test_pselect6_graph.txt,pipe,should_failslab
test_pselect6_graph.txt,pipe,memcg_kmem_get_cache
test_pselect6_graph.txt,pipe,memcg_kmem_put_cache
test_pselect6_graph.txt,pipe,__kmalloc
test_pselect6_graph.txt,pipe,kmalloc_slab
test_pselect6_graph.txt,pipe,_cond_resched
test_pselect6_graph.txt,pipe,rcu_all_qs
test_pselect6_graph.txt,pipe,should_failslab
test_pselect6_graph.txt,pipe,memcg_kmem_get_cache
test_pselect6_graph.txt,pipe,memcg_kmem_put_cache
test_pselect6_graph.txt,pipe,__init_waitqueue_head
test_pselect6_graph.txt,pipe,__mutex_init
test_pselect6_graph.txt,pipe,current_time
test_pselect6_graph.txt,pipe,ktime_get_coarse_real_ts64
test_pselect6_graph.txt,pipe,timestamp_truncate
test_pselect6_graph.txt,pipe,alloc_file_pseudo
test_pselect6_graph.txt,pipe,d_alloc_pseudo
test_pselect6_graph.txt,pipe,__d_alloc
test_pselect6_graph.txt,pipe,kmem_cache_alloc
test_pselect6_graph.txt,pipe,_cond_resched
test_pselect6_graph.txt,pipe,rcu_all_qs
test_pselect6_graph.txt,pipe,should_failslab
test_pselect6_graph.txt,pipe,memcg_kmem_get_cache
test_pselect6_graph.txt,pipe,memcg_kmem_put_cache
test_pselect6_graph.txt,pipe,d_set_d_op
test_pselect6_graph.txt,pipe,mntget
test_pselect6_graph.txt,pipe,d_instantiate
test_pselect6_graph.txt,pipe,security_d_instantiate
test_pselect6_graph.txt,pipe,_raw_spin_lock
test_pselect6_graph.txt,pipe,__d_instantiate
test_pselect6_graph.txt,pipe,d_flags_for_inode
test_pselect6_graph.txt,pipe,_raw_spin_lock
test_pselect6_graph.txt,pipe,alloc_file
test_pselect6_graph.txt,pipe,alloc_empty_file
test_pselect6_graph.txt,pipe,__alloc_file
test_pselect6_graph.txt,pipe,kmem_cache_alloc
test_pselect6_graph.txt,pipe,_cond_resched
test_pselect6_graph.txt,pipe,rcu_all_qs
test_pselect6_graph.txt,pipe,should_failslab
test_pselect6_graph.txt,pipe,memcg_kmem_get_cache
test_pselect6_graph.txt,pipe,__slab_alloc
test_pselect6_graph.txt,pipe,___slab_alloc
test_pselect6_graph.txt,pipe,memcg_kmem_put_cache
test_pselect6_graph.txt,pipe,security_file_alloc
test_pselect6_graph.txt,pipe,kmem_cache_alloc
test_pselect6_graph.txt,pipe,_cond_resched
test_pselect6_graph.txt,pipe,rcu_all_qs
test_pselect6_graph.txt,pipe,should_failslab
test_pselect6_graph.txt,pipe,memcg_kmem_put_cache
test_pselect6_graph.txt,pipe,apparmor_file_alloc_security
test_pselect6_graph.txt,pipe,_cond_resched
test_pselect6_graph.txt,pipe,rcu_all_qs
test_pselect6_graph.txt,pipe,__mutex_init
test_pselect6_graph.txt,pipe,alloc_file_clone
test_pselect6_graph.txt,pipe,alloc_file
test_pselect6_graph.txt,pipe,alloc_empty_file
test_pselect6_graph.txt,pipe,smp_irq_work_interrupt
