파일명,시스템콜,해당함수
semtimedop_flag_0_graph.txt,semtimedop,ksys_semtimedop
semtimedop_flag_0_graph.txt,semtimedop,get_timespec64
semtimedop_flag_0_graph.txt,semtimedop,do_semtimedop
semtimedop_flag_0_graph.txt,semtimedop,__check_object_size
semtimedop_flag_0_graph.txt,semtimedop,check_stack_object
semtimedop_flag_0_graph.txt,semtimedop,timespec64_to_jiffies
semtimedop_flag_0_graph.txt,semtimedop,ipc_obtain_object_check
semtimedop_flag_0_graph.txt,semtimedop,ipcperms
semtimedop_flag_0_graph.txt,semtimedop,ns_capable
semtimedop_flag_0_graph.txt,semtimedop,ns_capable_common
semtimedop_flag_0_graph.txt,semtimedop,security_capable
semtimedop_flag_0_graph.txt,semtimedop,cap_capable
semtimedop_flag_0_graph.txt,semtimedop,apparmor_capable
semtimedop_flag_0_graph.txt,semtimedop,security_ipc_permission
semtimedop_flag_0_graph.txt,semtimedop,security_sem_semop
semtimedop_flag_0_graph.txt,semtimedop,_raw_spin_lock
semtimedop_flag_0_graph.txt,semtimedop,perform_atomic_semop
semtimedop_flag_0_graph.txt,semtimedop,put_pid
semtimedop_flag_0_graph.txt,semtimedop,put_pid.part.1
semtimedop_flag_0_graph.txt,semtimedop,kmem_cache_free
semtimedop_flag_0_graph.txt,semtimedop,put_pid_ns
semtimedop_flag_0_graph.txt,semtimedop,smp_irq_work_interrupt
semtimedop_flag_0_graph.txt,semtimedop,irq_enter
semtimedop_flag_0_graph.txt,semtimedop,rcu_irq_enter
semtimedop_flag_0_graph.txt,semtimedop,__wake_up
semtimedop_flag_0_graph.txt,semtimedop,__wake_up_common_lock
semtimedop_flag_0_graph.txt,semtimedop,_raw_spin_lock_irqsave
semtimedop_flag_0_graph.txt,semtimedop,__wake_up_common
semtimedop_flag_0_graph.txt,semtimedop,pollwake
semtimedop_flag_0_graph.txt,semtimedop,default_wake_function
semtimedop_flag_0_graph.txt,semtimedop,try_to_wake_up
semtimedop_flag_0_graph.txt,semtimedop,_raw_spin_lock_irqsave
semtimedop_flag_0_graph.txt,semtimedop,_raw_spin_unlock_irqrestore
semtimedop_flag_0_graph.txt,semtimedop,_raw_spin_unlock_irqrestore
semtimedop_flag_0_graph.txt,semtimedop,irq_exit
semtimedop_flag_0_graph.txt,semtimedop,idle_cpu
semtimedop_flag_0_graph.txt,semtimedop,rcu_irq_exit
semtimedop_flag_0_graph.txt,semtimedop,ktime_get_real_seconds
semtimedop_flag_0_graph.txt,semtimedop,wake_up_q
semget_s_ixusr_graph.txt,semget,ksys_semget
semget_s_ixusr_graph.txt,semget,ipcget
semget_s_ixusr_graph.txt,semget,down_write
semget_s_ixusr_graph.txt,semget,_cond_resched
semget_s_ixusr_graph.txt,semget,rcu_all_qs
semget_s_ixusr_graph.txt,semget,newary
semget_s_ixusr_graph.txt,semget,kvmalloc_node
semget_s_ixusr_graph.txt,semget,__kmalloc_node
semget_s_ixusr_graph.txt,semget,kmalloc_slab
semget_s_ixusr_graph.txt,semget,_cond_resched
semget_s_ixusr_graph.txt,semget,rcu_all_qs
semget_s_ixusr_graph.txt,semget,should_failslab
