파일명,시스템콜,해당함수
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,ipcget
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,down_write
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,_cond_resched
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,rcu_all_qs
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,newseg
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,kvmalloc_node
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,__kmalloc_node
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,kmalloc_slab
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,_cond_resched
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,rcu_all_qs
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,should_failslab
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,memcg_kmem_get_cache
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,memcg_kmem_put_cache
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,security_shm_alloc
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,shmem_kernel_file_setup
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,__shmem_file_setup.part.45
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,security_vm_enough_memory_mm
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,cap_vm_enough_memory
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,cap_capable
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,__vm_enough_memory
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,shmem_get_inode
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,shmem_reserve_inode
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,new_inode
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,new_inode_pseudo
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,alloc_inode
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,shmem_alloc_inode
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,kmem_cache_alloc
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,_cond_resched
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,rcu_all_qs
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,should_failslab
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,memcg_kmem_get_cache
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,memcg_kmem_put_cache
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,inode_init_always
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,make_kuid
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,map_id_range_down
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,make_kgid
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,map_id_range_down
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,__init_rwsem
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,security_inode_alloc
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,_raw_spin_lock
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,inode_sb_list_add
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,_raw_spin_lock
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,inode_init_owner
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,current_time
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,ktime_get_coarse_real_ts64
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,timestamp_truncate
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,mpol_shared_policy_init
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,get_next_ino
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,clear_nlink
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,alloc_file_pseudo
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,smp_irq_work_interrupt
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,irq_enter
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,rcu_irq_enter
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,__wake_up
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,__wake_up_common_lock
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,_raw_spin_lock_irqsave
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,__wake_up_common
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,_raw_spin_unlock_irqrestore
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,irq_exit
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,idle_cpu
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,rcu_irq_exit
test_shm_ipc_creat_ipc_excl_shm_rnd_shm_unlock_graph.txt,shmget,d_alloc_pseudo
