파일명,시스템콜,해당함수
sigaltstack_SS_DISABLE_graph.txt,pipe,do_pipe2
sigaltstack_SS_DISABLE_graph.txt,pipe,__do_pipe_flags
sigaltstack_SS_DISABLE_graph.txt,pipe,create_pipe_files
sigaltstack_SS_DISABLE_graph.txt,pipe,new_inode_pseudo
sigaltstack_SS_DISABLE_graph.txt,pipe,alloc_inode
sigaltstack_SS_DISABLE_graph.txt,pipe,smp_irq_work_interrupt
sigaltstack_SS_DISABLE_graph.txt,pipe,irq_enter
sigaltstack_SS_DISABLE_graph.txt,pipe,rcu_irq_enter
sigaltstack_SS_DISABLE_graph.txt,pipe,__wake_up
sigaltstack_SS_DISABLE_graph.txt,pipe,__wake_up_common_lock
sigaltstack_SS_DISABLE_graph.txt,pipe,_raw_spin_lock_irqsave
sigaltstack_SS_DISABLE_graph.txt,pipe,__wake_up_common
sigaltstack_SS_DISABLE_graph.txt,pipe,_raw_spin_unlock_irqrestore
sigaltstack_SS_DISABLE_graph.txt,pipe,irq_exit
sigaltstack_SS_DISABLE_graph.txt,pipe,idle_cpu
sigaltstack_SS_DISABLE_graph.txt,pipe,rcu_irq_exit
sigaltstack_SS_DISABLE_graph.txt,pipe,kmem_cache_alloc
sigaltstack_SS_DISABLE_graph.txt,pipe,_cond_resched
sigaltstack_SS_DISABLE_graph.txt,pipe,rcu_all_qs
sigaltstack_SS_DISABLE_graph.txt,pipe,should_failslab
sigaltstack_SS_DISABLE_graph.txt,pipe,memcg_kmem_get_cache
sigaltstack_SS_DISABLE_graph.txt,pipe,memcg_kmem_put_cache
sigaltstack_SS_DISABLE_graph.txt,pipe,inode_init_always
sigaltstack_SS_DISABLE_graph.txt,pipe,make_kuid
sigaltstack_SS_DISABLE_graph.txt,pipe,map_id_range_down
sigaltstack_SS_DISABLE_graph.txt,pipe,make_kgid
sigaltstack_SS_DISABLE_graph.txt,pipe,map_id_range_down
sigaltstack_SS_DISABLE_graph.txt,pipe,__init_rwsem
sigaltstack_SS_DISABLE_graph.txt,pipe,security_inode_alloc
sigaltstack_SS_DISABLE_graph.txt,pipe,_raw_spin_lock
sigaltstack_SS_DISABLE_graph.txt,pipe,get_next_ino
sigaltstack_SS_DISABLE_graph.txt,pipe,alloc_pipe_info
sigaltstack_SS_DISABLE_graph.txt,pipe,kmem_cache_alloc_trace
sigaltstack_SS_DISABLE_graph.txt,pipe,_cond_resched
sigaltstack_SS_DISABLE_graph.txt,pipe,rcu_all_qs
sigaltstack_SS_DISABLE_graph.txt,pipe,should_failslab
sigaltstack_SS_DISABLE_graph.txt,pipe,memcg_kmem_get_cache
sigaltstack_SS_DISABLE_graph.txt,pipe,memcg_kmem_put_cache
sigaltstack_SS_DISABLE_graph.txt,pipe,__kmalloc
sigaltstack_SS_DISABLE_graph.txt,pipe,kmalloc_slab
sigaltstack_SS_DISABLE_graph.txt,pipe,_cond_resched
sigaltstack_SS_DISABLE_graph.txt,pipe,rcu_all_qs
sigaltstack_SS_DISABLE_graph.txt,pipe,should_failslab
sigaltstack_SS_DISABLE_graph.txt,pipe,memcg_kmem_get_cache
sigaltstack_SS_DISABLE_graph.txt,pipe,memcg_kmem_put_cache
sigaltstack_SS_DISABLE_graph.txt,pipe,__init_waitqueue_head
sigaltstack_SS_DISABLE_graph.txt,pipe,__mutex_init
sigaltstack_SS_DISABLE_graph.txt,pipe,current_time
sigaltstack_SS_DISABLE_graph.txt,pipe,ktime_get_coarse_real_ts64
sigaltstack_SS_DISABLE_graph.txt,pipe,timestamp_truncate
sigaltstack_SS_DISABLE_graph.txt,pipe,alloc_file_pseudo
sigaltstack_SS_DISABLE_graph.txt,pipe,d_alloc_pseudo
sigaltstack_SS_DISABLE_graph.txt,pipe,__d_alloc
sigaltstack_SS_DISABLE_graph.txt,pipe,kmem_cache_alloc
sigaltstack_SS_DISABLE_graph.txt,pipe,_cond_resched
sigaltstack_SS_DISABLE_graph.txt,pipe,rcu_all_qs
sigaltstack_SS_DISABLE_graph.txt,pipe,should_failslab
sigaltstack_SS_DISABLE_graph.txt,pipe,memcg_kmem_get_cache
sigaltstack_SS_DISABLE_graph.txt,pipe,smp_irq_work_interrupt
sigaltstack_SS_DISABLE_graph.txt,pipe,irq_enter
sigaltstack_SS_DISABLE_graph.txt,pipe,rcu_irq_enter
sigaltstack_SS_DISABLE_graph.txt,pipe,__wake_up
sigaltstack_SS_DISABLE_graph.txt,pipe,__wake_up_common_lock
sigaltstack_SS_DISABLE_graph.txt,pipe,_raw_spin_lock_irqsave
sigaltstack_SS_DISABLE_graph.txt,pipe,__wake_up_common
sigaltstack_SS_DISABLE_graph.txt,pipe,_raw_spin_unlock_irqrestore
sigaltstack_SS_DISABLE_graph.txt,pipe,irq_exit
sigaltstack_SS_DISABLE_graph.txt,pipe,idle_cpu
sigaltstack_SS_DISABLE_graph.txt,pipe,rcu_irq_exit
sigaltstack_SS_DISABLE_graph.txt,pipe,__slab_alloc
sigaltstack_SS_DISABLE_graph.txt,pipe,___slab_alloc
sigaltstack_SS_DISABLE_graph.txt,pipe,memcg_kmem_put_cache
sigaltstack_SS_DISABLE_graph.txt,pipe,d_set_d_op
sigaltstack_SS_DISABLE_graph.txt,pipe,mntget
sigaltstack_SS_DISABLE_graph.txt,pipe,d_instantiate
sigaltstack_SS_DISABLE_graph.txt,pipe,security_d_instantiate
sigaltstack_SS_DISABLE_graph.txt,pipe,_raw_spin_lock
sigaltstack_SS_DISABLE_graph.txt,pipe,__d_instantiate
sigaltstack_SS_DISABLE_graph.txt,pipe,d_flags_for_inode
sigaltstack_SS_DISABLE_graph.txt,pipe,_raw_spin_lock
sigaltstack_SS_DISABLE_graph.txt,pipe,alloc_file
sigaltstack_SS_DISABLE_graph.txt,pipe,alloc_empty_file
sigaltstack_SS_DISABLE_graph.txt,pipe,__alloc_file
