파일명,시스템콜,해당함수
signalfd4_SFD_CLOEXEC_graph.txt,pipe,do_pipe2
signalfd4_SFD_CLOEXEC_graph.txt,pipe,__do_pipe_flags
signalfd4_SFD_CLOEXEC_graph.txt,pipe,create_pipe_files
signalfd4_SFD_CLOEXEC_graph.txt,pipe,new_inode_pseudo
signalfd4_SFD_CLOEXEC_graph.txt,pipe,alloc_inode
signalfd4_SFD_CLOEXEC_graph.txt,pipe,kmem_cache_alloc
signalfd4_SFD_CLOEXEC_graph.txt,pipe,_cond_resched
signalfd4_SFD_CLOEXEC_graph.txt,pipe,rcu_all_qs
signalfd4_SFD_CLOEXEC_graph.txt,pipe,should_failslab
signalfd4_SFD_CLOEXEC_graph.txt,pipe,memcg_kmem_get_cache
signalfd4_SFD_CLOEXEC_graph.txt,pipe,memcg_kmem_put_cache
signalfd4_SFD_CLOEXEC_graph.txt,pipe,inode_init_always
signalfd4_SFD_CLOEXEC_graph.txt,pipe,make_kuid
signalfd4_SFD_CLOEXEC_graph.txt,pipe,map_id_range_down
signalfd4_SFD_CLOEXEC_graph.txt,pipe,make_kgid
signalfd4_SFD_CLOEXEC_graph.txt,pipe,map_id_range_down
signalfd4_SFD_CLOEXEC_graph.txt,pipe,__init_rwsem
signalfd4_SFD_CLOEXEC_graph.txt,pipe,security_inode_alloc
signalfd4_SFD_CLOEXEC_graph.txt,pipe,_raw_spin_lock
signalfd4_SFD_CLOEXEC_graph.txt,pipe,get_next_ino
signalfd4_SFD_CLOEXEC_graph.txt,pipe,alloc_pipe_info
signalfd4_SFD_CLOEXEC_graph.txt,pipe,kmem_cache_alloc_trace
signalfd4_SFD_CLOEXEC_graph.txt,pipe,_cond_resched
signalfd4_SFD_CLOEXEC_graph.txt,pipe,rcu_all_qs
signalfd4_SFD_CLOEXEC_graph.txt,pipe,should_failslab
signalfd4_SFD_CLOEXEC_graph.txt,pipe,memcg_kmem_get_cache
signalfd4_SFD_CLOEXEC_graph.txt,pipe,memcg_kmem_put_cache
signalfd4_SFD_CLOEXEC_graph.txt,pipe,smp_irq_work_interrupt
signalfd4_SFD_CLOEXEC_graph.txt,pipe,irq_enter
signalfd4_SFD_CLOEXEC_graph.txt,pipe,rcu_irq_enter
signalfd4_SFD_CLOEXEC_graph.txt,pipe,__wake_up
signalfd4_SFD_CLOEXEC_graph.txt,pipe,__wake_up_common_lock
