파일명,시스템콜,해당함수
socket$xdp_graph.txt,socket,__sys_socket
socket$xdp_graph.txt,socket,__sock_create
socket$xdp_graph.txt,socket,security_socket_create
socket$xdp_graph.txt,socket,apparmor_socket_create
socket$xdp_graph.txt,socket,__cond_resched
socket$xdp_graph.txt,socket,rcu_all_qs
socket$xdp_graph.txt,socket,sock_alloc
socket$xdp_graph.txt,socket,new_inode_pseudo
socket$xdp_graph.txt,socket,alloc_inode
socket$xdp_graph.txt,socket,sock_alloc_inode
socket$xdp_graph.txt,socket,kmem_cache_alloc
socket$xdp_graph.txt,socket,__cond_resched
socket$xdp_graph.txt,socket,rcu_all_qs
socket$xdp_graph.txt,socket,should_failslab
socket$xdp_graph.txt,socket,mem_cgroup_from_task
socket$xdp_graph.txt,socket,rcu_read_unlock_strict
socket$xdp_graph.txt,socket,obj_cgroup_charge
socket$xdp_graph.txt,socket,obj_cgroup_charge_pages
socket$xdp_graph.txt,socket,get_mem_cgroup_from_objcg
socket$xdp_graph.txt,socket,rcu_read_unlock_strict
socket$xdp_graph.txt,socket,try_charge_memcg
socket$xdp_graph.txt,socket,do_memsw_account
socket$xdp_graph.txt,socket,page_counter_try_charge
socket$xdp_graph.txt,socket,propagate_protected_usage
socket$xdp_graph.txt,socket,refill_stock
socket$xdp_graph.txt,socket,drain_stock.isra.0
socket$xdp_graph.txt,socket,rcu_read_unlock_strict
socket$xdp_graph.txt,socket,page_counter_try_charge
socket$xdp_graph.txt,socket,propagate_protected_usage
socket$xdp_graph.txt,socket,rcu_read_unlock_strict
socket$xdp_graph.txt,socket,refill_obj_stock
socket$xdp_graph.txt,socket,drain_obj_stock
socket$xdp_graph.txt,socket,__mod_memcg_lruvec_state
socket$xdp_graph.txt,socket,cgroup_rstat_updated
socket$xdp_graph.txt,socket,rcu_read_unlock_strict
socket$xdp_graph.txt,socket,rcu_read_unlock_strict
socket$xdp_graph.txt,socket,obj_cgroup_uncharge_pages
socket$xdp_graph.txt,socket,get_mem_cgroup_from_objcg
socket$xdp_graph.txt,socket,rcu_read_unlock_strict
socket$xdp_graph.txt,socket,page_counter_uncharge
socket$xdp_graph.txt,socket,page_counter_cancel
socket$xdp_graph.txt,socket,propagate_protected_usage
socket$xdp_graph.txt,socket,refill_stock
socket$xdp_graph.txt,socket,rcu_read_unlock_strict
socket$xdp_graph.txt,socket,mod_objcg_state
socket$xdp_graph.txt,socket,__init_waitqueue_head
socket$xdp_graph.txt,socket,inode_init_always
socket$xdp_graph.txt,socket,make_kuid
socket$xdp_graph.txt,socket,map_id_range_down
socket$xdp_graph.txt,socket,make_kgid
socket$xdp_graph.txt,socket,map_id_range_down
socket$xdp_graph.txt,socket,__init_rwsem
socket$xdp_graph.txt,socket,security_inode_alloc
socket$xdp_graph.txt,socket,kmem_cache_alloc
socket$xdp_graph.txt,socket,__cond_resched
socket$xdp_graph.txt,socket,rcu_all_qs
socket$xdp_graph.txt,socket,should_failslab
socket$xdp_graph.txt,socket,apparmor_inode_alloc_security
socket$xdp_graph.txt,socket,_raw_spin_lock
socket$xdp_graph.txt,socket,get_next_ino
socket$xdp_graph.txt,socket,try_module_get
socket$xdp_graph.txt,socket,rcu_read_unlock_strict
socket$xdp_graph.txt,socket,xsk_create
socket$xdp_graph.txt,socket,ns_capable
socket$xdp_graph.txt,socket,ns_capable_common
socket$xdp_graph.txt,socket,security_capable
socket$xdp_graph.txt,socket,cap_capable
socket$xdp_graph.txt,socket,apparmor_capable
socket$xdp_graph.txt,socket,sk_alloc
socket$xdp_graph.txt,socket,sk_prot_alloc
socket$xdp_graph.txt,socket,__kmalloc
socket$xdp_graph.txt,socket,kmalloc_slab
socket$xdp_graph.txt,socket,__cond_resched
socket$xdp_graph.txt,socket,rcu_all_qs
socket$xdp_graph.txt,socket,should_failslab
socket$xdp_graph.txt,socket,security_sk_alloc
socket$xdp_graph.txt,socket,__kmalloc
socket$xdp_graph.txt,socket,kmalloc_slab
socket$xdp_graph.txt,socket,__cond_resched
socket$xdp_graph.txt,socket,rcu_all_qs
socket$xdp_graph.txt,socket,should_failslab
socket$xdp_graph.txt,socket,try_module_get
socket$xdp_graph.txt,socket,__init_waitqueue_head
socket$xdp_graph.txt,socket,mem_cgroup_sk_alloc
socket$xdp_graph.txt,socket,cgroup_sk_alloc
socket$xdp_graph.txt,socket,rcu_read_unlock_strict
socket$xdp_graph.txt,socket,rcu_read_unlock_strict
socket$xdp_graph.txt,socket,sock_init_data
socket$xdp_graph.txt,socket,sock_init_data_uid
socket$xdp_graph.txt,socket,init_timer_key
socket$xdp_graph.txt,socket,__mutex_init
socket$xdp_graph.txt,socket,mutex_lock
socket$xdp_graph.txt,socket,__cond_resched
socket$xdp_graph.txt,socket,rcu_all_qs
socket$xdp_graph.txt,socket,mutex_unlock
socket$xdp_graph.txt,socket,module_put
socket$xdp_graph.txt,socket,security_socket_post_create
socket$xdp_graph.txt,socket,apparmor_socket_post_create
socket$xdp_graph.txt,socket,get_unused_fd_flags
socket$xdp_graph.txt,socket,alloc_fd
socket$xdp_graph.txt,socket,_raw_spin_lock
socket$xdp_graph.txt,socket,expand_files
socket$xdp_graph.txt,socket,sock_alloc_file
socket$xdp_graph.txt,socket,alloc_file_pseudo
socket$xdp_graph.txt,socket,d_alloc_pseudo
socket$xdp_graph.txt,socket,__d_alloc
socket$xdp_graph.txt,socket,kmem_cache_alloc
socket$xdp_graph.txt,socket,__cond_resched
socket$xdp_graph.txt,socket,rcu_all_qs
socket$xdp_graph.txt,socket,should_failslab
socket$xdp_graph.txt,socket,mem_cgroup_from_task
socket$xdp_graph.txt,socket,rcu_read_unlock_strict
socket$xdp_graph.txt,socket,obj_cgroup_charge
socket$xdp_graph.txt,socket,mod_objcg_state
socket$xdp_graph.txt,socket,d_set_d_op
socket$xdp_graph.txt,socket,mntget
socket$xdp_graph.txt,socket,d_instantiate
socket$xdp_graph.txt,socket,d_instantiate.part.0
socket$xdp_graph.txt,socket,security_d_instantiate
socket$xdp_graph.txt,socket,apparmor_d_instantiate
socket$xdp_graph.txt,socket,_raw_spin_lock
socket$xdp_graph.txt,socket,_raw_spin_lock
socket$xdp_graph.txt,socket,__d_instantiate
socket$xdp_graph.txt,socket,d_flags_for_inode
socket$xdp_graph.txt,socket,_raw_spin_lock
socket$xdp_graph.txt,socket,alloc_file
socket$xdp_graph.txt,socket,alloc_empty_file
socket$xdp_graph.txt,socket,__alloc_file
socket$xdp_graph.txt,socket,kmem_cache_alloc
socket$xdp_graph.txt,socket,__cond_resched
socket$xdp_graph.txt,socket,rcu_all_qs
socket$xdp_graph.txt,socket,should_failslab
socket$xdp_graph.txt,socket,mem_cgroup_from_task
socket$xdp_graph.txt,socket,rcu_read_unlock_strict
socket$xdp_graph.txt,socket,obj_cgroup_charge
socket$xdp_graph.txt,socket,___slab_alloc
socket$xdp_graph.txt,socket,mod_objcg_state
socket$xdp_graph.txt,socket,security_file_alloc
socket$xdp_graph.txt,socket,kmem_cache_alloc
socket$xdp_graph.txt,socket,__cond_resched
socket$xdp_graph.txt,socket,rcu_all_qs
socket$xdp_graph.txt,socket,should_failslab
socket$xdp_graph.txt,socket,apparmor_file_alloc_security
socket$xdp_graph.txt,socket,__cond_resched
socket$xdp_graph.txt,socket,rcu_all_qs
socket$xdp_graph.txt,socket,__mutex_init
socket$xdp_graph.txt,socket,stream_open
socket$xdp_graph.txt,socket,fd_install
socket$xdp_graph.txt,close,close_fd
socket$xdp_graph.txt,close,pick_file
socket$xdp_graph.txt,close,_raw_spin_lock
socket$xdp_graph.txt,close,filp_close
socket$xdp_graph.txt,close,dnotify_flush
socket$xdp_graph.txt,close,locks_remove_posix
socket$xdp_graph.txt,close,fput
socket$xdp_graph.txt,close,fput_many
socket$xdp_graph.txt,close,task_work_add
socket$xdp_graph.txt,close,kick_process
socket$inet6_sock0_var1_graph.txt,socket,__sys_socket
socket$inet6_sock0_var1_graph.txt,socket,__sock_create
socket$inet6_sock0_var1_graph.txt,socket,security_socket_create
socket$inet6_sock0_var1_graph.txt,socket,apparmor_socket_create
socket$inet6_sock0_var1_graph.txt,socket,__cond_resched
socket$inet6_sock0_var1_graph.txt,socket,rcu_all_qs
socket$inet6_sock0_var1_graph.txt,socket,sock_alloc
socket$inet6_sock0_var1_graph.txt,socket,new_inode_pseudo
socket$inet6_sock0_var1_graph.txt,socket,alloc_inode
socket$inet6_sock0_var1_graph.txt,socket,sock_alloc_inode
socket$inet6_sock0_var1_graph.txt,socket,kmem_cache_alloc
socket$inet6_sock0_var1_graph.txt,socket,__cond_resched
socket$inet6_sock0_var1_graph.txt,socket,rcu_all_qs
socket$inet6_sock0_var1_graph.txt,socket,should_failslab
socket$inet6_sock0_var1_graph.txt,socket,mem_cgroup_from_task
socket$inet6_sock0_var1_graph.txt,socket,rcu_read_unlock_strict
socket$inet6_sock0_var1_graph.txt,socket,obj_cgroup_charge
socket$inet6_sock0_var1_graph.txt,socket,obj_cgroup_charge_pages
socket$inet6_sock0_var1_graph.txt,socket,get_mem_cgroup_from_objcg
socket$inet6_sock0_var1_graph.txt,socket,rcu_read_unlock_strict
socket$inet6_sock0_var1_graph.txt,socket,try_charge_memcg
socket$inet6_sock0_var1_graph.txt,socket,do_memsw_account
socket$inet6_sock0_var1_graph.txt,socket,page_counter_try_charge
socket$inet6_sock0_var1_graph.txt,socket,propagate_protected_usage
socket$inet6_sock0_var1_graph.txt,socket,refill_stock
socket$inet6_sock0_var1_graph.txt,socket,drain_stock.isra.0
socket$inet6_sock0_var1_graph.txt,socket,page_counter_uncharge
socket$inet6_sock0_var1_graph.txt,socket,page_counter_cancel
socket$inet6_sock0_var1_graph.txt,socket,propagate_protected_usage
socket$inet6_sock0_var1_graph.txt,socket,do_memsw_account
socket$inet6_sock0_var1_graph.txt,socket,rcu_read_unlock_strict
socket$inet6_sock0_var1_graph.txt,socket,rcu_read_unlock_strict
socket$inet6_sock0_var1_graph.txt,socket,page_counter_try_charge
socket$inet6_sock0_var1_graph.txt,socket,propagate_protected_usage
socket$inet6_sock0_var1_graph.txt,socket,rcu_read_unlock_strict
socket$inet6_sock0_var1_graph.txt,socket,refill_obj_stock
socket$inet6_sock0_var1_graph.txt,socket,drain_obj_stock
socket$inet6_sock0_var1_graph.txt,socket,__mod_memcg_lruvec_state
socket$inet6_sock0_var1_graph.txt,socket,cgroup_rstat_updated
socket$inet6_sock0_var1_graph.txt,socket,rcu_read_unlock_strict
socket$inet6_sock0_var1_graph.txt,socket,rcu_read_unlock_strict
socket$inet6_sock0_var1_graph.txt,socket,obj_cgroup_uncharge_pages
socket$inet6_sock0_var1_graph.txt,socket,get_mem_cgroup_from_objcg
socket$inet6_sock0_var1_graph.txt,socket,rcu_read_unlock_strict
socket$inet6_sock0_var1_graph.txt,socket,page_counter_uncharge
socket$inet6_sock0_var1_graph.txt,socket,page_counter_cancel
socket$inet6_sock0_var1_graph.txt,socket,propagate_protected_usage
socket$inet6_sock0_var1_graph.txt,socket,refill_stock
socket$inet6_sock0_var1_graph.txt,socket,drain_stock.isra.0
socket$inet6_sock0_var1_graph.txt,socket,page_counter_uncharge
socket$inet6_sock0_var1_graph.txt,socket,page_counter_cancel
socket$inet6_sock0_var1_graph.txt,socket,propagate_protected_usage
socket$inet6_sock0_var1_graph.txt,socket,do_memsw_account
socket$inet6_sock0_var1_graph.txt,socket,rcu_read_unlock_strict
socket$inet6_sock0_var1_graph.txt,socket,rcu_read_unlock_strict
socket$inet6_sock0_var1_graph.txt,socket,mod_objcg_state
socket$inet6_sock0_var1_graph.txt,socket,__init_waitqueue_head
socket$inet6_sock0_var1_graph.txt,socket,inode_init_always
socket$inet6_sock0_var1_graph.txt,socket,make_kuid
socket$inet6_sock0_var1_graph.txt,socket,map_id_range_down
socket$inet6_sock0_var1_graph.txt,socket,make_kgid
socket$inet6_sock0_var1_graph.txt,socket,map_id_range_down
socket$inet6_sock0_var1_graph.txt,socket,__init_rwsem
socket$inet6_sock0_var1_graph.txt,socket,security_inode_alloc
socket$inet6_sock0_var1_graph.txt,socket,kmem_cache_alloc
socket$inet6_sock0_var1_graph.txt,socket,__cond_resched
socket$inet6_sock0_var1_graph.txt,socket,rcu_all_qs
socket$inet6_sock0_var1_graph.txt,socket,should_failslab
socket$inet6_sock0_var1_graph.txt,socket,apparmor_inode_alloc_security
socket$inet6_sock0_var1_graph.txt,socket,_raw_spin_lock
socket$inet6_sock0_var1_graph.txt,socket,get_next_ino
socket$inet6_sock0_var1_graph.txt,socket,try_module_get
socket$inet6_sock0_var1_graph.txt,socket,rcu_read_unlock_strict
socket$inet6_sock0_var1_graph.txt,socket,inet6_create
socket$inet6_sock0_var1_graph.txt,socket,rcu_read_unlock_strict
socket$inet6_sock0_var1_graph.txt,socket,sk_alloc
socket$inet6_sock0_var1_graph.txt,socket,sk_prot_alloc
socket$inet6_sock0_var1_graph.txt,socket,kmem_cache_alloc
socket$inet6_sock0_var1_graph.txt,socket,__cond_resched
socket$inet6_sock0_var1_graph.txt,socket,rcu_all_qs
socket$inet6_sock0_var1_graph.txt,socket,should_failslab
socket$inet6_sock0_var1_graph.txt,socket,mem_cgroup_from_task
socket$inet6_sock0_var1_graph.txt,socket,rcu_read_unlock_strict
socket$inet6_sock0_var1_graph.txt,socket,obj_cgroup_charge
socket$inet6_sock0_var1_graph.txt,socket,mod_objcg_state
socket$inet6_sock0_var1_graph.txt,socket,security_sk_alloc
socket$inet6_sock0_var1_graph.txt,socket,__kmalloc
socket$inet6_sock0_var1_graph.txt,socket,kmalloc_slab
socket$inet6_sock0_var1_graph.txt,socket,__cond_resched
socket$inet6_sock0_var1_graph.txt,socket,rcu_all_qs
socket$inet6_sock0_var1_graph.txt,socket,should_failslab
socket$inet6_sock0_var1_graph.txt,socket,try_module_get
socket$inet6_sock0_var1_graph.txt,socket,__init_waitqueue_head
socket$inet6_sock0_var1_graph.txt,socket,mem_cgroup_sk_alloc
socket$inet6_sock0_var1_graph.txt,socket,cgroup_sk_alloc
socket$inet6_sock0_var1_graph.txt,socket,rcu_read_unlock_strict
socket$inet6_sock0_var1_graph.txt,socket,rcu_read_unlock_strict
socket$inet6_sock0_var1_graph.txt,socket,sock_init_data
socket$inet6_sock0_var1_graph.txt,socket,sock_init_data_uid
socket$inet6_sock0_var1_graph.txt,socket,init_timer_key
socket$inet6_sock0_var1_graph.txt,socket,udpv6_init_sock
socket$inet6_sock0_var1_graph.txt,socket,module_put
socket$inet6_sock0_var1_graph.txt,socket,security_socket_post_create
socket$inet6_sock0_var1_graph.txt,socket,apparmor_socket_post_create
socket$inet6_sock0_var1_graph.txt,socket,get_unused_fd_flags
socket$inet6_sock0_var1_graph.txt,socket,alloc_fd
socket$inet6_sock0_var1_graph.txt,socket,_raw_spin_lock
socket$inet6_sock0_var1_graph.txt,socket,expand_files
socket$inet6_sock0_var1_graph.txt,socket,sock_alloc_file
socket$inet6_sock0_var1_graph.txt,socket,alloc_file_pseudo
socket$inet6_sock0_var1_graph.txt,socket,d_alloc_pseudo
socket$inet6_sock0_var1_graph.txt,socket,__d_alloc
socket$inet6_sock0_var1_graph.txt,socket,kmem_cache_alloc
socket$inet6_sock0_var1_graph.txt,socket,__cond_resched
socket$inet6_sock0_var1_graph.txt,socket,rcu_all_qs
socket$inet6_sock0_var1_graph.txt,socket,should_failslab
socket$inet6_sock0_var1_graph.txt,socket,mem_cgroup_from_task
socket$inet6_sock0_var1_graph.txt,socket,rcu_read_unlock_strict
socket$inet6_sock0_var1_graph.txt,socket,obj_cgroup_charge
socket$inet6_sock0_var1_graph.txt,socket,mod_objcg_state
socket$inet6_sock0_var1_graph.txt,socket,d_set_d_op
socket$inet6_sock0_var1_graph.txt,socket,mntget
socket$inet6_sock0_var1_graph.txt,socket,d_instantiate
socket$inet6_sock0_var1_graph.txt,socket,d_instantiate.part.0
socket$inet6_sock0_var1_graph.txt,socket,security_d_instantiate
socket$inet6_sock0_var1_graph.txt,socket,apparmor_d_instantiate
socket$inet6_sock0_var1_graph.txt,socket,_raw_spin_lock
socket$inet6_sock0_var1_graph.txt,socket,_raw_spin_lock
socket$inet6_sock0_var1_graph.txt,socket,__d_instantiate
socket$inet6_sock0_var1_graph.txt,socket,d_flags_for_inode
socket$inet6_sock0_var1_graph.txt,socket,_raw_spin_lock
socket$inet6_sock0_var1_graph.txt,socket,alloc_file
