파일명,시스템콜,해당함수
socketpair_tipc_seqpacket_graph.txt,socketpair,__sys_socketpair
socketpair_tipc_seqpacket_graph.txt,socketpair,get_unused_fd_flags
socketpair_tipc_seqpacket_graph.txt,socketpair,__alloc_fd
socketpair_tipc_seqpacket_graph.txt,socketpair,_raw_spin_lock
socketpair_tipc_seqpacket_graph.txt,socketpair,expand_files
socketpair_tipc_seqpacket_graph.txt,socketpair,smp_irq_work_interrupt
socketpair_tipc_seqpacket_graph.txt,socketpair,irq_enter
socketpair_tipc_seqpacket_graph.txt,socketpair,rcu_irq_enter
socketpair_tipc_seqpacket_graph.txt,socketpair,__wake_up
socketpair_tipc_seqpacket_graph.txt,socketpair,__wake_up_common_lock
socketpair_tipc_seqpacket_graph.txt,socketpair,_raw_spin_lock_irqsave
socketpair_tipc_seqpacket_graph.txt,socketpair,__wake_up_common
socketpair_tipc_seqpacket_graph.txt,socketpair,pollwake
socketpair_tipc_seqpacket_graph.txt,socketpair,default_wake_function
socketpair_tipc_seqpacket_graph.txt,socketpair,try_to_wake_up
socketpair_tipc_seqpacket_graph.txt,socketpair,_raw_spin_lock_irqsave
socketpair_tipc_seqpacket_graph.txt,socketpair,select_task_rq_fair
socketpair_tipc_seqpacket_graph.txt,socketpair,select_idle_sibling
socketpair_tipc_seqpacket_graph.txt,socketpair,available_idle_cpu
socketpair_tipc_seqpacket_graph.txt,socketpair,native_smp_send_reschedule
socketpair_tipc_seqpacket_graph.txt,socketpair,x2apic_send_IPI
socketpair_tipc_seqpacket_graph.txt,socketpair,_raw_spin_unlock_irqrestore
socketpair_tipc_seqpacket_graph.txt,socketpair,_raw_spin_unlock_irqrestore
socketpair_tipc_seqpacket_graph.txt,socketpair,irq_exit
socketpair_tipc_seqpacket_graph.txt,socketpair,idle_cpu
socketpair_tipc_seqpacket_graph.txt,socketpair,rcu_irq_exit
socketpair_tipc_seqpacket_graph.txt,socketpair,__sock_create
socketpair_tipc_seqpacket_graph.txt,socketpair,security_socket_create
socketpair_tipc_seqpacket_graph.txt,socketpair,apparmor_socket_create
