파일명,시스템콜,해당함수
test_fstatfs_graph.txt,openat,do_sys_open
test_fstatfs_graph.txt,openat,getname
test_fstatfs_graph.txt,openat,getname_flags
test_fstatfs_graph.txt,openat,kmem_cache_alloc
test_fstatfs_graph.txt,openat,_cond_resched
test_fstatfs_graph.txt,openat,rcu_all_qs
test_fstatfs_graph.txt,openat,should_failslab
test_fstatfs_graph.txt,openat,memcg_kmem_put_cache
test_fstatfs_graph.txt,openat,__check_object_size
test_fstatfs_graph.txt,openat,check_stack_object
test_fstatfs_graph.txt,openat,__virt_addr_valid
test_fstatfs_graph.txt,openat,__check_heap_object
test_fstatfs_graph.txt,openat,smp_irq_work_interrupt
test_fstatfs_graph.txt,openat,irq_enter
test_fstatfs_graph.txt,openat,rcu_irq_enter
test_fstatfs_graph.txt,openat,__wake_up
test_fstatfs_graph.txt,openat,__wake_up_common_lock
test_fstatfs_graph.txt,openat,_raw_spin_lock_irqsave
test_fstatfs_graph.txt,openat,__wake_up_common
test_fstatfs_graph.txt,openat,_raw_spin_unlock_irqrestore
test_fstatfs_graph.txt,openat,irq_exit
test_fstatfs_graph.txt,openat,idle_cpu
test_fstatfs_graph.txt,openat,rcu_irq_exit
test_fstatfs_graph.txt,openat,get_unused_fd_flags
test_fstatfs_graph.txt,openat,__alloc_fd
test_fstatfs_graph.txt,openat,_raw_spin_lock
test_fstatfs_graph.txt,openat,expand_files
test_fstatfs_graph.txt,openat,do_filp_open
test_fstatfs_graph.txt,openat,path_openat
test_fstatfs_graph.txt,openat,alloc_empty_file
test_fstatfs_graph.txt,openat,__alloc_file
test_fstatfs_graph.txt,openat,kmem_cache_alloc
test_fstatfs_graph.txt,openat,_cond_resched
test_fstatfs_graph.txt,openat,rcu_all_qs
test_fstatfs_graph.txt,openat,should_failslab
test_fstatfs_graph.txt,openat,memcg_kmem_get_cache
test_fstatfs_graph.txt,openat,__slab_alloc
test_fstatfs_graph.txt,openat,___slab_alloc
test_fstatfs_graph.txt,openat,memcg_kmem_put_cache
test_fstatfs_graph.txt,openat,security_file_alloc
test_fstatfs_graph.txt,openat,kmem_cache_alloc
test_fstatfs_graph.txt,openat,_cond_resched
test_fstatfs_graph.txt,openat,rcu_all_qs
test_fstatfs_graph.txt,openat,should_failslab
test_fstatfs_graph.txt,openat,memcg_kmem_put_cache
test_fstatfs_graph.txt,openat,apparmor_file_alloc_security
test_fstatfs_graph.txt,openat,_cond_resched
test_fstatfs_graph.txt,openat,rcu_all_qs
test_fstatfs_graph.txt,openat,__mutex_init
test_fstatfs_graph.txt,openat,path_init
test_fstatfs_graph.txt,openat,set_root
test_fstatfs_graph.txt,openat,nd_jump_root
test_fstatfs_graph.txt,openat,link_path_walk.part.33
test_fstatfs_graph.txt,openat,inode_permission
test_fstatfs_graph.txt,openat,generic_permission
test_fstatfs_graph.txt,openat,security_inode_permission
test_fstatfs_graph.txt,openat,walk_component
test_fstatfs_graph.txt,openat,lookup_fast
test_fstatfs_graph.txt,openat,__d_lookup_rcu
test_fstatfs_graph.txt,openat,__follow_mount_rcu.isra.28
test_fstatfs_graph.txt,openat,lookup_fast
test_fstatfs_graph.txt,openat,__d_lookup_rcu
test_fstatfs_graph.txt,openat,terminate_walk
test_fstatfs_graph.txt,openat,fput
test_fstatfs_graph.txt,openat,fput_many
test_fstatfs_graph.txt,openat,task_work_add
test_fstatfs_graph.txt,openat,kick_process
test_fstatfs_graph.txt,openat,restore_nameidata
test_fstatfs_graph.txt,openat,put_unused_fd
test_fstatfs_graph.txt,openat,_raw_spin_lock
test_fstatfs_graph.txt,openat,putname
test_fstatfs_graph.txt,openat,kmem_cache_free
test_statfs_graph.txt,statfs,user_statfs
test_statfs_graph.txt,statfs,user_path_at_empty
test_statfs_graph.txt,statfs,getname_flags
test_statfs_graph.txt,statfs,kmem_cache_alloc
test_statfs_graph.txt,statfs,_cond_resched
test_statfs_graph.txt,statfs,rcu_all_qs
test_statfs_graph.txt,statfs,should_failslab
test_statfs_graph.txt,statfs,memcg_kmem_put_cache
test_statfs_graph.txt,statfs,__check_object_size
test_statfs_graph.txt,statfs,check_stack_object
test_statfs_graph.txt,statfs,smp_irq_work_interrupt
test_statfs_graph.txt,statfs,irq_enter
test_statfs_graph.txt,statfs,rcu_irq_enter
test_statfs_graph.txt,statfs,__wake_up
test_statfs_graph.txt,statfs,__wake_up_common_lock
test_statfs_graph.txt,statfs,_raw_spin_lock_irqsave
test_statfs_graph.txt,statfs,__wake_up_common
test_statfs_graph.txt,statfs,pollwake
test_statfs_graph.txt,statfs,default_wake_function
test_statfs_graph.txt,statfs,try_to_wake_up
test_statfs_graph.txt,statfs,_raw_spin_lock_irqsave
test_statfs_graph.txt,statfs,select_task_rq_fair
test_statfs_graph.txt,statfs,select_idle_sibling
test_statfs_graph.txt,statfs,available_idle_cpu
test_statfs_graph.txt,statfs,native_smp_send_reschedule
test_statfs_graph.txt,statfs,x2apic_send_IPI
test_statfs_graph.txt,statfs,_raw_spin_unlock_irqrestore
test_statfs_graph.txt,statfs,_raw_spin_unlock_irqrestore
test_statfs_graph.txt,statfs,irq_exit
test_statfs_graph.txt,statfs,idle_cpu
test_statfs_graph.txt,statfs,rcu_irq_exit
test_statfs_graph.txt,statfs,__virt_addr_valid
test_statfs_graph.txt,statfs,__check_heap_object
test_statfs_graph.txt,statfs,filename_lookup
test_statfs_graph.txt,statfs,path_lookupat
test_statfs_graph.txt,statfs,path_init
test_statfs_graph.txt,statfs,set_root
test_statfs_graph.txt,statfs,nd_jump_root
test_statfs_graph.txt,statfs,link_path_walk.part.33
test_statfs_graph.txt,statfs,inode_permission
test_statfs_graph.txt,statfs,generic_permission
test_statfs_graph.txt,statfs,security_inode_permission
test_statfs_graph.txt,statfs,walk_component
