파일명,시스템콜,해당함수
swapoff_specialfile_graph.txt,swapoff,capable
swapoff_specialfile_graph.txt,swapoff,ns_capable_common
swapoff_specialfile_graph.txt,swapoff,security_capable
swapoff_specialfile_graph.txt,swapoff,cap_capable
swapoff_specialfile_graph.txt,swapoff,apparmor_capable
swapoff_specialfile_graph.txt,swapoff,getname
swapoff_specialfile_graph.txt,swapoff,getname_flags
swapoff_specialfile_graph.txt,swapoff,kmem_cache_alloc
swapoff_specialfile_graph.txt,swapoff,_cond_resched
swapoff_specialfile_graph.txt,swapoff,rcu_all_qs
swapoff_specialfile_graph.txt,swapoff,should_failslab
swapoff_specialfile_graph.txt,swapoff,memcg_kmem_put_cache
swapoff_specialfile_graph.txt,swapoff,smp_irq_work_interrupt
swapoff_specialfile_graph.txt,swapoff,irq_enter
swapoff_specialfile_graph.txt,swapoff,rcu_irq_enter
swapoff_specialfile_graph.txt,swapoff,__wake_up
swapoff_specialfile_graph.txt,swapoff,__wake_up_common_lock
swapoff_specialfile_graph.txt,swapoff,_raw_spin_lock_irqsave
swapoff_specialfile_graph.txt,swapoff,__wake_up_common
swapoff_specialfile_graph.txt,swapoff,_raw_spin_unlock_irqrestore
swapoff_specialfile_graph.txt,swapoff,irq_exit
swapoff_specialfile_graph.txt,swapoff,idle_cpu
swapoff_specialfile_graph.txt,swapoff,rcu_irq_exit
swapoff_specialfile_graph.txt,swapoff,__check_object_size
swapoff_specialfile_graph.txt,swapoff,check_stack_object
swapoff_specialfile_graph.txt,swapoff,__virt_addr_valid
swapoff_specialfile_graph.txt,swapoff,__check_heap_object
swapoff_specialfile_graph.txt,swapoff,file_open_name
swapoff_specialfile_graph.txt,swapoff,do_filp_open
swapoff_specialfile_graph.txt,swapoff,path_openat
swapoff_specialfile_graph.txt,swapoff,alloc_empty_file
swapoff_specialfile_graph.txt,swapoff,__alloc_file
swapoff_specialfile_graph.txt,swapoff,kmem_cache_alloc
swapoff_specialfile_graph.txt,swapoff,_cond_resched
swapoff_specialfile_graph.txt,swapoff,rcu_all_qs
swapoff_specialfile_graph.txt,swapoff,should_failslab
swapoff_specialfile_graph.txt,swapoff,memcg_kmem_get_cache
swapoff_specialfile_graph.txt,swapoff,memcg_kmem_put_cache
swapoff_specialfile_graph.txt,swapoff,security_file_alloc
swapoff_specialfile_graph.txt,swapoff,kmem_cache_alloc
swapoff_specialfile_graph.txt,swapoff,_cond_resched
swapoff_specialfile_graph.txt,swapoff,rcu_all_qs
swapoff_specialfile_graph.txt,swapoff,should_failslab
swapoff_specialfile_graph.txt,swapoff,memcg_kmem_put_cache
swapoff_specialfile_graph.txt,swapoff,apparmor_file_alloc_security
swapoff_specialfile_graph.txt,swapoff,_cond_resched
swapoff_specialfile_graph.txt,swapoff,rcu_all_qs
swapoff_specialfile_graph.txt,swapoff,__mutex_init
swapoff_specialfile_graph.txt,swapoff,path_init
swapoff_specialfile_graph.txt,swapoff,set_root
swapoff_specialfile_graph.txt,swapoff,nd_jump_root
swapoff_specialfile_graph.txt,swapoff,link_path_walk.part.33
swapoff_specialfile_graph.txt,swapoff,inode_permission
swapoff_specialfile_graph.txt,swapoff,generic_permission
swapoff_specialfile_graph.txt,swapoff,security_inode_permission
swapoff_specialfile_graph.txt,swapoff,walk_component
swapoff_specialfile_graph.txt,swapoff,lookup_fast
swapoff_specialfile_graph.txt,swapoff,__d_lookup_rcu
swapoff_specialfile_graph.txt,swapoff,__follow_mount_rcu.isra.28
swapoff_specialfile_graph.txt,swapoff,lookup_fast
swapoff_specialfile_graph.txt,swapoff,__d_lookup_rcu
swapoff_specialfile_graph.txt,swapoff,smp_irq_work_interrupt
swapoff_specialfile_graph.txt,swapoff,irq_enter
swapoff_specialfile_graph.txt,swapoff,rcu_irq_enter
swapoff_specialfile_graph.txt,swapoff,__wake_up
swapoff_specialfile_graph.txt,swapoff,__wake_up_common_lock
swapoff_specialfile_graph.txt,swapoff,_raw_spin_lock_irqsave
swapoff_specialfile_graph.txt,swapoff,__wake_up_common
swapoff_specialfile_graph.txt,swapoff,pollwake
swapoff_specialfile_graph.txt,swapoff,default_wake_function
swapoff_specialfile_graph.txt,swapoff,try_to_wake_up
swapoff_specialfile_graph.txt,swapoff,_raw_spin_lock_irqsave
swapoff_specialfile_graph.txt,swapoff,select_task_rq_fair
swapoff_specialfile_graph.txt,swapoff,select_idle_sibling
swapoff_specialfile_graph.txt,swapoff,available_idle_cpu
swapoff_specialfile_graph.txt,swapoff,native_smp_send_reschedule
swapoff_specialfile_graph.txt,swapoff,x2apic_send_IPI
swapoff_specialfile_graph.txt,swapoff,_raw_spin_unlock_irqrestore
swapoff_specialfile_graph.txt,swapoff,_raw_spin_unlock_irqrestore
swapoff_specialfile_graph.txt,swapoff,irq_exit
swapoff_specialfile_graph.txt,swapoff,idle_cpu
swapoff_specialfile_graph.txt,swapoff,rcu_irq_exit
swapoff_specialfile_graph.txt,swapoff,terminate_walk
swapoff_specialfile_graph.txt,swapoff,fput
swapoff_specialfile_graph.txt,swapoff,fput_many
swapoff_specialfile_graph.txt,swapoff,task_work_add
swapoff_specialfile_graph.txt,swapoff,kick_process
swapoff_specialfile_graph.txt,swapoff,restore_nameidata
swapoff_specialfile_graph.txt,swapoff,putname
swapoff_specialfile_graph.txt,swapoff,kmem_cache_free
swapon_flag_discard_graph.txt,swapon,capable
swapon_flag_discard_graph.txt,swapon,ns_capable_common
swapon_flag_discard_graph.txt,swapon,security_capable
swapon_flag_discard_graph.txt,swapon,cap_capable
swapon_flag_discard_graph.txt,swapon,apparmor_capable
swapon_flag_discard_graph.txt,swapon,kvmalloc_node
swapon_flag_discard_graph.txt,swapon,__kmalloc_node
swapon_flag_discard_graph.txt,swapon,kmalloc_slab
swapon_flag_discard_graph.txt,swapon,_cond_resched
swapon_flag_discard_graph.txt,swapon,rcu_all_qs
swapon_flag_discard_graph.txt,swapon,should_failslab
swapon_flag_discard_graph.txt,swapon,memcg_kmem_put_cache
swapon_flag_discard_graph.txt,swapon,_raw_spin_lock
swapon_flag_discard_graph.txt,swapon,kvfree
swapon_flag_discard_graph.txt,swapon,kfree
swapon_flag_discard_graph.txt,swapon,getname
swapon_flag_discard_graph.txt,swapon,getname_flags
swapon_flag_discard_graph.txt,swapon,kmem_cache_alloc
swapon_flag_discard_graph.txt,swapon,_cond_resched
swapon_flag_discard_graph.txt,swapon,rcu_all_qs
swapon_flag_discard_graph.txt,swapon,should_failslab
swapon_flag_discard_graph.txt,swapon,memcg_kmem_put_cache
swapon_flag_discard_graph.txt,swapon,__check_object_size
swapon_flag_discard_graph.txt,swapon,check_stack_object
swapon_flag_discard_graph.txt,swapon,__virt_addr_valid
swapon_flag_discard_graph.txt,swapon,__check_heap_object
swapon_flag_discard_graph.txt,swapon,file_open_name
swapon_flag_discard_graph.txt,swapon,do_filp_open
swapon_flag_discard_graph.txt,swapon,path_openat
swapon_flag_discard_graph.txt,swapon,alloc_empty_file
swapon_flag_discard_graph.txt,swapon,__alloc_file
swapon_flag_discard_graph.txt,swapon,kmem_cache_alloc
swapon_flag_discard_graph.txt,swapon,_cond_resched
swapon_flag_discard_graph.txt,swapon,rcu_all_qs
swapon_flag_discard_graph.txt,swapon,should_failslab
swapon_flag_discard_graph.txt,swapon,memcg_kmem_get_cache
swapon_flag_discard_graph.txt,swapon,memcg_kmem_put_cache
swapon_flag_discard_graph.txt,swapon,security_file_alloc
swapon_flag_discard_graph.txt,swapon,kmem_cache_alloc
swapon_flag_discard_graph.txt,swapon,_cond_resched
swapon_flag_discard_graph.txt,swapon,rcu_all_qs
swapon_flag_discard_graph.txt,swapon,should_failslab
swapon_flag_discard_graph.txt,swapon,memcg_kmem_put_cache
swapon_flag_discard_graph.txt,swapon,apparmor_file_alloc_security
swapon_flag_discard_graph.txt,swapon,_cond_resched
swapon_flag_discard_graph.txt,swapon,rcu_all_qs
swapon_flag_discard_graph.txt,swapon,__mutex_init
swapon_flag_discard_graph.txt,swapon,path_init
swapon_flag_discard_graph.txt,swapon,set_root
swapon_flag_discard_graph.txt,swapon,nd_jump_root
swapon_flag_discard_graph.txt,swapon,link_path_walk.part.33
swapon_flag_discard_graph.txt,swapon,inode_permission
swapon_flag_discard_graph.txt,swapon,generic_permission
swapon_flag_discard_graph.txt,swapon,security_inode_permission
swapon_flag_discard_graph.txt,swapon,walk_component
swapon_flag_discard_graph.txt,swapon,lookup_fast
swapon_flag_discard_graph.txt,swapon,__d_lookup_rcu
swapon_flag_discard_graph.txt,swapon,__follow_mount_rcu.isra.28
swapon_flag_discard_graph.txt,swapon,lookup_fast
swapon_flag_discard_graph.txt,swapon,__d_lookup_rcu
swapon_flag_discard_graph.txt,swapon,terminate_walk
swapon_flag_discard_graph.txt,swapon,fput
swapon_flag_discard_graph.txt,swapon,fput_many
swapon_flag_discard_graph.txt,swapon,task_work_add
swapon_flag_discard_graph.txt,swapon,kick_process
swapon_flag_discard_graph.txt,swapon,restore_nameidata
swapon_flag_discard_graph.txt,swapon,free_percpu
swapon_flag_discard_graph.txt,swapon,destroy_swap_extents
swapon_flag_discard_graph.txt,swapon,swap_cgroup_swapoff
swapon_flag_discard_graph.txt,swapon,vfree
swapon_flag_discard_graph.txt,swapon,_cond_resched
swapon_flag_discard_graph.txt,swapon,rcu_all_qs
swapon_flag_discard_graph.txt,swapon,putname
swapon_flag_discard_graph.txt,swapon,kmem_cache_free
swapon_flag_prefer_graph.txt,swapon,capable
