파일명,시스템콜,해당함수
sysinfo_test_graph.txt,sysinfo,do_sysinfo
sysinfo_test_graph.txt,sysinfo,ktime_get_with_offset
sysinfo_test_graph.txt,sysinfo,ns_to_timespec64
sysinfo_test_graph.txt,sysinfo,get_avenrun
sysinfo_test_graph.txt,sysinfo,si_meminfo
sysinfo_test_graph.txt,sysinfo,nr_blockdev_pages
sysinfo_test_graph.txt,sysinfo,_raw_spin_lock
sysinfo_test_graph.txt,sysinfo,si_swapinfo
sysinfo_test_graph.txt,sysinfo,_raw_spin_lock
sysinfo_test_graph.txt,newfstat,vfs_statx_fd
sysinfo_test_graph.txt,newfstat,__fdget_raw
sysinfo_test_graph.txt,newfstat,__fget_light
sysinfo_test_graph.txt,newfstat,vfs_getattr
sysinfo_test_graph.txt,newfstat,security_inode_getattr
sysinfo_test_graph.txt,newfstat,apparmor_inode_getattr
sysinfo_test_graph.txt,newfstat,common_perm_cond
sysinfo_test_graph.txt,newfstat,common_perm
sysinfo_test_graph.txt,newfstat,vfs_getattr_nosec
sysinfo_test_graph.txt,newfstat,generic_fillattr
sysinfo_test_graph.txt,newfstat,cp_new_stat
sysinfo_test_graph.txt,newfstat,from_kuid_munged
sysinfo_test_graph.txt,newfstat,map_id_up
sysinfo_test_graph.txt,newfstat,from_kgid_munged
sysinfo_test_graph.txt,newfstat,map_id_up
sysinfo_test_graph.txt,write,ksys_write
sysinfo_test_graph.txt,write,__fdget_pos
sysinfo_test_graph.txt,write,__fget_light
sysinfo_test_graph.txt,write,vfs_write
sysinfo_test_graph.txt,write,rw_verify_area
sysinfo_test_graph.txt,write,security_file_permission
sysinfo_test_graph.txt,write,apparmor_file_permission
sysinfo_test_graph.txt,write,common_file_perm
sysinfo_test_graph.txt,write,aa_file_perm
sysinfo_test_graph.txt,write,smp_irq_work_interrupt
sysinfo_test_graph.txt,write,irq_enter
sysinfo_test_graph.txt,write,rcu_irq_enter
sysinfo_test_graph.txt,write,__wake_up
sysinfo_test_graph.txt,write,__wake_up_common_lock
sysinfo_test_graph.txt,write,_raw_spin_lock_irqsave
sysinfo_test_graph.txt,write,__wake_up_common
sysinfo_test_graph.txt,write,pollwake
sysinfo_test_graph.txt,write,default_wake_function
sysinfo_test_graph.txt,write,try_to_wake_up
sysinfo_test_graph.txt,write,_raw_spin_lock_irqsave
sysinfo_test_graph.txt,write,select_task_rq_fair
sysinfo_test_graph.txt,write,select_idle_sibling
sysinfo_test_graph.txt,write,available_idle_cpu
sysinfo_test_graph.txt,write,native_smp_send_reschedule
sysinfo_test_graph.txt,write,x2apic_send_IPI
sysinfo_test_graph.txt,write,_raw_spin_unlock_irqrestore
sysinfo_test_graph.txt,write,_raw_spin_unlock_irqrestore
sysinfo_test_graph.txt,write,irq_exit
sysinfo_test_graph.txt,write,idle_cpu
sysinfo_test_graph.txt,write,rcu_irq_exit
sysinfo_test_graph.txt,write,__vfs_write
sysinfo_test_graph.txt,write,tty_write
sysinfo_test_graph.txt,write,tty_paranoia_check
sysinfo_test_graph.txt,write,tty_ldisc_ref_wait
sysinfo_test_graph.txt,write,ldsem_down_read
sysinfo_test_graph.txt,write,_cond_resched
sysinfo_test_graph.txt,write,rcu_all_qs
sysinfo_test_graph.txt,write,tty_write_lock
sysinfo_test_graph.txt,write,mutex_trylock
sysinfo_test_graph.txt,write,__check_object_size
sysinfo_test_graph.txt,write,check_stack_object
sysinfo_test_graph.txt,write,__virt_addr_valid
sysinfo_test_graph.txt,write,smp_irq_work_interrupt
sysinfo_test_graph.txt,write,irq_enter
sysinfo_test_graph.txt,write,rcu_irq_enter
sysinfo_test_graph.txt,write,__wake_up
sysinfo_test_graph.txt,write,__wake_up_common_lock
sysinfo_test_graph.txt,write,_raw_spin_lock_irqsave
sysinfo_test_graph.txt,write,__wake_up_common
sysinfo_test_graph.txt,write,_raw_spin_unlock_irqrestore
sysinfo_test_graph.txt,write,irq_exit
sysinfo_test_graph.txt,write,idle_cpu
sysinfo_test_graph.txt,write,rcu_irq_exit
sysinfo_test_graph.txt,write,__check_heap_object
sysinfo_test_graph.txt,write,n_tty_write
sysinfo_test_graph.txt,write,down_read
sysinfo_test_graph.txt,write,_cond_resched
sysinfo_test_graph.txt,write,rcu_all_qs
sysinfo_test_graph.txt,write,process_echoes
sysinfo_test_graph.txt,write,add_wait_queue
sysinfo_test_graph.txt,write,_raw_spin_lock_irqsave
