파일명,시스템콜,해당함수
time_test_graph.txt,time,ktime_get_real_seconds
time_test_graph.txt,newfstat,vfs_statx_fd
time_test_graph.txt,newfstat,__fdget_raw
time_test_graph.txt,newfstat,__fget_light
time_test_graph.txt,newfstat,vfs_getattr
time_test_graph.txt,newfstat,security_inode_getattr
time_test_graph.txt,newfstat,apparmor_inode_getattr
time_test_graph.txt,newfstat,common_perm_cond
time_test_graph.txt,newfstat,common_perm
time_test_graph.txt,newfstat,vfs_getattr_nosec
time_test_graph.txt,newfstat,generic_fillattr
time_test_graph.txt,newfstat,smp_irq_work_interrupt
time_test_graph.txt,newfstat,irq_enter
time_test_graph.txt,newfstat,rcu_irq_enter
time_test_graph.txt,newfstat,__wake_up
time_test_graph.txt,newfstat,__wake_up_common_lock
time_test_graph.txt,newfstat,_raw_spin_lock_irqsave
time_test_graph.txt,newfstat,__wake_up_common
time_test_graph.txt,newfstat,pollwake
time_test_graph.txt,newfstat,default_wake_function
time_test_graph.txt,newfstat,try_to_wake_up
time_test_graph.txt,newfstat,_raw_spin_lock_irqsave
time_test_graph.txt,newfstat,select_task_rq_fair
time_test_graph.txt,newfstat,select_idle_sibling
time_test_graph.txt,newfstat,available_idle_cpu
time_test_graph.txt,newfstat,native_smp_send_reschedule
time_test_graph.txt,newfstat,x2apic_send_IPI
time_test_graph.txt,newfstat,_raw_spin_unlock_irqrestore
time_test_graph.txt,newfstat,_raw_spin_unlock_irqrestore
time_test_graph.txt,newfstat,irq_exit
time_test_graph.txt,newfstat,idle_cpu
time_test_graph.txt,newfstat,rcu_irq_exit
time_test_graph.txt,newfstat,cp_new_stat
time_test_graph.txt,newfstat,from_kuid_munged
time_test_graph.txt,newfstat,map_id_up
time_test_graph.txt,newfstat,from_kgid_munged
time_test_graph.txt,newfstat,map_id_up
time_test_graph.txt,brk,down_write_killable
time_test_graph.txt,brk,_cond_resched
time_test_graph.txt,brk,rcu_all_qs
time_test_graph.txt,brk,__do_munmap
time_test_graph.txt,brk,find_vma
time_test_graph.txt,brk,vmacache_find
time_test_graph.txt,brk,vmacache_update
time_test_graph.txt,brk,__split_vma
time_test_graph.txt,brk,vm_area_dup
time_test_graph.txt,brk,kmem_cache_alloc
time_test_graph.txt,brk,_cond_resched
time_test_graph.txt,brk,rcu_all_qs
time_test_graph.txt,brk,should_failslab
time_test_graph.txt,brk,memcg_kmem_get_cache
time_test_graph.txt,brk,memcg_kmem_put_cache
time_test_graph.txt,brk,vma_dup_policy
time_test_graph.txt,brk,anon_vma_clone
time_test_graph.txt,brk,kmem_cache_alloc
time_test_graph.txt,brk,should_failslab
time_test_graph.txt,brk,memcg_kmem_get_cache
time_test_graph.txt,brk,memcg_kmem_put_cache
time_test_graph.txt,brk,down_write
time_test_graph.txt,brk,_cond_resched
time_test_graph.txt,brk,rcu_all_qs
time_test_graph.txt,brk,anon_vma_interval_tree_insert
time_test_graph.txt,brk,up_write
time_test_graph.txt,brk,__vma_adjust
time_test_graph.txt,brk,vma_adjust_trans_huge
time_test_graph.txt,brk,down_write
time_test_graph.txt,brk,_cond_resched
time_test_graph.txt,brk,rcu_all_qs
time_test_graph.txt,brk,anon_vma_interval_tree_remove
time_test_graph.txt,brk,__vma_link_list
time_test_graph.txt,brk,__vma_link_rb
time_test_graph.txt,brk,vma_gap_callbacks_rotate
time_test_graph.txt,brk,anon_vma_interval_tree_insert
time_test_graph.txt,brk,up_write
time_test_graph.txt,brk,userfaultfd_unmap_prep
time_test_graph.txt,brk,__vma_rb_erase
time_test_graph.txt,brk,downgrade_write
time_test_graph.txt,brk,unmap_region
time_test_graph.txt,brk,lru_add_drain
time_test_graph.txt,brk,lru_add_drain_cpu
time_test_graph.txt,brk,pagevec_lru_move_fn
time_test_graph.txt,brk,_raw_spin_lock_irqsave
time_test_graph.txt,brk,mem_cgroup_page_lruvec
time_test_graph.txt,brk,__pagevec_lru_add_fn
time_test_graph.txt,brk,page_evictable
time_test_graph.txt,brk,page_mapping
time_test_graph.txt,brk,__mod_lruvec_state
time_test_graph.txt,brk,__mod_node_page_state
time_test_graph.txt,brk,__mod_memcg_state
time_test_graph.txt,brk,__mod_zone_page_state
time_test_graph.txt,brk,mem_cgroup_update_lru_size
time_test_graph.txt,brk,_raw_spin_unlock_irqrestore
time_test_graph.txt,brk,smp_irq_work_interrupt
time_test_graph.txt,brk,irq_enter
time_test_graph.txt,brk,rcu_irq_enter
time_test_graph.txt,brk,__wake_up
time_test_graph.txt,brk,__wake_up_common_lock
time_test_graph.txt,brk,_raw_spin_lock_irqsave
time_test_graph.txt,brk,__wake_up_common
time_test_graph.txt,brk,pollwake
time_test_graph.txt,brk,default_wake_function
time_test_graph.txt,brk,try_to_wake_up
time_test_graph.txt,brk,_raw_spin_lock_irqsave
time_test_graph.txt,brk,select_task_rq_fair
time_test_graph.txt,brk,select_idle_sibling
time_test_graph.txt,brk,available_idle_cpu
time_test_graph.txt,brk,native_smp_send_reschedule
time_test_graph.txt,brk,x2apic_send_IPI
time_test_graph.txt,brk,_raw_spin_unlock_irqrestore
time_test_graph.txt,brk,_raw_spin_unlock_irqrestore
time_test_graph.txt,brk,irq_exit
time_test_graph.txt,brk,idle_cpu
time_test_graph.txt,brk,rcu_irq_exit
time_test_graph.txt,brk,release_pages
time_test_graph.txt,brk,mem_cgroup_uncharge_list
time_test_graph.txt,brk,free_unref_page_list
time_test_graph.txt,brk,tlb_gather_mmu
time_test_graph.txt,brk,unmap_vmas
time_test_graph.txt,brk,_cond_resched
time_test_graph.txt,brk,rcu_all_qs
time_test_graph.txt,brk,unmap_single_vma
time_test_graph.txt,brk,unmap_page_range
time_test_graph.txt,brk,_raw_spin_lock
time_test_graph.txt,brk,flush_tlb_batched_pending
time_test_graph.txt,brk,sync_mm_rss
time_test_graph.txt,brk,_cond_resched
time_test_graph.txt,brk,rcu_all_qs
time_test_graph.txt,brk,smp_irq_work_interrupt
time_test_graph.txt,brk,irq_enter
time_test_graph.txt,brk,rcu_irq_enter
time_test_graph.txt,brk,__wake_up
time_test_graph.txt,brk,__wake_up_common_lock
time_test_graph.txt,brk,_raw_spin_lock_irqsave
time_test_graph.txt,brk,__wake_up_common
time_test_graph.txt,brk,_raw_spin_unlock_irqrestore
time_test_graph.txt,brk,irq_exit
time_test_graph.txt,brk,idle_cpu
time_test_graph.txt,brk,rcu_irq_exit
time_test_graph.txt,brk,free_pgtables
time_test_graph.txt,brk,unlink_anon_vmas
time_test_graph.txt,brk,down_write
time_test_graph.txt,brk,_cond_resched
