파일명,시스템콜,해당함수
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,timer_create,do_timer_create
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,timer_create,clockid_to_kclock.part.10
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,dup,ksys_dup
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,dup,get_unused_fd_flags
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,dup,__alloc_fd
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,dup,_raw_spin_lock
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,dup,expand_files
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,dup,__fd_install
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,down_write_killable
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,_cond_resched
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,rcu_all_qs
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,__do_munmap
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,find_vma
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,vmacache_find
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,vmacache_update
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,__split_vma
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,vm_area_dup
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,kmem_cache_alloc
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,_cond_resched
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,rcu_all_qs
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,should_failslab
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,memcg_kmem_get_cache
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,memcg_kmem_put_cache
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,vma_dup_policy
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,anon_vma_clone
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,kmem_cache_alloc
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,should_failslab
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,memcg_kmem_get_cache
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,memcg_kmem_put_cache
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,down_write
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,_cond_resched
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,rcu_all_qs
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,anon_vma_interval_tree_insert
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,up_write
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,__vma_adjust
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,vma_adjust_trans_huge
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,down_write
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,_cond_resched
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,rcu_all_qs
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,anon_vma_interval_tree_remove
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,__vma_link_list
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,__vma_link_rb
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,vma_gap_callbacks_rotate
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,anon_vma_interval_tree_insert
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,up_write
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,userfaultfd_unmap_prep
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,__vma_rb_erase
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,downgrade_write
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,unmap_region
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,lru_add_drain
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,lru_add_drain_cpu
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,pagevec_lru_move_fn
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,_raw_spin_lock_irqsave
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,mem_cgroup_page_lruvec
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,__pagevec_lru_add_fn
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,page_evictable
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,page_mapping
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,__mod_lruvec_state
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,__mod_node_page_state
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,__mod_memcg_state
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,__mod_zone_page_state
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,mem_cgroup_update_lru_size
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,_raw_spin_unlock_irqrestore
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,release_pages
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,mem_cgroup_uncharge_list
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,free_unref_page_list
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,tlb_gather_mmu
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,unmap_vmas
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,_cond_resched
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,rcu_all_qs
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,unmap_single_vma
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,unmap_page_range
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,_raw_spin_lock
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,flush_tlb_batched_pending
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,sync_mm_rss
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,_cond_resched
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,rcu_all_qs
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,free_pgtables
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,unlink_anon_vmas
timer_create_CLOCK_MONOTONIC_RAW_0_graph.txt,brk,down_write
