파일명,시스템콜,해당함수
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,vfs_statx_fd
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,__fdget_raw
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,__fget_light
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,vfs_getattr
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,security_inode_getattr
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,apparmor_inode_getattr
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,common_perm_cond
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,common_perm
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,vfs_getattr_nosec
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,generic_fillattr
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,smp_irq_work_interrupt
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,irq_enter
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,rcu_irq_enter
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,__wake_up
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,__wake_up_common_lock
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,_raw_spin_lock_irqsave
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,__wake_up_common
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,_raw_spin_unlock_irqrestore
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,irq_exit
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,idle_cpu
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,rcu_irq_exit
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,cp_new_stat
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,from_kuid_munged
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,map_id_up
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,from_kgid_munged
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,map_id_up
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,fpregs_assert_state_consistent
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,__x64_sys_write
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,ksys_write
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,__fdget_pos
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,__fget_light
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,vfs_write
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,rw_verify_area
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,security_file_permission
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,apparmor_file_permission
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,common_file_perm
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,aa_file_perm
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,__vfs_write
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,tty_write
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,tty_paranoia_check
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,tty_ldisc_ref_wait
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,ldsem_down_read
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,_cond_resched
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,rcu_all_qs
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,tty_write_lock
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,mutex_trylock
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,__check_object_size
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,check_stack_object
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,__virt_addr_valid
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,__check_heap_object
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,n_tty_write
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,down_read
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,_cond_resched
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,rcu_all_qs
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,process_echoes
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,add_wait_queue
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,_raw_spin_lock_irqsave
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,_raw_spin_unlock_irqrestore
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,tty_hung_up_p
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,smp_irq_work_interrupt
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,irq_enter
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,rcu_irq_enter
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,__wake_up
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,__wake_up_common_lock
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,_raw_spin_lock_irqsave
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,__wake_up_common
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,_raw_spin_unlock_irqrestore
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,irq_exit
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,idle_cpu
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,rcu_irq_exit
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,mutex_lock
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,_cond_resched
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,rcu_all_qs
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,rcu_note_context_switch
timerfd_create_CLOCK_MONOTONIC_RAW_TFD_NONBLOCK_TFD_TIMER_ABSTIME_graph.txt,newfstat,rcu_qs
