파일명,시스템콜,해당함수
times_buf_graph.txt,times,do_sys_times
times_buf_graph.txt,times,thread_group_cputime_adjusted
times_buf_graph.txt,times,thread_group_cputime
times_buf_graph.txt,times,task_sched_runtime
times_buf_graph.txt,times,task_rq_lock
times_buf_graph.txt,times,_raw_spin_lock_irqsave
times_buf_graph.txt,times,_raw_spin_lock
times_buf_graph.txt,times,update_rq_clock
times_buf_graph.txt,times,update_curr_fair
times_buf_graph.txt,times,update_curr
times_buf_graph.txt,times,update_min_vruntime
times_buf_graph.txt,times,cpuacct_charge
times_buf_graph.txt,times,__cgroup_account_cputime
times_buf_graph.txt,times,cgroup_rstat_updated
times_buf_graph.txt,times,_raw_spin_unlock_irqrestore
times_buf_graph.txt,times,cputime_adjust
times_buf_graph.txt,times,_raw_spin_lock_irqsave
times_buf_graph.txt,times,_raw_spin_unlock_irqrestore
times_buf_graph.txt,times,nsec_to_clock_t
times_buf_graph.txt,times,jiffies_64_to_clock_t
