파일명,시스템콜,해당함수
umask_2_077_graph.txt,newfstat,vfs_statx_fd
umask_2_077_graph.txt,newfstat,__fdget_raw
umask_2_077_graph.txt,newfstat,__fget_light
umask_2_077_graph.txt,newfstat,vfs_getattr
umask_2_077_graph.txt,newfstat,security_inode_getattr
umask_2_077_graph.txt,newfstat,apparmor_inode_getattr
umask_2_077_graph.txt,newfstat,common_perm_cond
umask_2_077_graph.txt,newfstat,common_perm
umask_2_077_graph.txt,newfstat,vfs_getattr_nosec
umask_2_077_graph.txt,newfstat,generic_fillattr
umask_2_077_graph.txt,newfstat,cp_new_stat
umask_2_077_graph.txt,newfstat,from_kuid_munged
umask_2_077_graph.txt,newfstat,map_id_up
umask_2_077_graph.txt,newfstat,from_kgid_munged
umask_2_077_graph.txt,newfstat,map_id_up
umask_2_077_graph.txt,newfstat,smp_irq_work_interrupt
umask_2_077_graph.txt,newfstat,irq_enter
umask_2_077_graph.txt,newfstat,rcu_irq_enter
umask_2_077_graph.txt,newfstat,__wake_up
umask_2_077_graph.txt,newfstat,__wake_up_common_lock
umask_2_077_graph.txt,newfstat,_raw_spin_lock_irqsave
umask_2_077_graph.txt,newfstat,__wake_up_common
umask_2_077_graph.txt,newfstat,_raw_spin_unlock_irqrestore
umask_2_077_graph.txt,newfstat,irq_exit
umask_2_077_graph.txt,newfstat,idle_cpu
umask_2_077_graph.txt,newfstat,rcu_irq_exit
umask_3_002_graph.txt,newfstat,vfs_statx_fd
umask_3_002_graph.txt,newfstat,__fdget_raw
umask_3_002_graph.txt,newfstat,__fget_light
umask_3_002_graph.txt,newfstat,vfs_getattr
umask_3_002_graph.txt,newfstat,security_inode_getattr
umask_3_002_graph.txt,newfstat,apparmor_inode_getattr
umask_3_002_graph.txt,newfstat,common_perm_cond
umask_3_002_graph.txt,newfstat,common_perm
umask_3_002_graph.txt,newfstat,vfs_getattr_nosec
umask_3_002_graph.txt,newfstat,generic_fillattr
umask_3_002_graph.txt,newfstat,cp_new_stat
umask_3_002_graph.txt,newfstat,from_kuid_munged
umask_3_002_graph.txt,newfstat,map_id_up
umask_3_002_graph.txt,newfstat,from_kgid_munged
umask_3_002_graph.txt,newfstat,map_id_up
umask_1_022_graph.txt,newfstat,vfs_statx_fd
umask_1_022_graph.txt,newfstat,__fdget_raw
umask_1_022_graph.txt,newfstat,__fget_light
umask_1_022_graph.txt,newfstat,vfs_getattr
umask_1_022_graph.txt,newfstat,security_inode_getattr
umask_1_022_graph.txt,newfstat,apparmor_inode_getattr
umask_1_022_graph.txt,newfstat,common_perm_cond
umask_1_022_graph.txt,newfstat,common_perm
umask_1_022_graph.txt,newfstat,vfs_getattr_nosec
umask_1_022_graph.txt,newfstat,generic_fillattr
umask_1_022_graph.txt,newfstat,cp_new_stat
umask_1_022_graph.txt,newfstat,from_kuid_munged
umask_1_022_graph.txt,newfstat,map_id_up
umask_1_022_graph.txt,newfstat,from_kgid_munged
umask_1_022_graph.txt,newfstat,map_id_up
umask_0_000_graph.txt,newfstat,vfs_statx_fd
umask_0_000_graph.txt,newfstat,__fdget_raw
umask_0_000_graph.txt,newfstat,__fget_light
umask_0_000_graph.txt,newfstat,vfs_getattr
umask_0_000_graph.txt,newfstat,security_inode_getattr
umask_0_000_graph.txt,newfstat,apparmor_inode_getattr
umask_0_000_graph.txt,newfstat,common_perm_cond
umask_0_000_graph.txt,newfstat,common_perm
umask_0_000_graph.txt,newfstat,vfs_getattr_nosec
umask_0_000_graph.txt,newfstat,generic_fillattr
umask_0_000_graph.txt,newfstat,smp_irq_work_interrupt
umask_0_000_graph.txt,newfstat,irq_enter
umask_0_000_graph.txt,newfstat,rcu_irq_enter
umask_0_000_graph.txt,newfstat,__wake_up
umask_0_000_graph.txt,newfstat,__wake_up_common_lock
umask_0_000_graph.txt,newfstat,_raw_spin_lock_irqsave
umask_0_000_graph.txt,newfstat,__wake_up_common
umask_0_000_graph.txt,newfstat,pollwake
umask_0_000_graph.txt,newfstat,default_wake_function
umask_0_000_graph.txt,newfstat,try_to_wake_up
umask_0_000_graph.txt,newfstat,_raw_spin_lock_irqsave
umask_0_000_graph.txt,newfstat,select_task_rq_fair
umask_0_000_graph.txt,newfstat,select_idle_sibling
umask_0_000_graph.txt,newfstat,available_idle_cpu
umask_0_000_graph.txt,newfstat,native_smp_send_reschedule
umask_0_000_graph.txt,newfstat,x2apic_send_IPI
umask_0_000_graph.txt,newfstat,_raw_spin_unlock_irqrestore
umask_0_000_graph.txt,newfstat,_raw_spin_unlock_irqrestore
umask_0_000_graph.txt,newfstat,irq_exit
umask_0_000_graph.txt,newfstat,idle_cpu
umask_0_000_graph.txt,newfstat,rcu_irq_exit
umask_0_000_graph.txt,newfstat,cp_new_stat
umask_0_000_graph.txt,newfstat,from_kuid_munged
umask_0_000_graph.txt,newfstat,map_id_up
umask_0_000_graph.txt,newfstat,from_kgid_munged
umask_0_000_graph.txt,newfstat,map_id_up
